"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.532246123968031,1,2,1,2,"1;2","I8rfTyB9",100,6,5,1,1,1
2,0.5,2,4,1,6,"1;2","I8rfTyB9",100,6,5,1,1,1
3,0.829477909547474,2,6,1,12,"1;2","I8rfTyB9",100,6,5,1,1,1
4,0.765440249257197,2,4,1,16,"1;2","I8rfTyB9",100,6,5,1,1,1
5,0.88229490951266,2,4,1,20,"1;2","I8rfTyB9",100,6,5,1,1,1
6,1.44621483947337,2,4,1,24,"1;2","I8rfTyB9",100,6,5,1,1,1
7,1.04353979608142,1,6,1,30,"1;2","I8rfTyB9",100,6,5,1,1,1
8,1.11842962577438,1,2,1,32,"1;2","I8rfTyB9",100,6,5,1,1,1
9,1.04448322121977,1,1,1,33,"1;2","I8rfTyB9",100,6,5,1,1,1
10,0.731205370023199,1,2,1,35,"1;2","I8rfTyB9",100,6,5,1,1,1
11,0.632217320367226,2,2,1,37,"1;2","I8rfTyB9",100,6,5,1,1,1
12,1.20398870909139,1,7,1,44,"1;2","I8rfTyB9",100,6,5,1,1,1
13,0.819287474331227,1,5,1,49,"1;2","I8rfTyB9",100,6,5,1,1,1
14,1.23159857975989,2,2,1,51,"1;2","I8rfTyB9",100,6,5,1,1,1
15,0.5,1,4,1,55,"1;2","I8rfTyB9",100,6,5,1,1,1
16,0.631040131543987,1,1,1,56,"1;2","I8rfTyB9",100,6,5,1,1,1
17,0.524154634521394,1,5,1,61,"1;2","I8rfTyB9",100,6,5,1,1,1
18,0.911823749736236,2,2,1,63,"1;2","I8rfTyB9",100,6,5,1,1,1
19,0.5,1,2,1,65,"1;2","I8rfTyB9",100,6,5,1,1,1
20,0.992789518995543,2,0,1,65,"1;2","I8rfTyB9",100,6,5,1,1,1
1,0.724650521667746,2,3,2,3,"2;1","I8rfTyB9",100,6,5,1,1,1
2,0.783827005277907,1,-7,2,-4,"2;1","I8rfTyB9",100,6,5,1,1,1
3,1.07807192688949,1,18,2,14,"2;1","I8rfTyB9",100,6,5,1,1,1
4,0.5,1,-17,2,-3,"2;1","I8rfTyB9",100,6,5,1,1,1
5,0.635182232794178,2,3,2,0,"2;1","I8rfTyB9",100,6,5,1,1,1
6,0.599023504904646,2,3,2,3,"2;1","I8rfTyB9",100,6,5,1,1,1
7,0.5,2,1,2,4,"2;1","I8rfTyB9",100,6,5,1,1,1
8,0.969364213010703,2,2,2,6,"2;1","I8rfTyB9",100,6,5,1,1,1
9,0.954106917101534,1,15,2,21,"2;1","I8rfTyB9",100,6,5,1,1,1
10,0.5,2,1,2,22,"2;1","I8rfTyB9",100,6,5,1,1,1
11,0.814288472379754,2,3,2,25,"2;1","I8rfTyB9",100,6,5,1,1,1
12,0.515109306031398,2,5,2,30,"2;1","I8rfTyB9",100,6,5,1,1,1
13,0.930600003118095,1,-3,2,27,"2;1","I8rfTyB9",100,6,5,1,1,1
14,0.881029187642692,2,6,2,33,"2;1","I8rfTyB9",100,6,5,1,1,1
15,0.972938259325985,1,9,2,42,"2;1","I8rfTyB9",100,6,5,1,1,1
16,0.763399161207415,1,3,2,45,"2;1","I8rfTyB9",100,6,5,1,1,1
17,0.757211081147156,2,6,2,51,"2;1","I8rfTyB9",100,6,5,1,1,1
18,0.5,1,18,2,69,"2;1","I8rfTyB9",100,6,5,1,1,1
19,0.976884581381218,1,19,2,88,"2;1","I8rfTyB9",100,6,5,1,1,1
20,1.13047362737835,1,6,2,94,"2;1","I8rfTyB9",100,6,5,1,1,1
21,0.800741572109023,1,3,2,97,"2;1","I8rfTyB9",100,6,5,1,1,1
22,0.700849264151549,1,1,2,98,"2;1","I8rfTyB9",100,6,5,1,1,1
23,0.55298336100181,2,2,2,100,"2;1","I8rfTyB9",100,6,5,1,1,1
24,0.853410455333267,2,4,2,104,"2;1","I8rfTyB9",100,6,5,1,1,1
25,0.5,2,5,2,109,"2;1","I8rfTyB9",100,6,5,1,1,1
1,0.733486703899194,2,-1,3,-1,"2;1","I8rfTyB9",100,6,5,1,1,1
2,0.749564140784412,2,4,3,3,"2;1","I8rfTyB9",100,6,5,1,1,1
3,0.836113227958675,1,0,3,3,"2;1","I8rfTyB9",100,6,5,1,1,1
4,1.26315101229227,1,-3,3,0,"2;1","I8rfTyB9",100,6,5,1,1,1
5,1.11427540805534,1,24,3,24,"2;1","I8rfTyB9",100,6,5,1,1,1
6,0.975876140912691,1,5,3,29,"2;1","I8rfTyB9",100,6,5,1,1,1
7,0.656451930475775,2,3,3,32,"2;1","I8rfTyB9",100,6,5,1,1,1
8,0.946944054585155,1,-12,3,20,"2;1","I8rfTyB9",100,6,5,1,1,1
9,0.899408383355955,1,5,3,25,"2;1","I8rfTyB9",100,6,5,1,1,1
10,0.679643357720337,2,3,3,28,"2;1","I8rfTyB9",100,6,5,1,1,1
11,0.710824494264681,1,13,3,41,"2;1","I8rfTyB9",100,6,5,1,1,1
12,0.612897825657346,1,13,3,54,"2;1","I8rfTyB9",100,6,5,1,1,1
13,0.705492919750865,2,4,3,58,"2;1","I8rfTyB9",100,6,5,1,1,1
14,1.02423058408773,2,5,3,63,"2;1","I8rfTyB9",100,6,5,1,1,1
15,0.900488674033294,1,-2,3,61,"2;1","I8rfTyB9",100,6,5,1,1,1
16,0.828017873144147,1,11,3,72,"2;1","I8rfTyB9",100,6,5,1,1,1
17,0.675481514111663,1,8,3,80,"2;1","I8rfTyB9",100,6,5,1,1,1
18,0.50814326898468,1,7,3,87,"2;1","I8rfTyB9",100,6,5,1,1,1
19,0.703147027652815,2,4,3,91,"2;1","I8rfTyB9",100,6,5,1,1,1
20,0.6167430009151,1,18,3,109,"2;1","I8rfTyB9",100,6,5,1,1,1
21,0.571868371575125,1,6,3,115,"2;1","I8rfTyB9",100,6,5,1,1,1
22,0.750507696583816,1,5,3,120,"2;1","I8rfTyB9",100,6,5,1,1,1
23,0.5,2,2,3,122,"2;1","I8rfTyB9",100,6,5,1,1,1
24,0.558571838810298,2,6,3,128,"2;1","I8rfTyB9",100,6,5,1,1,1
25,0.851388329643592,2,4,3,132,"2;1","I8rfTyB9",100,6,5,1,1,1
1,0.965067157084962,2,0,4,0,"1;2","I8rfTyB9",100,6,5,1,1,1
2,0.883676637113366,2,9,4,9,"1;2","I8rfTyB9",100,6,5,1,1,1
3,0.998052244796825,2,13,4,22,"1;2","I8rfTyB9",100,6,5,1,1,1
4,0.90258659881351,2,9,4,31,"1;2","I8rfTyB9",100,6,5,1,1,1
5,0.5,2,8,4,39,"1;2","I8rfTyB9",100,6,5,1,1,1
6,0.739015286041149,2,-3,4,36,"1;2","I8rfTyB9",100,6,5,1,1,1
7,0.533429548248884,1,3,4,39,"1;2","I8rfTyB9",100,6,5,1,1,1
8,0.501178120897309,1,3,4,42,"1;2","I8rfTyB9",100,6,5,1,1,1
9,0.5,1,3,4,45,"1;2","I8rfTyB9",100,6,5,1,1,1
10,0.5,2,-10,4,35,"1;2","I8rfTyB9",100,6,5,1,1,1
