"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.676492679944175,1,6,1,6,"1;2","Iodfa17G",0,1,NA,0,1.01,2
2,0.933798170514918,2,2,1,8,"1;2","Iodfa17G",0,1,NA,0,1.01,2
3,0.88847125943383,1,2,1,10,"1;2","Iodfa17G",0,1,NA,0,1.01,2
4,1.11176510794103,1,4,1,14,"1;2","Iodfa17G",0,1,NA,0,1.01,2
5,1.01910847274764,1,0,1,14,"1;2","Iodfa17G",0,1,NA,0,1.01,2
6,1.29183040287076,1,7,1,21,"1;2","Iodfa17G",0,1,NA,0,1.01,2
7,0.5,1,-1,1,20,"1;2","Iodfa17G",0,1,NA,0,1.01,2
8,0.5,1,5,1,25,"1;2","Iodfa17G",0,1,NA,0,1.01,2
9,0.889873140632684,1,4,1,29,"1;2","Iodfa17G",0,1,NA,0,1.01,2
10,0.5,1,4,1,33,"1;2","Iodfa17G",0,1,NA,0,1.01,2
11,0.635223084319192,1,2,1,35,"1;2","Iodfa17G",0,1,NA,0,1.01,2
12,1.11409164258912,1,5,1,40,"1;2","Iodfa17G",0,1,NA,0,1.01,2
13,1.28600454636299,1,-3,1,37,"1;2","Iodfa17G",0,1,NA,0,1.01,2
14,0.5,1,3,1,40,"1;2","Iodfa17G",0,1,NA,0,1.01,2
15,0.663627192769399,1,7,1,47,"1;2","Iodfa17G",0,1,NA,0,1.01,2
16,0.978044571124691,1,1,1,48,"1;2","Iodfa17G",0,1,NA,0,1.01,2
17,0.572190455009035,1,3,1,51,"1;2","Iodfa17G",0,1,NA,0,1.01,2
18,1.17669137590089,1,1,1,52,"1;2","Iodfa17G",0,1,NA,0,1.01,2
19,1.03200500218975,1,4,1,56,"1;2","Iodfa17G",0,1,NA,0,1.01,2
20,0.540090793375652,1,2,1,58,"1;2","Iodfa17G",0,1,NA,0,1.01,2
1,0.685715666990322,2,3,2,3,"2;1","Iodfa17G",0,1,NA,0,1.01,2
2,0.915350399908347,2,8,2,11,"2;1","Iodfa17G",0,1,NA,0,1.01,2
3,0.575854026680648,2,2,2,13,"2;1","Iodfa17G",0,1,NA,0,1.01,2
4,0.82439530169331,2,3,2,16,"2;1","Iodfa17G",0,1,NA,0,1.01,2
5,1.02975523042684,2,6,2,22,"2;1","Iodfa17G",0,1,NA,0,1.01,2
6,0.808484414665824,2,4,2,26,"2;1","Iodfa17G",0,1,NA,0,1.01,2
7,0.540522119436574,2,8,2,34,"2;1","Iodfa17G",0,1,NA,0,1.01,2
8,0.5,2,0,2,34,"2;1","Iodfa17G",0,1,NA,0,1.01,2
9,0.821338246752829,2,5,2,39,"2;1","Iodfa17G",0,1,NA,0,1.01,2
10,0.607330934361601,2,7,2,46,"2;1","Iodfa17G",0,1,NA,0,1.01,2
11,1.31771553029352,2,4,2,50,"2;1","Iodfa17G",0,1,NA,0,1.01,2
12,1.06607560375807,2,0,2,50,"2;1","Iodfa17G",0,1,NA,0,1.01,2
13,1.04959508335783,1,-3,2,47,"2;1","Iodfa17G",0,1,NA,0,1.01,2
14,0.775054293750136,2,6,2,53,"2;1","Iodfa17G",0,1,NA,0,1.01,2
15,0.553614298452827,1,-2,2,51,"2;1","Iodfa17G",0,1,NA,0,1.01,2
16,0.861938073416658,2,3,2,54,"2;1","Iodfa17G",0,1,NA,0,1.01,2
17,1.34936721417218,2,1,2,55,"2;1","Iodfa17G",0,1,NA,0,1.01,2
18,0.5,2,7,2,62,"2;1","Iodfa17G",0,1,NA,0,1.01,2
19,0.708596994131665,2,5,2,67,"2;1","Iodfa17G",0,1,NA,0,1.01,2
20,0.652610727637154,2,7,2,74,"2;1","Iodfa17G",0,1,NA,0,1.01,2
21,0.5,2,7,2,81,"2;1","Iodfa17G",0,1,NA,0,1.01,2
22,0.5,2,8,2,89,"2;1","Iodfa17G",0,1,NA,0,1.01,2
23,0.822012281382644,2,3,2,92,"2;1","Iodfa17G",0,1,NA,0,1.01,2
24,0.95302854993419,2,4,2,96,"2;1","Iodfa17G",0,1,NA,0,1.01,2
25,0.808259925338773,2,7,2,103,"2;1","Iodfa17G",0,1,NA,0,1.01,2
1,0.68405207846591,1,2,3,2,"1;2","Iodfa17G",0,1,NA,0,1.01,2
2,1.24781818478901,2,3,3,5,"1;2","Iodfa17G",0,1,NA,0,1.01,2
3,0.934990697491314,2,-6,3,-1,"1;2","Iodfa17G",0,1,NA,0,1.01,2
4,0.978719523045129,1,5,3,4,"1;2","Iodfa17G",0,1,NA,0,1.01,2
5,0.729089957961652,1,3,3,7,"1;2","Iodfa17G",0,1,NA,0,1.01,2
6,0.840366803552109,1,5,3,12,"1;2","Iodfa17G",0,1,NA,0,1.01,2
7,0.997026522677579,1,10,3,22,"1;2","Iodfa17G",0,1,NA,0,1.01,2
8,1.04277192128693,1,8,3,30,"1;2","Iodfa17G",0,1,NA,0,1.01,2
9,0.772631176409225,1,3,3,33,"1;2","Iodfa17G",0,1,NA,0,1.01,2
10,1.18777336869768,1,1,3,34,"1;2","Iodfa17G",0,1,NA,0,1.01,2
11,1.03278463375951,1,4,3,38,"1;2","Iodfa17G",0,1,NA,0,1.01,2
12,1.3168747764381,1,2,3,40,"1;2","Iodfa17G",0,1,NA,0,1.01,2
13,0.506751374898911,1,5,3,45,"1;2","Iodfa17G",0,1,NA,0,1.01,2
14,0.561638820275755,1,1,3,46,"1;2","Iodfa17G",0,1,NA,0,1.01,2
15,1.0428493950796,1,2,3,48,"1;2","Iodfa17G",0,1,NA,0,1.01,2
16,0.5,1,8,3,56,"1;2","Iodfa17G",0,1,NA,0,1.01,2
17,0.639363718094665,1,6,3,62,"1;2","Iodfa17G",0,1,NA,0,1.01,2
18,0.573205668110782,1,3,3,65,"1;2","Iodfa17G",0,1,NA,0,1.01,2
19,0.590633434618032,1,5,3,70,"1;2","Iodfa17G",0,1,NA,0,1.01,2
20,0.5,1,9,3,79,"1;2","Iodfa17G",0,1,NA,0,1.01,2
21,1.4689224171676,1,6,3,85,"1;2","Iodfa17G",0,1,NA,0,1.01,2
22,0.932050188270506,2,1,3,86,"1;2","Iodfa17G",0,1,NA,0,1.01,2
23,0.517128676631955,1,6,3,92,"1;2","Iodfa17G",0,1,NA,0,1.01,2
24,0.659926157493435,2,-10,3,82,"1;2","Iodfa17G",0,1,NA,0,1.01,2
25,0.5,1,1,3,83,"1;2","Iodfa17G",0,1,NA,0,1.01,2
1,0.949733914920498,1,6,4,6,"1;2","Iodfa17G",0,1,NA,0,1.01,2
2,0.755335383171151,2,-2,4,4,"1;2","Iodfa17G",0,1,NA,0,1.01,2
3,0.762409774737578,1,9,4,13,"1;2","Iodfa17G",0,1,NA,0,1.01,2
4,0.520627689989752,1,4,4,17,"1;2","Iodfa17G",0,1,NA,0,1.01,2
5,0.766846436073131,1,2,4,19,"1;2","Iodfa17G",0,1,NA,0,1.01,2
6,1.16482058770417,1,5,4,24,"1;2","Iodfa17G",0,1,NA,0,1.01,2
