"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.853618022209658,1,4,1,4,"1;2","JgsbrdAS",100,5,2,0,0.4,2
2,0.503028250704289,1,5,1,9,"1;2","JgsbrdAS",100,5,2,0,0.4,2
3,0.875666944580403,1,4,1,13,"1;2","JgsbrdAS",100,5,2,0,0.4,2
4,0.863372217658203,2,0,1,13,"1;2","JgsbrdAS",100,5,2,0,0.4,2
5,1.02585849154783,2,4,1,17,"1;2","JgsbrdAS",100,5,2,0,0.4,2
6,0.870894822612623,2,3,1,20,"1;2","JgsbrdAS",100,5,2,0,0.4,2
7,0.993878052057805,2,4,1,24,"1;2","JgsbrdAS",100,5,2,0,0.4,2
8,1.02021251107521,2,2,1,26,"1;2","JgsbrdAS",100,5,2,0,0.4,2
9,1.18995087225058,2,7,1,33,"1;2","JgsbrdAS",100,5,2,0,0.4,2
10,0.674996770877762,1,2,1,35,"1;2","JgsbrdAS",100,5,2,0,0.4,2
11,0.880240221007597,2,6,1,41,"1;2","JgsbrdAS",100,5,2,0,0.4,2
12,1.13712439489661,2,6,1,47,"1;2","JgsbrdAS",100,5,2,0,0.4,2
13,1.17803735098376,2,5,1,52,"1;2","JgsbrdAS",100,5,2,0,0.4,2
14,0.923230434173027,2,2,1,54,"1;2","JgsbrdAS",100,5,2,0,0.4,2
15,0.912776143008316,1,5,1,59,"1;2","JgsbrdAS",100,5,2,0,0.4,2
16,0.523742678307256,2,3,1,62,"1;2","JgsbrdAS",100,5,2,0,0.4,2
17,1.11742095735813,2,0,1,62,"1;2","JgsbrdAS",100,5,2,0,0.4,2
18,0.990589025903383,1,4,1,66,"1;2","JgsbrdAS",100,5,2,0,0.4,2
19,1.07359576141471,1,3,1,69,"1;2","JgsbrdAS",100,5,2,0,0.4,2
20,1.10737132311778,1,5,1,74,"1;2","JgsbrdAS",100,5,2,0,0.4,2
1,1.04386384398855,1,-2,2,-2,"2;1","JgsbrdAS",100,5,2,0,0.4,2
2,0.5,1,1,2,-1,"2;1","JgsbrdAS",100,5,2,0,0.4,2
3,0.655483260620295,2,1,2,0,"2;1","JgsbrdAS",100,5,2,0,0.4,2
4,0.714406188004217,1,-27,2,-27,"2;1","JgsbrdAS",100,5,2,0,0.4,2
5,0.5,1,8,2,-19,"2;1","JgsbrdAS",100,5,2,0,0.4,2
6,0.896324015725323,1,0,2,-19,"2;1","JgsbrdAS",100,5,2,0,0.4,2
7,0.799772633094521,1,7,2,-12,"2;1","JgsbrdAS",100,5,2,0,0.4,2
8,0.600192835242342,1,-13,2,-25,"2;1","JgsbrdAS",100,5,2,0,0.4,2
9,0.5,1,2,2,-23,"2;1","JgsbrdAS",100,5,2,0,0.4,2
10,0.677238559880622,1,5,2,-18,"2;1","JgsbrdAS",100,5,2,0,0.4,2
11,1.42841428383509,1,2,2,-16,"2;1","JgsbrdAS",100,5,2,0,0.4,2
12,0.903735438567626,1,-6,2,-22,"2;1","JgsbrdAS",100,5,2,0,0.4,2
13,0.712284753246457,2,6,2,-16,"2;1","JgsbrdAS",100,5,2,0,0.4,2
14,0.551967927837199,1,-9,2,-25,"2;1","JgsbrdAS",100,5,2,0,0.4,2
15,0.937083805718347,1,-7,2,-32,"2;1","JgsbrdAS",100,5,2,0,0.4,2
16,0.5,1,-8,2,-40,"2;1","JgsbrdAS",100,5,2,0,0.4,2
17,0.9830632067877,1,-5,2,-45,"2;1","JgsbrdAS",100,5,2,0,0.4,2
18,0.553467912690359,2,2,2,-43,"2;1","JgsbrdAS",100,5,2,0,0.4,2
19,0.982436335785077,1,-7,2,-50,"2;1","JgsbrdAS",100,5,2,0,0.4,2
20,0.90086531048829,2,-2,2,-52,"2;1","JgsbrdAS",100,5,2,0,0.4,2
21,0.665902256585278,2,1,2,-51,"2;1","JgsbrdAS",100,5,2,0,0.4,2
22,0.925992990858137,1,1,2,-50,"2;1","JgsbrdAS",100,5,2,0,0.4,2
23,0.797028830950358,2,6,2,-44,"2;1","JgsbrdAS",100,5,2,0,0.4,2
24,0.5,1,-3,2,-47,"2;1","JgsbrdAS",100,5,2,0,0.4,2
25,0.703935055088588,2,5,2,-42,"2;1","JgsbrdAS",100,5,2,0,0.4,2
1,0.669842171993827,1,20,3,20,"2;1","JgsbrdAS",100,5,2,0,0.4,2
2,0.97105486183091,1,-6,3,14,"2;1","JgsbrdAS",100,5,2,0,0.4,2
3,1.13149127098547,1,13,3,27,"2;1","JgsbrdAS",100,5,2,0,0.4,2
4,0.721477257384273,1,12,3,39,"2;1","JgsbrdAS",100,5,2,0,0.4,2
5,0.666573491411432,1,14,3,53,"2;1","JgsbrdAS",100,5,2,0,0.4,2
6,0.703107638434643,1,-21,3,32,"2;1","JgsbrdAS",100,5,2,0,0.4,2
7,0.949170514563391,1,0,3,32,"2;1","JgsbrdAS",100,5,2,0,0.4,2
8,0.953302118504759,2,7,3,39,"2;1","JgsbrdAS",100,5,2,0,0.4,2
9,0.659525365238983,1,2,3,41,"2;1","JgsbrdAS",100,5,2,0,0.4,2
10,0.909593925694326,1,0,3,41,"2;1","JgsbrdAS",100,5,2,0,0.4,2
11,1.12006819997673,1,17,3,58,"2;1","JgsbrdAS",100,5,2,0,0.4,2
12,1.05179458161777,1,0,3,58,"2;1","JgsbrdAS",100,5,2,0,0.4,2
13,0.5,1,-8,3,50,"2;1","JgsbrdAS",100,5,2,0,0.4,2
14,0.632381710655996,1,6,3,56,"2;1","JgsbrdAS",100,5,2,0,0.4,2
15,1.04827840539183,1,-12,3,44,"2;1","JgsbrdAS",100,5,2,0,0.4,2
16,0.771471434260932,1,15,3,59,"2;1","JgsbrdAS",100,5,2,0,0.4,2
17,0.963051988681826,1,11,3,70,"2;1","JgsbrdAS",100,5,2,0,0.4,2
18,0.787492402505753,1,20,3,90,"2;1","JgsbrdAS",100,5,2,0,0.4,2
19,0.580878934778183,1,3,3,93,"2;1","JgsbrdAS",100,5,2,0,0.4,2
20,0.845180172975804,1,-13,3,80,"2;1","JgsbrdAS",100,5,2,0,0.4,2
21,0.873687130299941,1,4,3,84,"2;1","JgsbrdAS",100,5,2,0,0.4,2
22,0.813627641088208,1,-6,3,78,"2;1","JgsbrdAS",100,5,2,0,0.4,2
23,0.798617513916763,2,4,3,82,"2;1","JgsbrdAS",100,5,2,0,0.4,2
24,0.828084533489243,1,21,3,103,"2;1","JgsbrdAS",100,5,2,0,0.4,2
25,0.859523096047001,2,10,3,113,"2;1","JgsbrdAS",100,5,2,0,0.4,2
1,0.960746501446474,2,8,4,8,"2;1","JgsbrdAS",100,5,2,0,0.4,2
2,0.757193473667921,1,-16,4,-8,"2;1","JgsbrdAS",100,5,2,0,0.4,2
3,0.860624787659829,2,7,4,-1,"2;1","JgsbrdAS",100,5,2,0,0.4,2
4,0.890972682882157,2,6,4,5,"2;1","JgsbrdAS",100,5,2,0,0.4,2
5,0.752025402853201,2,4,4,9,"2;1","JgsbrdAS",100,5,2,0,0.4,2
6,0.900353051437492,1,-6,4,3,"2;1","JgsbrdAS",100,5,2,0,0.4,2
7,0.5,2,6,4,9,"2;1","JgsbrdAS",100,5,2,0,0.4,2
8,0.95674767837608,2,-3,4,6,"2;1","JgsbrdAS",100,5,2,0,0.4,2
9,0.509734699002869,2,2,4,8,"2;1","JgsbrdAS",100,5,2,0,0.4,2
10,0.536494058218999,2,3,4,11,"2;1","JgsbrdAS",100,5,2,0,0.4,2
11,1.07608721630039,2,2,4,13,"2;1","JgsbrdAS",100,5,2,0,0.4,2
12,1.00850035592236,2,5,4,18,"2;1","JgsbrdAS",100,5,2,0,0.4,2
13,0.778890793992343,2,5,4,23,"2;1","JgsbrdAS",100,5,2,0,0.4,2
14,0.771596615136157,1,11,4,34,"2;1","JgsbrdAS",100,5,2,0,0.4,2
15,0.610325070020319,1,3,4,37,"2;1","JgsbrdAS",100,5,2,0,0.4,2
16,0.78248463740278,1,15,4,52,"2;1","JgsbrdAS",100,5,2,0,0.4,2
17,0.724254671394005,1,8,4,60,"2;1","JgsbrdAS",100,5,2,0,0.4,2
18,0.76970442924693,1,7,4,67,"2;1","JgsbrdAS",100,5,2,0,0.4,2
19,0.814675268540218,2,3,4,70,"2;1","JgsbrdAS",100,5,2,0,0.4,2
20,0.807175433336127,1,12,4,82,"2;1","JgsbrdAS",100,5,2,0,0.4,2
21,1.15923718239662,1,5,4,87,"2;1","JgsbrdAS",100,5,2,0,0.4,2
22,0.5894978692908,1,25,4,112,"2;1","JgsbrdAS",100,5,2,0,0.4,2
23,0.5,2,3,4,115,"2;1","JgsbrdAS",100,5,2,0,0.4,2
24,0.5,2,1,4,116,"2;1","JgsbrdAS",100,5,2,0,0.4,2
25,0.592842183015469,1,3,4,119,"2;1","JgsbrdAS",100,5,2,0,0.4,2
1,0.55515313075869,1,7,5,7,"1;2","JgsbrdAS",100,5,2,0,0.4,2
2,0.871666638303114,1,7,5,14,"1;2","JgsbrdAS",100,5,2,0,0.4,2
3,0.585861141087452,1,6,5,20,"1;2","JgsbrdAS",100,5,2,0,0.4,2
4,0.508572383945523,1,3,5,23,"1;2","JgsbrdAS",100,5,2,0,0.4,2
5,1.00124913161209,1,4,5,27,"1;2","JgsbrdAS",100,5,2,0,0.4,2
6,1.12902828074724,1,3,5,30,"1;2","JgsbrdAS",100,5,2,0,0.4,2
7,0.791631894064006,1,7,5,37,"1;2","JgsbrdAS",100,5,2,0,0.4,2
8,0.819230774440724,2,3,5,40,"1;2","JgsbrdAS",100,5,2,0,0.4,2
9,0.651330446740368,2,6,5,46,"1;2","JgsbrdAS",100,5,2,0,0.4,2
10,0.62653177137148,1,5,5,51,"1;2","JgsbrdAS",100,5,2,0,0.4,2
11,0.897654889975659,1,3,5,54,"1;2","JgsbrdAS",100,5,2,0,0.4,2
12,0.539354507869404,2,-22,5,32,"1;2","JgsbrdAS",100,5,2,0,0.4,2
13,0.673346550837697,2,1,5,33,"1;2","JgsbrdAS",100,5,2,0,0.4,2
14,0.821098111781981,2,-18,5,15,"1;2","JgsbrdAS",100,5,2,0,0.4,2
15,0.815442429833239,2,8,5,23,"1;2","JgsbrdAS",100,5,2,0,0.4,2
16,0.702308184642011,2,-7,5,16,"1;2","JgsbrdAS",100,5,2,0,0.4,2
17,0.86300424893981,2,-4,5,12,"1;2","JgsbrdAS",100,5,2,0,0.4,2
18,0.783016686886444,2,-26,5,-14,"1;2","JgsbrdAS",100,5,2,0,0.4,2
19,0.863285839996183,2,11,5,-3,"1;2","JgsbrdAS",100,5,2,0,0.4,2
20,1.11352492684141,2,6,5,3,"1;2","JgsbrdAS",100,5,2,0,0.4,2
21,1.09034483297606,1,4,5,7,"1;2","JgsbrdAS",100,5,2,0,0.4,2
22,1.07836316496074,2,-23,5,-16,"1;2","JgsbrdAS",100,5,2,0,0.4,2
23,0.5,2,14,5,-2,"1;2","JgsbrdAS",100,5,2,0,0.4,2
24,0.5,2,-5,5,-7,"1;2","JgsbrdAS",100,5,2,0,0.4,2
25,0.5,2,3,5,-4,"1;2","JgsbrdAS",100,5,2,0,0.4,2
1,0.819979905906028,2,4,6,4,"2;1","JgsbrdAS",100,5,2,0,0.4,2
2,1.18513144752601,1,10,6,14,"2;1","JgsbrdAS",100,5,2,0,0.4,2
3,0.87241398831296,2,4,6,18,"2;1","JgsbrdAS",100,5,2,0,0.4,2
4,0.5,1,3,6,21,"2;1","JgsbrdAS",100,5,2,0,0.4,2
5,0.539167395508918,1,-3,6,18,"2;1","JgsbrdAS",100,5,2,0,0.4,2
6,0.922998544494636,1,3,6,21,"2;1","JgsbrdAS",100,5,2,0,0.4,2
