"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.666579288024672,1,1,1,1,"2;1","JnjbaiVe",100,5,5,3,1,3
2,0.644493148434884,1,6,1,7,"2;1","JnjbaiVe",100,5,5,3,1,3
3,0.88166041469206,1,5,1,12,"2;1","JnjbaiVe",100,5,5,3,1,3
4,0.832694194036296,1,3,1,15,"2;1","JnjbaiVe",100,5,5,3,1,3
5,1.00277541174475,2,2,1,17,"2;1","JnjbaiVe",100,5,5,3,1,3
6,0.5,1,6,1,23,"2;1","JnjbaiVe",100,5,5,3,1,3
7,0.623141121421939,1,3,1,26,"2;1","JnjbaiVe",100,5,5,3,1,3
8,0.679210100947029,2,4,1,30,"2;1","JnjbaiVe",100,5,5,3,1,3
9,0.703352714679374,1,5,1,35,"2;1","JnjbaiVe",100,5,5,3,1,3
10,1.01536223748275,1,1,1,36,"2;1","JnjbaiVe",100,5,5,3,1,3
11,0.730104335951119,1,4,1,40,"2;1","JnjbaiVe",100,5,5,3,1,3
12,0.833826375917917,1,3,1,43,"2;1","JnjbaiVe",100,5,5,3,1,3
13,0.5,1,8,1,51,"2;1","JnjbaiVe",100,5,5,3,1,3
14,0.576227943062896,2,5,1,56,"2;1","JnjbaiVe",100,5,5,3,1,3
15,0.67245582030985,1,6,1,62,"2;1","JnjbaiVe",100,5,5,3,1,3
16,1.37107807006685,2,-2,1,60,"2;1","JnjbaiVe",100,5,5,3,1,3
17,0.625726942364944,2,2,1,62,"2;1","JnjbaiVe",100,5,5,3,1,3
18,0.926067499790393,2,2,1,64,"2;1","JnjbaiVe",100,5,5,3,1,3
19,0.603199099033551,1,1,1,65,"2;1","JnjbaiVe",100,5,5,3,1,3
20,0.652660729992918,2,8,1,73,"2;1","JnjbaiVe",100,5,5,3,1,3
1,0.818985670997854,1,5,2,5,"1;2","JnjbaiVe",100,5,5,3,1,3
2,0.913092847973523,2,12,2,17,"1;2","JnjbaiVe",100,5,5,3,1,3
3,0.724002713880752,2,-18,2,-1,"1;2","JnjbaiVe",100,5,5,3,1,3
4,0.533720557893371,2,15,2,14,"1;2","JnjbaiVe",100,5,5,3,1,3
5,0.777386193121591,2,-7,2,7,"1;2","JnjbaiVe",100,5,5,3,1,3
6,1.15490195087799,2,-10,2,-3,"1;2","JnjbaiVe",100,5,5,3,1,3
7,0.5,2,-2,2,-5,"1;2","JnjbaiVe",100,5,5,3,1,3
8,0.710118416079472,2,6,2,1,"1;2","JnjbaiVe",100,5,5,3,1,3
9,0.66656157722902,2,20,2,21,"1;2","JnjbaiVe",100,5,5,3,1,3
10,0.863476810690597,2,3,2,24,"1;2","JnjbaiVe",100,5,5,3,1,3
11,1.00968742128644,2,11,2,35,"1;2","JnjbaiVe",100,5,5,3,1,3
12,0.724072302630655,1,1,2,36,"1;2","JnjbaiVe",100,5,5,3,1,3
13,0.5,2,16,2,52,"1;2","JnjbaiVe",100,5,5,3,1,3
14,0.518157985029632,1,3,2,55,"1;2","JnjbaiVe",100,5,5,3,1,3
15,1.06127178209612,1,3,2,58,"1;2","JnjbaiVe",100,5,5,3,1,3
16,0.638488781587289,2,9,2,67,"1;2","JnjbaiVe",100,5,5,3,1,3
17,0.842731526014745,1,1,2,68,"1;2","JnjbaiVe",100,5,5,3,1,3
18,0.961549463811861,1,7,2,75,"1;2","JnjbaiVe",100,5,5,3,1,3
19,1.10317733080353,2,-6,2,69,"1;2","JnjbaiVe",100,5,5,3,1,3
20,0.973293707246376,2,14,2,83,"1;2","JnjbaiVe",100,5,5,3,1,3
21,0.5,2,6,2,89,"1;2","JnjbaiVe",100,5,5,3,1,3
22,0.949003739562015,2,6,2,95,"1;2","JnjbaiVe",100,5,5,3,1,3
23,0.693242418189896,2,6,2,101,"1;2","JnjbaiVe",100,5,5,3,1,3
24,0.87039922982766,1,6,2,107,"1;2","JnjbaiVe",100,5,5,3,1,3
25,1.03729200253883,2,-13,2,94,"1;2","JnjbaiVe",100,5,5,3,1,3
1,0.5,2,4,3,4,"2;1","JnjbaiVe",100,5,5,3,1,3
2,1.0239130071172,1,6,3,10,"2;1","JnjbaiVe",100,5,5,3,1,3
3,0.767410513460563,2,4,3,14,"2;1","JnjbaiVe",100,5,5,3,1,3
4,0.61766827184924,2,4,3,18,"2;1","JnjbaiVe",100,5,5,3,1,3
5,0.8382406032995,2,11,3,29,"2;1","JnjbaiVe",100,5,5,3,1,3
6,0.834487958035116,2,5,3,34,"2;1","JnjbaiVe",100,5,5,3,1,3
7,0.772247210163097,2,2,3,36,"2;1","JnjbaiVe",100,5,5,3,1,3
8,0.5,1,6,3,42,"2;1","JnjbaiVe",100,5,5,3,1,3
9,0.869299788781475,2,8,3,50,"2;1","JnjbaiVe",100,5,5,3,1,3
10,1.01473678812588,2,6,3,56,"2;1","JnjbaiVe",100,5,5,3,1,3
11,0.590585634487195,1,1,3,57,"2;1","JnjbaiVe",100,5,5,3,1,3
12,0.951585898467149,2,6,3,63,"2;1","JnjbaiVe",100,5,5,3,1,3
13,0.799347705602322,2,5,3,68,"2;1","JnjbaiVe",100,5,5,3,1,3
14,1.29053881326372,2,7,3,75,"2;1","JnjbaiVe",100,5,5,3,1,3
15,0.5,1,8,3,83,"2;1","JnjbaiVe",100,5,5,3,1,3
16,0.941985519499902,2,3,3,86,"2;1","JnjbaiVe",100,5,5,3,1,3
17,0.980614229272169,1,9,3,95,"2;1","JnjbaiVe",100,5,5,3,1,3
18,0.762938100682458,1,3,3,98,"2;1","JnjbaiVe",100,5,5,3,1,3
19,0.659082974959332,1,11,3,109,"2;1","JnjbaiVe",100,5,5,3,1,3
20,0.711179192187322,2,6,3,115,"2;1","JnjbaiVe",100,5,5,3,1,3
21,1.18986593970752,1,-5,3,110,"2;1","JnjbaiVe",100,5,5,3,1,3
22,0.648362085693222,2,1,3,111,"2;1","JnjbaiVe",100,5,5,3,1,3
23,0.976747537725054,1,9,3,120,"2;1","JnjbaiVe",100,5,5,3,1,3
24,0.663286527172797,2,1,3,121,"2;1","JnjbaiVe",100,5,5,3,1,3
25,1.17110808317344,1,-1,3,120,"2;1","JnjbaiVe",100,5,5,3,1,3
1,0.972021270456305,2,12,4,12,"1;2","JnjbaiVe",100,5,5,3,1,3
