"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.968445310649952,2,4,1,4,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
2,1.06520132152766,2,1,1,5,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
3,0.671768482962523,2,0,1,5,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.853770431923143,2,1,1,6,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
5,0.68097968632052,2,4,1,10,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.790420808178617,2,4,1,14,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
7,0.5,2,3,1,17,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
8,0.883064054198546,2,4,1,21,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
9,0.508956434360575,1,6,1,27,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
10,0.982142867450698,2,4,1,31,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.639882020162412,1,-1,1,30,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
12,0.639385331260253,2,5,1,35,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
13,1.24562648175438,2,5,1,40,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
14,0.648388371899927,2,5,1,45,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
15,0.663305067229745,2,2,1,47,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
16,0.747991337783211,2,3,1,50,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
17,0.548174311228356,2,5,1,55,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
18,0.624990092652847,2,2,1,57,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
19,0.524012127934011,2,1,1,58,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
20,0.929596467003086,2,0,1,58,"2;1","Ky3PwRvf",0,2,NA,0,1.02,2
1,1.26743854226342,1,3,2,3,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
2,0.63888539133309,1,3,2,6,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
3,1.10035337138929,1,0,2,6,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.756629894127708,1,4,2,10,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
5,1.45812443066023,1,5,2,15,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.686340654336777,2,0,2,15,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
7,1.12838059524844,2,6,2,21,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
8,0.742823457506143,2,-7,2,14,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
9,1.05416927986522,1,3,2,17,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
10,0.925059447751039,1,-4,2,13,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.5,1,3,2,16,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
12,0.763486788480126,1,5,2,21,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
13,0.811341580378554,1,2,2,23,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
14,0.570677731235943,1,5,2,28,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
15,0.5,1,4,2,32,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
16,0.696755170413134,1,-3,2,29,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
17,0.89293731006359,2,-4,2,25,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
18,0.85304365651372,2,0,2,25,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
19,1.15644450074367,1,7,2,32,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
20,0.5,1,6,2,38,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
21,0.5,1,7,2,45,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
22,0.5,1,6,2,51,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
23,1.02001520595542,1,3,2,54,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
24,0.595174687078446,1,3,2,57,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
25,0.727438253163314,1,2,2,59,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
1,0.5,1,8,3,8,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
2,0.925483916372623,1,5,3,13,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
3,0.619895040675019,1,4,3,17,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.512300894786575,1,7,3,24,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
5,0.509732038224498,1,5,3,29,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.591226616456199,1,3,3,32,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
7,0.574749382806607,1,3,3,35,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
8,1.00603486040599,1,5,3,40,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
9,0.681063631132907,1,4,3,44,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
10,0.655206382509718,1,6,3,50,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.717446340023776,1,4,3,54,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
12,0.5,1,1,3,55,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
13,0.50250849297536,1,3,3,58,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
14,0.520071928670982,1,3,3,61,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
15,0.608209974590012,1,6,3,67,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
16,0.552207159106398,1,1,3,68,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
17,0.5,1,3,3,71,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
18,0.657904733606183,1,4,3,75,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
19,0.799706962249075,1,7,3,82,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
20,0.766753309258806,1,5,3,87,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
21,0.5,1,2,3,89,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
22,0.5,1,1,3,90,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
23,1.11998681004357,1,6,3,96,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
24,0.545545806782748,1,4,3,100,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
25,0.567251264157879,1,7,3,107,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
1,0.722473757194811,1,4,4,4,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
2,0.869779289705094,1,3,4,7,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
3,0.844600772302703,1,0,4,7,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.850637521777937,1,9,4,16,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
5,0.773415047125383,1,6,4,22,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.952256031932674,1,4,4,26,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
7,0.80387065798898,1,4,4,30,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
8,0.576543829754545,1,6,4,36,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
9,0.761345556873277,1,0,4,36,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
10,0.963937449674841,2,-6,4,30,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.886420379216439,2,36,4,66,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
12,0.772699458024563,1,4,4,70,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
13,1.16331294160833,2,1,4,71,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
14,0.813264966493408,2,-15,4,56,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
15,1.15888155709373,1,7,4,63,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
16,0.744929187012254,1,1,4,64,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
17,1.20561717533697,1,6,4,70,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
18,1.13907220370714,1,5,4,75,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
19,0.575781355897385,1,3,4,78,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
20,0.877549961899299,1,4,4,82,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
21,0.506634210902421,1,2,4,84,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
22,0.948950765774919,1,7,4,91,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
23,0.993023059123368,2,7,4,98,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
24,0.969266056292851,1,6,4,104,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
25,0.89133696774927,2,2,4,106,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
1,0.803256971113045,1,0,5,0,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
2,0.741780261892137,1,5,5,5,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
3,1.53200745499395,1,6,5,11,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.633255301910658,2,7,5,18,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
5,0.5,1,2,5,20,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.778766864831634,1,6,5,26,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
7,1.05087293826499,1,3,5,29,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
8,0.5,2,4,5,33,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
9,1.03742829646095,1,4,5,37,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
10,0.620971505832177,1,3,5,40,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.582766820515711,1,1,5,41,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
12,0.919202226185226,1,5,5,46,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
13,1.48750331075588,1,4,5,50,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
14,0.975755332071984,1,7,5,57,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
15,0.968684967990857,1,1,5,58,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
16,0.602115772583834,1,6,5,64,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
17,0.859230930505628,2,14,5,78,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
18,0.716139421557108,2,17,5,95,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
19,1.11632650151601,2,-12,5,83,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
20,0.92005186612552,1,2,5,85,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
21,0.889811074952911,1,5,5,90,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
22,0.847246502186277,1,6,5,96,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
23,1.01135442720083,1,3,5,99,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
24,0.969117556405244,1,4,5,103,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
25,0.855769027429329,2,-18,5,85,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
1,0.672885752656643,1,5,6,5,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
2,0.708901957154595,1,2,6,7,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
3,1.01469338558782,1,1,6,8,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
4,0.651823144039686,1,2,6,10,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
5,0.695176325857842,1,5,6,15,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
6,0.91313665826034,1,4,6,19,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
7,0.693456636300596,1,7,6,26,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
8,0.789721032877142,1,1,6,27,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
9,0.95101120774605,1,1,6,28,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
10,1.22714699661505,1,3,6,31,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
11,0.863109341602277,1,4,6,35,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
12,1.36615119834398,1,2,6,37,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
13,0.828038718438249,1,3,6,40,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
14,1.14193326583235,1,-1,6,39,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
15,0.581975637942591,1,2,6,41,"1;2","Ky3PwRvf",0,2,NA,0,1.02,2
