"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.584290540861435,2,3,1,3,"2;1","LGl8vLQo",100,5,3,0,0.6,1
2,0.69811136297394,1,-2,1,1,"2;1","LGl8vLQo",100,5,3,0,0.6,1
3,0.902037485954734,1,2,1,3,"2;1","LGl8vLQo",100,5,3,0,0.6,1
4,0.5,2,0,1,3,"2;1","LGl8vLQo",100,5,3,0,0.6,1
5,0.959574934479675,2,6,1,9,"2;1","LGl8vLQo",100,5,3,0,0.6,1
6,1.37783668071331,1,3,1,12,"2;1","LGl8vLQo",100,5,3,0,0.6,1
7,0.786187237359969,1,2,1,14,"2;1","LGl8vLQo",100,5,3,0,0.6,1
8,0.740716557136737,2,2,1,16,"2;1","LGl8vLQo",100,5,3,0,0.6,1
9,0.5,2,5,1,21,"2;1","LGl8vLQo",100,5,3,0,0.6,1
10,0.5,2,6,1,27,"2;1","LGl8vLQo",100,5,3,0,0.6,1
11,0.754220279776716,2,7,1,34,"2;1","LGl8vLQo",100,5,3,0,0.6,1
12,0.5,2,3,1,37,"2;1","LGl8vLQo",100,5,3,0,0.6,1
13,0.812311665268675,2,0,1,37,"2;1","LGl8vLQo",100,5,3,0,0.6,1
14,0.5,2,2,1,39,"2;1","LGl8vLQo",100,5,3,0,0.6,1
15,0.799554530112164,1,2,1,41,"2;1","LGl8vLQo",100,5,3,0,0.6,1
16,0.657731781610983,1,0,1,41,"2;1","LGl8vLQo",100,5,3,0,0.6,1
17,1.18653248192244,2,4,1,45,"2;1","LGl8vLQo",100,5,3,0,0.6,1
18,0.823615659314042,1,5,1,50,"2;1","LGl8vLQo",100,5,3,0,0.6,1
19,1.01417439818515,2,5,1,55,"2;1","LGl8vLQo",100,5,3,0,0.6,1
20,1.08047160729607,1,3,1,58,"2;1","LGl8vLQo",100,5,3,0,0.6,1
1,0.790710192023446,1,3,2,3,"1;2","LGl8vLQo",100,5,3,0,0.6,1
2,0.909403500160687,1,1,2,4,"1;2","LGl8vLQo",100,5,3,0,0.6,1
3,0.68192380246412,1,2,2,6,"1;2","LGl8vLQo",100,5,3,0,0.6,1
4,1.20554590358553,1,7,2,13,"1;2","LGl8vLQo",100,5,3,0,0.6,1
5,1.18600597995197,2,9,2,22,"1;2","LGl8vLQo",100,5,3,0,0.6,1
6,0.851197214849258,2,-1,2,21,"1;2","LGl8vLQo",100,5,3,0,0.6,1
7,0.895807105622673,1,5,2,26,"1;2","LGl8vLQo",100,5,3,0,0.6,1
8,0.874472137821942,2,31,2,57,"1;2","LGl8vLQo",100,5,3,0,0.6,1
9,0.740841361868991,1,3,2,60,"1;2","LGl8vLQo",100,5,3,0,0.6,1
10,0.559035785390405,2,11,2,71,"1;2","LGl8vLQo",100,5,3,0,0.6,1
11,0.894668478298448,1,2,2,73,"1;2","LGl8vLQo",100,5,3,0,0.6,1
