"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.06182836837215,1,2,1,2,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
2,1.04772698589992,2,6,1,8,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
3,0.503624103460441,2,4,1,12,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
4,0.617344364109912,1,1,1,13,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
5,0.5,1,3,1,16,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
6,0.943809649787144,1,4,1,20,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
7,1.14818105430734,2,0,1,20,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
8,0.935503473773033,1,1,1,21,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
9,0.820320351763925,1,6,1,27,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
10,0.5,2,4,1,31,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
11,1.09236943506952,2,4,1,35,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
12,0.794130147612304,1,-1,1,34,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
13,0.5,2,1,1,35,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
14,1.18869037653215,1,1,1,36,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
15,0.908619389226296,2,4,1,40,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
16,0.94450804198034,1,-1,1,39,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
17,1.03306043133362,1,3,1,42,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
18,0.707497055460397,2,4,1,46,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
19,0.766052940299889,2,4,1,50,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
20,1.02623500250072,2,0,1,50,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
1,0.5,2,4,2,4,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
2,0.906897808391678,2,4,2,8,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
3,0.889841619944968,2,5,2,13,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
4,0.5,2,4,2,17,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
5,1.10437497320312,1,6,2,23,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
6,0.645893282611151,2,3,2,26,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
7,0.6945271282438,1,10,2,36,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
8,0.5,1,1,2,37,"2;1","M3wtWxAA",0,1,NA,0,1.26,3
