"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.813047347568795,1,0,1,0,"2;1","MNFAHZt5",100,4,5,0,1,2
2,0.754253440400766,2,1,1,1,"2;1","MNFAHZt5",100,4,5,0,1,2
3,0.58701055581921,1,8,1,9,"2;1","MNFAHZt5",100,4,5,0,1,2
4,1.03772666274377,1,2,1,11,"2;1","MNFAHZt5",100,4,5,0,1,2
5,0.916863334352774,1,4,1,15,"2;1","MNFAHZt5",100,4,5,0,1,2
6,0.5,2,3,1,18,"2;1","MNFAHZt5",100,4,5,0,1,2
7,0.76268108535281,1,2,1,20,"2;1","MNFAHZt5",100,4,5,0,1,2
8,0.5,1,-1,1,19,"2;1","MNFAHZt5",100,4,5,0,1,2
9,1.25857097304493,1,4,1,23,"2;1","MNFAHZt5",100,4,5,0,1,2
10,0.986075635032672,2,6,1,29,"2;1","MNFAHZt5",100,4,5,0,1,2
11,1.13640411859071,1,6,1,35,"2;1","MNFAHZt5",100,4,5,0,1,2
12,0.861102159373833,2,2,1,37,"2;1","MNFAHZt5",100,4,5,0,1,2
13,1.00936261608128,2,4,1,41,"2;1","MNFAHZt5",100,4,5,0,1,2
14,0.657208348828165,2,1,1,42,"2;1","MNFAHZt5",100,4,5,0,1,2
15,0.900868198090074,1,2,1,44,"2;1","MNFAHZt5",100,4,5,0,1,2
16,0.5,1,6,1,50,"2;1","MNFAHZt5",100,4,5,0,1,2
17,0.653445614517244,1,7,1,57,"2;1","MNFAHZt5",100,4,5,0,1,2
18,0.528251252503709,1,7,1,64,"2;1","MNFAHZt5",100,4,5,0,1,2
19,1.03181032171864,1,5,1,69,"2;1","MNFAHZt5",100,4,5,0,1,2
20,0.684497701034151,1,3,1,72,"2;1","MNFAHZt5",100,4,5,0,1,2
1,0.635891340280114,1,6,2,6,"2;1","MNFAHZt5",100,4,5,0,1,2
2,0.782285430279164,2,4,2,10,"2;1","MNFAHZt5",100,4,5,0,1,2
3,1.13871664854364,1,-14,2,-4,"2;1","MNFAHZt5",100,4,5,0,1,2
4,0.87835465019055,1,4,2,0,"2;1","MNFAHZt5",100,4,5,0,1,2
5,0.5,1,17,2,17,"2;1","MNFAHZt5",100,4,5,0,1,2
6,0.82490098828029,2,8,2,25,"2;1","MNFAHZt5",100,4,5,0,1,2
7,0.987535243462965,1,-2,2,23,"2;1","MNFAHZt5",100,4,5,0,1,2
8,0.671003887955411,1,19,2,42,"2;1","MNFAHZt5",100,4,5,0,1,2
9,1.01199863804876,1,16,2,58,"2;1","MNFAHZt5",100,4,5,0,1,2
10,0.5,1,8,2,66,"2;1","MNFAHZt5",100,4,5,0,1,2
11,1.03482207114759,1,14,2,80,"2;1","MNFAHZt5",100,4,5,0,1,2
12,0.636197855111483,2,3,2,83,"2;1","MNFAHZt5",100,4,5,0,1,2
13,1.13051389243795,1,-12,2,71,"2;1","MNFAHZt5",100,4,5,0,1,2
14,1.11667200442806,2,5,2,76,"2;1","MNFAHZt5",100,4,5,0,1,2
15,0.500394254491598,1,2,2,78,"2;1","MNFAHZt5",100,4,5,0,1,2
16,1.21376544069791,2,2,2,80,"2;1","MNFAHZt5",100,4,5,0,1,2
17,1.03616765300687,2,5,2,85,"2;1","MNFAHZt5",100,4,5,0,1,2
18,0.546221582599099,2,7,2,92,"2;1","MNFAHZt5",100,4,5,0,1,2
19,0.5,2,6,2,98,"2;1","MNFAHZt5",100,4,5,0,1,2
20,1.05578506517639,2,2,2,100,"2;1","MNFAHZt5",100,4,5,0,1,2
21,0.908713089023592,2,5,2,105,"2;1","MNFAHZt5",100,4,5,0,1,2
22,0.604964903794477,2,6,2,111,"2;1","MNFAHZt5",100,4,5,0,1,2
23,0.732047641846565,1,4,2,115,"2;1","MNFAHZt5",100,4,5,0,1,2
24,0.5,1,16,2,131,"2;1","MNFAHZt5",100,4,5,0,1,2
25,0.709002102734604,2,3,2,134,"2;1","MNFAHZt5",100,4,5,0,1,2
1,0.561091816254975,2,3,3,3,"2;1","MNFAHZt5",100,4,5,0,1,2
2,0.681987918283077,2,3,3,6,"2;1","MNFAHZt5",100,4,5,0,1,2
3,1.23166101338563,1,30,3,36,"2;1","MNFAHZt5",100,4,5,0,1,2
4,0.63506755676503,1,6,3,42,"2;1","MNFAHZt5",100,4,5,0,1,2
5,0.665867060843281,2,0,3,42,"2;1","MNFAHZt5",100,4,5,0,1,2
6,0.567335539947508,1,4,3,46,"2;1","MNFAHZt5",100,4,5,0,1,2
7,0.785153844431993,2,5,3,51,"2;1","MNFAHZt5",100,4,5,0,1,2
8,1.06539766657729,1,6,3,57,"2;1","MNFAHZt5",100,4,5,0,1,2
9,0.87122800052722,1,-1,3,56,"2;1","MNFAHZt5",100,4,5,0,1,2
10,0.5,1,-3,3,53,"2;1","MNFAHZt5",100,4,5,0,1,2
11,0.5,1,11,3,64,"2;1","MNFAHZt5",100,4,5,0,1,2
12,0.859951255841993,1,4,3,68,"2;1","MNFAHZt5",100,4,5,0,1,2
13,0.998304149926463,1,22,3,90,"2;1","MNFAHZt5",100,4,5,0,1,2
