"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.927739726849706,1,6,1,6,"2;1","MVc95hEX",100,6,3,0,0.6,3
2,1.02416235095705,2,3,1,9,"2;1","MVc95hEX",100,6,3,0,0.6,3
3,0.756516420889603,2,7,1,16,"2;1","MVc95hEX",100,6,3,0,0.6,3
4,0.778126508178249,1,5,1,21,"2;1","MVc95hEX",100,6,3,0,0.6,3
5,0.82346474145082,1,4,1,25,"2;1","MVc95hEX",100,6,3,0,0.6,3
6,1.30688877952069,1,3,1,28,"2;1","MVc95hEX",100,6,3,0,0.6,3
7,1.23035271953355,2,7,1,35,"2;1","MVc95hEX",100,6,3,0,0.6,3
8,1.10092370441213,2,3,1,38,"2;1","MVc95hEX",100,6,3,0,0.6,3
9,0.977859712768314,1,5,1,43,"2;1","MVc95hEX",100,6,3,0,0.6,3
10,0.65410313934081,1,1,1,44,"2;1","MVc95hEX",100,6,3,0,0.6,3
11,1.06640439794095,1,2,1,46,"2;1","MVc95hEX",100,6,3,0,0.6,3
12,0.653446431474281,1,3,1,49,"2;1","MVc95hEX",100,6,3,0,0.6,3
13,1.21543402992028,1,2,1,51,"2;1","MVc95hEX",100,6,3,0,0.6,3
14,1.00594140125602,2,5,1,56,"2;1","MVc95hEX",100,6,3,0,0.6,3
15,0.984805479876405,1,0,1,56,"2;1","MVc95hEX",100,6,3,0,0.6,3
16,0.793142693047265,2,5,1,61,"2;1","MVc95hEX",100,6,3,0,0.6,3
17,0.984775936493615,1,4,1,65,"2;1","MVc95hEX",100,6,3,0,0.6,3
18,0.870982327090707,2,2,1,67,"2;1","MVc95hEX",100,6,3,0,0.6,3
19,0.5,2,1,1,68,"2;1","MVc95hEX",100,6,3,0,0.6,3
20,0.658068880913651,1,4,1,72,"2;1","MVc95hEX",100,6,3,0,0.6,3
1,0.917195558065143,1,2,2,2,"1;2","MVc95hEX",100,6,3,0,0.6,3
2,0.749514770324535,1,6,2,8,"1;2","MVc95hEX",100,6,3,0,0.6,3
3,0.741510939935541,2,-10,2,-2,"1;2","MVc95hEX",100,6,3,0,0.6,3
4,0.5,1,-1,2,-3,"1;2","MVc95hEX",100,6,3,0,0.6,3
5,0.5,2,-19,2,-22,"1;2","MVc95hEX",100,6,3,0,0.6,3
6,0.5,2,8,2,-14,"1;2","MVc95hEX",100,6,3,0,0.6,3
7,0.664649468359113,2,1,2,-13,"1;2","MVc95hEX",100,6,3,0,0.6,3
8,0.5,2,17,2,4,"1;2","MVc95hEX",100,6,3,0,0.6,3
9,0.910513543804409,1,6,2,10,"1;2","MVc95hEX",100,6,3,0,0.6,3
10,0.69151730442276,1,2,2,12,"1;2","MVc95hEX",100,6,3,0,0.6,3
11,0.677946427093718,2,23,2,35,"1;2","MVc95hEX",100,6,3,0,0.6,3
12,1.16854463077684,1,3,2,38,"1;2","MVc95hEX",100,6,3,0,0.6,3
13,1.0670579965497,1,3,2,41,"1;2","MVc95hEX",100,6,3,0,0.6,3
14,1.09819501811634,2,14,2,55,"1;2","MVc95hEX",100,6,3,0,0.6,3
15,0.5,1,2,2,57,"1;2","MVc95hEX",100,6,3,0,0.6,3
16,0.863491212994449,1,5,2,62,"1;2","MVc95hEX",100,6,3,0,0.6,3
17,0.610834599495311,1,0,2,62,"1;2","MVc95hEX",100,6,3,0,0.6,3
18,0.999728185840203,2,21,2,83,"1;2","MVc95hEX",100,6,3,0,0.6,3
19,0.782725667900308,2,19,2,102,"1;2","MVc95hEX",100,6,3,0,0.6,3
20,0.767297356125049,1,0,2,102,"1;2","MVc95hEX",100,6,3,0,0.6,3
21,1.30074998717306,1,3,2,105,"1;2","MVc95hEX",100,6,3,0,0.6,3
22,0.59362790466781,1,6,2,111,"1;2","MVc95hEX",100,6,3,0,0.6,3
23,0.5,1,0,2,111,"1;2","MVc95hEX",100,6,3,0,0.6,3
24,0.722573305692317,1,6,2,117,"1;2","MVc95hEX",100,6,3,0,0.6,3
25,0.593639299673868,1,4,2,121,"1;2","MVc95hEX",100,6,3,0,0.6,3
1,0.75647900512814,2,11,3,11,"1;2","MVc95hEX",100,6,3,0,0.6,3
2,0.5,2,14,3,25,"1;2","MVc95hEX",100,6,3,0,0.6,3
3,0.866893811163599,2,-10,3,15,"1;2","MVc95hEX",100,6,3,0,0.6,3
