"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.901117862527176,2,1,1,1,"1;2","MY7mDT73",0,3,NA,0,0.21,3
2,0.9632099512492,2,3,1,4,"1;2","MY7mDT73",0,3,NA,0,0.21,3
3,1.09780061651681,1,1,1,5,"1;2","MY7mDT73",0,3,NA,0,0.21,3
4,0.56890229623079,1,2,1,7,"1;2","MY7mDT73",0,3,NA,0,0.21,3
5,0.818657708282386,2,-1,1,6,"1;2","MY7mDT73",0,3,NA,0,0.21,3
6,0.716825785524746,1,0,1,6,"1;2","MY7mDT73",0,3,NA,0,0.21,3
7,0.627385011380501,1,1,1,7,"1;2","MY7mDT73",0,3,NA,0,0.21,3
8,0.894063459573347,1,3,1,10,"1;2","MY7mDT73",0,3,NA,0,0.21,3
9,1.30118684913276,2,0,1,10,"1;2","MY7mDT73",0,3,NA,0,0.21,3
10,0.957178818715646,1,-2,1,8,"1;2","MY7mDT73",0,3,NA,0,0.21,3
11,0.763675304329086,1,3,1,11,"1;2","MY7mDT73",0,3,NA,0,0.21,3
12,1.07391063024285,2,1,1,12,"1;2","MY7mDT73",0,3,NA,0,0.21,3
13,1.25644111460344,1,4,1,16,"1;2","MY7mDT73",0,3,NA,0,0.21,3
14,0.5,1,5,1,21,"1;2","MY7mDT73",0,3,NA,0,0.21,3
15,0.949723728126796,1,3,1,24,"1;2","MY7mDT73",0,3,NA,0,0.21,3
16,0.6334036019487,1,3,1,27,"1;2","MY7mDT73",0,3,NA,0,0.21,3
17,1.056684081036,2,3,1,30,"1;2","MY7mDT73",0,3,NA,0,0.21,3
18,0.5,1,7,1,37,"1;2","MY7mDT73",0,3,NA,0,0.21,3
19,0.609489208998687,1,4,1,41,"1;2","MY7mDT73",0,3,NA,0,0.21,3
20,0.5,2,3,1,44,"1;2","MY7mDT73",0,3,NA,0,0.21,3
1,0.950960982908767,1,35,2,35,"2;1","MY7mDT73",0,3,NA,0,0.21,3
