"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.648701516872083,1,4,1,4,"1;2","MeolXaDD",0,3,NA,0,0.71,1
2,0.5,1,1,1,5,"1;2","MeolXaDD",0,3,NA,0,0.71,1
3,0.716612539742466,1,2,1,7,"1;2","MeolXaDD",0,3,NA,0,0.71,1
4,1.22452684288158,1,0,1,7,"1;2","MeolXaDD",0,3,NA,0,0.71,1
5,0.819806020475788,1,6,1,13,"1;2","MeolXaDD",0,3,NA,0,0.71,1
6,0.857279387590126,1,3,1,16,"1;2","MeolXaDD",0,3,NA,0,0.71,1
7,0.915201780876049,1,2,1,18,"1;2","MeolXaDD",0,3,NA,0,0.71,1
8,1.02181341490083,1,1,1,19,"1;2","MeolXaDD",0,3,NA,0,0.71,1
9,1.32649173334531,2,2,1,21,"1;2","MeolXaDD",0,3,NA,0,0.71,1
10,0.884326096672697,2,3,1,24,"1;2","MeolXaDD",0,3,NA,0,0.71,1
11,1.031783116176,2,2,1,26,"1;2","MeolXaDD",0,3,NA,0,0.71,1
12,0.793481797618328,2,4,1,30,"1;2","MeolXaDD",0,3,NA,0,0.71,1
13,0.687348867173946,2,4,1,34,"1;2","MeolXaDD",0,3,NA,0,0.71,1
14,0.5,2,5,1,39,"1;2","MeolXaDD",0,3,NA,0,0.71,1
15,0.941509763462713,2,4,1,43,"1;2","MeolXaDD",0,3,NA,0,0.71,1
16,0.5,2,0,1,43,"1;2","MeolXaDD",0,3,NA,0,0.71,1
17,0.530868923470614,1,3,1,46,"1;2","MeolXaDD",0,3,NA,0,0.71,1
18,0.5,2,1,1,47,"1;2","MeolXaDD",0,3,NA,0,0.71,1
19,0.757796209862376,2,1,1,48,"1;2","MeolXaDD",0,3,NA,0,0.71,1
20,0.807770462886123,2,2,1,50,"1;2","MeolXaDD",0,3,NA,0,0.71,1
1,1.00390533396123,1,11,2,11,"2;1","MeolXaDD",0,3,NA,0,0.71,1
2,0.871856417161605,1,9,2,20,"2;1","MeolXaDD",0,3,NA,0,0.71,1
3,1.21944910432332,1,6,2,26,"2;1","MeolXaDD",0,3,NA,0,0.71,1
4,0.550620746480566,1,17,2,43,"2;1","MeolXaDD",0,3,NA,0,0.71,1
5,0.5,1,13,2,56,"2;1","MeolXaDD",0,3,NA,0,0.71,1
6,0.698599652462157,1,14,2,70,"2;1","MeolXaDD",0,3,NA,0,0.71,1
7,0.5,2,0,2,70,"2;1","MeolXaDD",0,3,NA,0,0.71,1
8,0.5,2,3,2,73,"2;1","MeolXaDD",0,3,NA,0,0.71,1
9,0.896117184653373,1,1,2,74,"2;1","MeolXaDD",0,3,NA,0,0.71,1
10,1.22357123761334,1,3,2,77,"2;1","MeolXaDD",0,3,NA,0,0.71,1
11,1.00189166587771,2,7,2,84,"2;1","MeolXaDD",0,3,NA,0,0.71,1
12,0.5,2,2,2,86,"2;1","MeolXaDD",0,3,NA,0,0.71,1
13,0.582802233742218,2,6,2,92,"2;1","MeolXaDD",0,3,NA,0,0.71,1
14,0.918135633789617,1,-21,2,71,"2;1","MeolXaDD",0,3,NA,0,0.71,1
15,0.57980844882036,2,3,2,74,"2;1","MeolXaDD",0,3,NA,0,0.71,1
16,1.14187107052796,2,3,2,77,"2;1","MeolXaDD",0,3,NA,0,0.71,1
17,0.800452523061248,2,4,2,81,"2;1","MeolXaDD",0,3,NA,0,0.71,1
18,0.764517188000303,2,1,2,82,"2;1","MeolXaDD",0,3,NA,0,0.71,1
19,0.592037483770481,1,-3,2,79,"2;1","MeolXaDD",0,3,NA,0,0.71,1
20,0.674736750609453,2,10,2,89,"2;1","MeolXaDD",0,3,NA,0,0.71,1
21,1.20518430250533,2,1,2,90,"2;1","MeolXaDD",0,3,NA,0,0.71,1
22,0.929730363144905,2,7,2,97,"2;1","MeolXaDD",0,3,NA,0,0.71,1
23,0.5,2,0,2,97,"2;1","MeolXaDD",0,3,NA,0,0.71,1
24,0.887887024088738,1,-4,2,93,"2;1","MeolXaDD",0,3,NA,0,0.71,1
25,0.953556128815431,1,16,2,109,"2;1","MeolXaDD",0,3,NA,0,0.71,1
1,1.07614373059028,1,4,3,4,"1;2","MeolXaDD",0,3,NA,0,0.71,1
2,0.737032600442231,1,2,3,6,"1;2","MeolXaDD",0,3,NA,0,0.71,1
3,0.708208508799835,1,4,3,10,"1;2","MeolXaDD",0,3,NA,0,0.71,1
4,0.556831721123009,1,3,3,13,"1;2","MeolXaDD",0,3,NA,0,0.71,1
5,0.880532018569088,1,8,3,21,"1;2","MeolXaDD",0,3,NA,0,0.71,1
6,1.16708656386194,1,4,3,25,"1;2","MeolXaDD",0,3,NA,0,0.71,1
7,1.31623430599261,1,8,3,33,"1;2","MeolXaDD",0,3,NA,0,0.71,1
8,0.93333829552139,1,6,3,39,"1;2","MeolXaDD",0,3,NA,0,0.71,1
9,0.694586136933537,2,20,3,59,"1;2","MeolXaDD",0,3,NA,0,0.71,1
10,0.686779017800003,1,3,3,62,"1;2","MeolXaDD",0,3,NA,0,0.71,1
11,0.698726509917185,2,-1,3,61,"1;2","MeolXaDD",0,3,NA,0,0.71,1
12,1.25628692114232,1,7,3,68,"1;2","MeolXaDD",0,3,NA,0,0.71,1
13,0.73685476023029,1,5,3,73,"1;2","MeolXaDD",0,3,NA,0,0.71,1
14,0.728890600941224,1,2,3,75,"1;2","MeolXaDD",0,3,NA,0,0.71,1
15,0.5,1,2,3,77,"1;2","MeolXaDD",0,3,NA,0,0.71,1
16,1.25317292567016,1,5,3,82,"1;2","MeolXaDD",0,3,NA,0,0.71,1
17,0.737871761877425,1,1,3,83,"1;2","MeolXaDD",0,3,NA,0,0.71,1
18,0.926147437622839,1,3,3,86,"1;2","MeolXaDD",0,3,NA,0,0.71,1
19,1.10417172897359,1,7,3,93,"1;2","MeolXaDD",0,3,NA,0,0.71,1
20,1.04643885297855,1,6,3,99,"1;2","MeolXaDD",0,3,NA,0,0.71,1
21,0.804032055631147,1,1,3,100,"1;2","MeolXaDD",0,3,NA,0,0.71,1
22,0.549163309916236,2,11,3,111,"1;2","MeolXaDD",0,3,NA,0,0.71,1
23,0.5,2,5,3,116,"1;2","MeolXaDD",0,3,NA,0,0.71,1
24,0.5,2,16,3,132,"1;2","MeolXaDD",0,3,NA,0,0.71,1
25,0.684404178941178,2,11,3,143,"1;2","MeolXaDD",0,3,NA,0,0.71,1
1,0.683890439217525,2,10,4,10,"1;2","MeolXaDD",0,3,NA,0,0.71,1
2,0.83184485549923,2,17,4,27,"1;2","MeolXaDD",0,3,NA,0,0.71,1
3,1.0560808100517,2,20,4,47,"1;2","MeolXaDD",0,3,NA,0,0.71,1
4,0.915681895488851,1,3,4,50,"1;2","MeolXaDD",0,3,NA,0,0.71,1
5,0.924511183203279,1,2,4,52,"1;2","MeolXaDD",0,3,NA,0,0.71,1
6,1.11919295132313,2,3,4,55,"1;2","MeolXaDD",0,3,NA,0,0.71,1
7,0.5,1,5,4,60,"1;2","MeolXaDD",0,3,NA,0,0.71,1
8,0.985053960350503,2,-10,4,50,"1;2","MeolXaDD",0,3,NA,0,0.71,1
