"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
2,0.513548867196484,1,3,1,7,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
3,1.0599521962874,1,-2,1,5,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
4,0.874222125661792,2,6,1,11,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
5,0.794205203386053,1,1,1,12,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
6,0.845618443880016,1,4,1,16,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
7,0.746050880733441,1,6,1,22,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
8,1.25843467968396,2,2,1,24,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
9,1.16759185935555,2,0,1,24,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
10,0.683307791701356,2,3,1,27,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
11,0.651245728496482,1,6,1,33,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
12,0.5,2,8,1,41,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
13,0.720739816018014,1,5,1,46,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
14,0.795897072545265,2,2,1,48,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
15,0.797866278680278,1,3,1,51,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
16,0.993141823527719,2,4,1,55,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
17,1.26033709451872,1,4,1,59,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
18,0.5,2,4,1,63,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
19,0.646093862157372,2,6,1,69,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
20,0.874865365231169,2,2,1,71,"2;1","MfVKYbPG",0,1,NA,0,1.32,3
1,1.08860103722789,1,3,2,3,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
2,0.604371625422,1,4,2,7,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
3,0.681973107426675,2,0,2,7,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
4,0.747246145183708,1,5,2,12,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
5,0.923206888163514,1,9,2,21,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
6,0.818081787830099,1,3,2,24,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
7,0.819374987625328,1,2,2,26,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
8,0.801641270389386,1,7,2,33,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
9,0.931168361631372,1,3,2,36,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
10,0.789201017273709,1,-3,2,33,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
11,0.770120621980735,2,1,2,34,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
12,0.810970078031523,1,6,2,40,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
13,0.5,1,4,2,44,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
14,1.20978226004567,1,1,2,45,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
15,0.849516272264594,2,10,2,55,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
16,0.907284650813713,1,3,2,58,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
17,0.874877602436434,2,13,2,71,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
18,1.07638223298861,1,2,2,73,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
19,0.776640326177216,1,1,2,74,"1;2","MfVKYbPG",0,1,NA,0,1.32,3
