"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.51750100117432,2,1,1,1,"1;2","N1HJObRA",100,4,4,0,0.8,3
2,0.973961070239759,2,-2,1,-1,"1;2","N1HJObRA",100,4,4,0,0.8,3
3,0.911238634348403,2,3,1,2,"1;2","N1HJObRA",100,4,4,0,0.8,3
4,0.878794912298829,2,2,1,4,"1;2","N1HJObRA",100,4,4,0,0.8,3
5,1.01866917622289,2,3,1,7,"1;2","N1HJObRA",100,4,4,0,0.8,3
6,0.508267008082212,2,3,1,10,"1;2","N1HJObRA",100,4,4,0,0.8,3
7,0.580673186888786,1,3,1,13,"1;2","N1HJObRA",100,4,4,0,0.8,3
8,1.01913246094706,2,3,1,16,"1;2","N1HJObRA",100,4,4,0,0.8,3
9,1.05723704846752,2,3,1,19,"1;2","N1HJObRA",100,4,4,0,0.8,3
10,1.22307870571946,2,6,1,25,"1;2","N1HJObRA",100,4,4,0,0.8,3
11,0.500856025148191,2,1,1,26,"1;2","N1HJObRA",100,4,4,0,0.8,3
12,0.717120716161728,2,2,1,28,"1;2","N1HJObRA",100,4,4,0,0.8,3
13,0.73416422565836,1,7,1,35,"1;2","N1HJObRA",100,4,4,0,0.8,3
14,0.707890089865085,2,1,1,36,"1;2","N1HJObRA",100,4,4,0,0.8,3
15,0.787943521352206,1,2,1,38,"1;2","N1HJObRA",100,4,4,0,0.8,3
16,0.524864323405413,1,2,1,40,"1;2","N1HJObRA",100,4,4,0,0.8,3
17,0.5,2,0,1,40,"1;2","N1HJObRA",100,4,4,0,0.8,3
18,0.500313090790169,1,4,1,44,"1;2","N1HJObRA",100,4,4,0,0.8,3
19,0.604616686089427,2,5,1,49,"1;2","N1HJObRA",100,4,4,0,0.8,3
20,0.849877636612988,1,3,1,52,"1;2","N1HJObRA",100,4,4,0,0.8,3
1,0.7797272213247,1,2,2,2,"2;1","N1HJObRA",100,4,4,0,0.8,3
2,1.28159838565417,1,16,2,18,"2;1","N1HJObRA",100,4,4,0,0.8,3
3,0.672000147381666,1,-11,2,7,"2;1","N1HJObRA",100,4,4,0,0.8,3
4,1.09561759755641,2,7,2,14,"2;1","N1HJObRA",100,4,4,0,0.8,3
5,0.5,1,0,2,14,"2;1","N1HJObRA",100,4,4,0,0.8,3
6,0.5,1,15,2,29,"2;1","N1HJObRA",100,4,4,0,0.8,3
7,0.690533699785732,1,-4,2,25,"2;1","N1HJObRA",100,4,4,0,0.8,3
8,0.703972015308216,2,5,2,30,"2;1","N1HJObRA",100,4,4,0,0.8,3
9,0.544553584147264,2,6,2,36,"2;1","N1HJObRA",100,4,4,0,0.8,3
10,0.890156048857063,1,0,2,36,"2;1","N1HJObRA",100,4,4,0,0.8,3
11,1.06010070407793,2,5,2,41,"2;1","N1HJObRA",100,4,4,0,0.8,3
12,0.827121615890938,1,3,2,44,"2;1","N1HJObRA",100,4,4,0,0.8,3
13,0.890615468759508,1,17,2,61,"2;1","N1HJObRA",100,4,4,0,0.8,3
14,0.564570026268142,2,5,2,66,"2;1","N1HJObRA",100,4,4,0,0.8,3
15,0.5,1,8,2,74,"2;1","N1HJObRA",100,4,4,0,0.8,3
16,1.20850425787024,2,3,2,77,"2;1","N1HJObRA",100,4,4,0,0.8,3
17,0.89875816507805,2,3,2,80,"2;1","N1HJObRA",100,4,4,0,0.8,3
18,1.37627779187,2,6,2,86,"2;1","N1HJObRA",100,4,4,0,0.8,3
19,1.21576482210924,1,-26,2,60,"2;1","N1HJObRA",100,4,4,0,0.8,3
20,0.5,1,16,2,76,"2;1","N1HJObRA",100,4,4,0,0.8,3
21,0.53242081771599,1,-23,2,53,"2;1","N1HJObRA",100,4,4,0,0.8,3
22,0.748751464232843,1,-3,2,50,"2;1","N1HJObRA",100,4,4,0,0.8,3
23,0.695776007968225,1,0,2,50,"2;1","N1HJObRA",100,4,4,0,0.8,3
24,0.5,1,7,2,57,"2;1","N1HJObRA",100,4,4,0,0.8,3
25,0.901312142513806,2,5,2,62,"2;1","N1HJObRA",100,4,4,0,0.8,3
1,0.5,2,4,3,4,"2;1","N1HJObRA",100,4,4,0,0.8,3
2,1.18740041034813,2,2,3,6,"2;1","N1HJObRA",100,4,4,0,0.8,3
3,0.605103795207898,1,4,3,10,"2;1","N1HJObRA",100,4,4,0,0.8,3
