"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.817563566256061,1,0,1,0,"1;2","NDA4OlKB",100,6,2,0,0.4,3
2,0.5,2,7,1,7,"1;2","NDA4OlKB",100,6,2,0,0.4,3
3,1.24058745447106,2,5,1,12,"1;2","NDA4OlKB",100,6,2,0,0.4,3
4,1.1013463554647,2,2,1,14,"1;2","NDA4OlKB",100,6,2,0,0.4,3
5,0.568731447976847,2,0,1,14,"1;2","NDA4OlKB",100,6,2,0,0.4,3
6,0.918700792961713,2,4,1,18,"1;2","NDA4OlKB",100,6,2,0,0.4,3
7,1.03156995908384,1,4,1,22,"1;2","NDA4OlKB",100,6,2,0,0.4,3
8,1.22549112817359,2,2,1,24,"1;2","NDA4OlKB",100,6,2,0,0.4,3
9,0.954590435145366,2,5,1,29,"1;2","NDA4OlKB",100,6,2,0,0.4,3
10,0.623779711345241,1,3,1,32,"1;2","NDA4OlKB",100,6,2,0,0.4,3
11,1.07319515632872,2,4,1,36,"1;2","NDA4OlKB",100,6,2,0,0.4,3
12,0.847662101725533,2,4,1,40,"1;2","NDA4OlKB",100,6,2,0,0.4,3
13,1.01339261232177,2,1,1,41,"1;2","NDA4OlKB",100,6,2,0,0.4,3
14,0.73939991852385,2,3,1,44,"1;2","NDA4OlKB",100,6,2,0,0.4,3
15,0.786606653338312,2,3,1,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
16,0.905025308848534,2,3,1,50,"1;2","NDA4OlKB",100,6,2,0,0.4,3
17,0.972874262266259,2,7,1,57,"1;2","NDA4OlKB",100,6,2,0,0.4,3
18,0.627249623504081,2,4,1,61,"1;2","NDA4OlKB",100,6,2,0,0.4,3
19,0.760783394620585,2,0,1,61,"1;2","NDA4OlKB",100,6,2,0,0.4,3
20,0.764786658450929,2,4,1,65,"1;2","NDA4OlKB",100,6,2,0,0.4,3
1,1.25669371296158,2,1,2,1,"2;1","NDA4OlKB",100,6,2,0,0.4,3
2,0.5,2,7,2,8,"2;1","NDA4OlKB",100,6,2,0,0.4,3
3,0.828264324778477,2,-2,2,6,"2;1","NDA4OlKB",100,6,2,0,0.4,3
4,0.913455321906313,2,3,2,9,"2;1","NDA4OlKB",100,6,2,0,0.4,3
5,0.849267224363744,1,9,2,18,"2;1","NDA4OlKB",100,6,2,0,0.4,3
6,1.32248985946953,1,1,2,19,"2;1","NDA4OlKB",100,6,2,0,0.4,3
7,0.873702554352032,1,-5,2,14,"2;1","NDA4OlKB",100,6,2,0,0.4,3
8,0.658661135141223,2,1,2,15,"2;1","NDA4OlKB",100,6,2,0,0.4,3
9,1.0354846564964,2,4,2,19,"2;1","NDA4OlKB",100,6,2,0,0.4,3
10,0.874504018980824,2,-2,2,17,"2;1","NDA4OlKB",100,6,2,0,0.4,3
11,0.5,2,4,2,21,"2;1","NDA4OlKB",100,6,2,0,0.4,3
12,0.5,2,7,2,28,"2;1","NDA4OlKB",100,6,2,0,0.4,3
13,0.806330227674016,2,1,2,29,"2;1","NDA4OlKB",100,6,2,0,0.4,3
14,0.546692429876774,2,3,2,32,"2;1","NDA4OlKB",100,6,2,0,0.4,3
15,0.841998802165885,2,5,2,37,"2;1","NDA4OlKB",100,6,2,0,0.4,3
16,0.563974672032536,2,9,2,46,"2;1","NDA4OlKB",100,6,2,0,0.4,3
17,0.80044075011154,2,1,2,47,"2;1","NDA4OlKB",100,6,2,0,0.4,3
18,0.5,2,1,2,48,"2;1","NDA4OlKB",100,6,2,0,0.4,3
19,0.927036443540286,2,-2,2,46,"2;1","NDA4OlKB",100,6,2,0,0.4,3
20,1.16426490319191,2,3,2,49,"2;1","NDA4OlKB",100,6,2,0,0.4,3
21,1.07339276088858,2,3,2,52,"2;1","NDA4OlKB",100,6,2,0,0.4,3
22,0.672359667398183,2,4,2,56,"2;1","NDA4OlKB",100,6,2,0,0.4,3
23,0.974420699573917,2,3,2,59,"2;1","NDA4OlKB",100,6,2,0,0.4,3
24,0.907119814175152,2,4,2,63,"2;1","NDA4OlKB",100,6,2,0,0.4,3
25,0.643916899189266,2,3,2,66,"2;1","NDA4OlKB",100,6,2,0,0.4,3
1,0.925115772278991,2,2,3,2,"2;1","NDA4OlKB",100,6,2,0,0.4,3
2,1.29983666735887,2,2,3,4,"2;1","NDA4OlKB",100,6,2,0,0.4,3
3,0.549047856674977,2,2,3,6,"2;1","NDA4OlKB",100,6,2,0,0.4,3
4,0.596807814710619,2,2,3,8,"2;1","NDA4OlKB",100,6,2,0,0.4,3
5,0.738458578831385,1,1,3,9,"2;1","NDA4OlKB",100,6,2,0,0.4,3
6,0.5,2,2,3,11,"2;1","NDA4OlKB",100,6,2,0,0.4,3
7,0.652741800040825,2,0,3,11,"2;1","NDA4OlKB",100,6,2,0,0.4,3
8,0.815170648275555,2,2,3,13,"2;1","NDA4OlKB",100,6,2,0,0.4,3
9,0.701990938593733,2,-5,3,8,"2;1","NDA4OlKB",100,6,2,0,0.4,3
10,1.01946617826534,1,6,3,14,"2;1","NDA4OlKB",100,6,2,0,0.4,3
11,0.560189576208896,2,6,3,20,"2;1","NDA4OlKB",100,6,2,0,0.4,3
12,0.890948867403836,1,1,3,21,"2;1","NDA4OlKB",100,6,2,0,0.4,3
13,0.505546555743148,1,-8,3,13,"2;1","NDA4OlKB",100,6,2,0,0.4,3
14,0.953239619425983,2,-1,3,12,"2;1","NDA4OlKB",100,6,2,0,0.4,3
15,0.5,1,17,3,29,"2;1","NDA4OlKB",100,6,2,0,0.4,3
16,0.5,1,8,3,37,"2;1","NDA4OlKB",100,6,2,0,0.4,3
17,0.5,1,14,3,51,"2;1","NDA4OlKB",100,6,2,0,0.4,3
18,0.639733209451183,1,-13,3,38,"2;1","NDA4OlKB",100,6,2,0,0.4,3
19,0.5,2,-3,3,35,"2;1","NDA4OlKB",100,6,2,0,0.4,3
20,0.93197011950942,1,31,3,66,"2;1","NDA4OlKB",100,6,2,0,0.4,3
21,0.744047383391437,1,44,3,110,"2;1","NDA4OlKB",100,6,2,0,0.4,3
22,0.558469861027396,1,-12,3,98,"2;1","NDA4OlKB",100,6,2,0,0.4,3
23,0.932307928020586,1,8,3,106,"2;1","NDA4OlKB",100,6,2,0,0.4,3
24,1.16250929626225,1,-4,3,102,"2;1","NDA4OlKB",100,6,2,0,0.4,3
25,1.04680453859259,1,-2,3,100,"2;1","NDA4OlKB",100,6,2,0,0.4,3
1,0.769401103934199,2,39,4,39,"1;2","NDA4OlKB",100,6,2,0,0.4,3
2,1.35461120745646,2,1,4,40,"1;2","NDA4OlKB",100,6,2,0,0.4,3
3,0.810664002966342,2,7,4,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
4,0.5,2,-6,4,41,"1;2","NDA4OlKB",100,6,2,0,0.4,3
5,0.923021305032762,2,10,4,51,"1;2","NDA4OlKB",100,6,2,0,0.4,3
6,0.794441595162881,2,-14,4,37,"1;2","NDA4OlKB",100,6,2,0,0.4,3
7,0.904737744496589,2,-11,4,26,"1;2","NDA4OlKB",100,6,2,0,0.4,3
8,0.909306809575814,1,6,4,32,"1;2","NDA4OlKB",100,6,2,0,0.4,3
9,0.618648187835944,1,-1,4,31,"1;2","NDA4OlKB",100,6,2,0,0.4,3
10,0.5,1,3,4,34,"1;2","NDA4OlKB",100,6,2,0,0.4,3
11,0.547031325294097,1,1,4,35,"1;2","NDA4OlKB",100,6,2,0,0.4,3
12,0.967859538154904,1,6,4,41,"1;2","NDA4OlKB",100,6,2,0,0.4,3
13,0.914422651981499,1,6,4,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
14,1.13756784934688,1,1,4,48,"1;2","NDA4OlKB",100,6,2,0,0.4,3
15,0.965337984992317,1,2,4,50,"1;2","NDA4OlKB",100,6,2,0,0.4,3
16,1.14338856501879,1,0,4,50,"1;2","NDA4OlKB",100,6,2,0,0.4,3
17,0.938851541665583,1,6,4,56,"1;2","NDA4OlKB",100,6,2,0,0.4,3
18,0.721545797668131,1,5,4,61,"1;2","NDA4OlKB",100,6,2,0,0.4,3
19,0.65158170292159,1,2,4,63,"1;2","NDA4OlKB",100,6,2,0,0.4,3
20,0.789768532365031,1,2,4,65,"1;2","NDA4OlKB",100,6,2,0,0.4,3
21,1.09986831190536,1,3,4,68,"1;2","NDA4OlKB",100,6,2,0,0.4,3
22,0.612051569420321,1,2,4,70,"1;2","NDA4OlKB",100,6,2,0,0.4,3
23,0.89128407781843,2,15,4,85,"1;2","NDA4OlKB",100,6,2,0,0.4,3
24,1.04308647477763,1,-1,4,84,"1;2","NDA4OlKB",100,6,2,0,0.4,3
25,0.847022604646306,2,0,4,84,"1;2","NDA4OlKB",100,6,2,0,0.4,3
1,0.959347497640068,2,14,5,14,"1;2","NDA4OlKB",100,6,2,0,0.4,3
2,0.919603529039193,2,5,5,19,"1;2","NDA4OlKB",100,6,2,0,0.4,3
3,0.778411306240083,2,-4,5,15,"1;2","NDA4OlKB",100,6,2,0,0.4,3
4,0.665612422481214,2,18,5,33,"1;2","NDA4OlKB",100,6,2,0,0.4,3
5,0.696701428479039,2,5,5,38,"1;2","NDA4OlKB",100,6,2,0,0.4,3
6,0.688694270885619,2,14,5,52,"1;2","NDA4OlKB",100,6,2,0,0.4,3
7,1.03766443908996,2,6,5,58,"1;2","NDA4OlKB",100,6,2,0,0.4,3
8,0.691670523084375,2,-3,5,55,"1;2","NDA4OlKB",100,6,2,0,0.4,3
9,0.75046429302792,2,2,5,57,"1;2","NDA4OlKB",100,6,2,0,0.4,3
10,0.771328345462511,2,3,5,60,"1;2","NDA4OlKB",100,6,2,0,0.4,3
11,0.700855208281259,2,-12,5,48,"1;2","NDA4OlKB",100,6,2,0,0.4,3
12,1.00062661623927,2,1,5,49,"1;2","NDA4OlKB",100,6,2,0,0.4,3
13,0.5,2,-2,5,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
14,0.665695385290124,1,0,5,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
15,0.639131948974044,2,11,5,58,"1;2","NDA4OlKB",100,6,2,0,0.4,3
16,0.671527997162219,2,2,5,60,"1;2","NDA4OlKB",100,6,2,0,0.4,3
17,0.953933920645733,2,26,5,86,"1;2","NDA4OlKB",100,6,2,0,0.4,3
18,0.92860127047107,2,13,5,99,"1;2","NDA4OlKB",100,6,2,0,0.4,3
19,0.952899894683363,2,-15,5,84,"1;2","NDA4OlKB",100,6,2,0,0.4,3
20,1.0019834601977,2,9,5,93,"1;2","NDA4OlKB",100,6,2,0,0.4,3
21,1.01592875117075,2,-3,5,90,"1;2","NDA4OlKB",100,6,2,0,0.4,3
22,0.963323587593821,2,-12,5,78,"1;2","NDA4OlKB",100,6,2,0,0.4,3
23,1.35864481469818,1,2,5,80,"1;2","NDA4OlKB",100,6,2,0,0.4,3
24,0.6213031511064,1,5,5,85,"1;2","NDA4OlKB",100,6,2,0,0.4,3
25,0.949268721304964,1,1,5,86,"1;2","NDA4OlKB",100,6,2,0,0.4,3
1,0.869793668903478,2,30,6,30,"1;2","NDA4OlKB",100,6,2,0,0.4,3
2,0.5,2,17,6,47,"1;2","NDA4OlKB",100,6,2,0,0.4,3
3,0.606395974515688,2,-6,6,41,"1;2","NDA4OlKB",100,6,2,0,0.4,3
4,0.686277793466276,2,2,6,43,"1;2","NDA4OlKB",100,6,2,0,0.4,3
5,1.02994563504265,2,14,6,57,"1;2","NDA4OlKB",100,6,2,0,0.4,3
6,0.620097189573143,2,-15,6,42,"1;2","NDA4OlKB",100,6,2,0,0.4,3
7,0.868704745614891,2,10,6,52,"1;2","NDA4OlKB",100,6,2,0,0.4,3
8,1.04608255612001,2,8,6,60,"1;2","NDA4OlKB",100,6,2,0,0.4,3
9,0.955850848916055,1,3,6,63,"1;2","NDA4OlKB",100,6,2,0,0.4,3
10,0.853472875906302,2,9,6,72,"1;2","NDA4OlKB",100,6,2,0,0.4,3
11,0.5,2,-5,6,67,"1;2","NDA4OlKB",100,6,2,0,0.4,3
12,0.840198763368793,2,-2,6,65,"1;2","NDA4OlKB",100,6,2,0,0.4,3
13,0.870403119545458,2,-4,6,61,"1;2","NDA4OlKB",100,6,2,0,0.4,3
14,0.5,2,16,6,77,"1;2","NDA4OlKB",100,6,2,0,0.4,3
15,0.5,2,27,6,104,"1;2","NDA4OlKB",100,6,2,0,0.4,3
16,0.919743719274752,2,4,6,108,"1;2","NDA4OlKB",100,6,2,0,0.4,3
17,0.5,2,6,6,114,"1;2","NDA4OlKB",100,6,2,0,0.4,3
18,0.5,2,12,6,126,"1;2","NDA4OlKB",100,6,2,0,0.4,3
19,0.579883258579527,2,-1,6,125,"1;2","NDA4OlKB",100,6,2,0,0.4,3
20,0.854679850412556,2,3,6,128,"1;2","NDA4OlKB",100,6,2,0,0.4,3
21,0.78905170179673,2,-1,6,127,"1;2","NDA4OlKB",100,6,2,0,0.4,3
22,0.837108443036156,2,1,6,128,"1;2","NDA4OlKB",100,6,2,0,0.4,3
23,0.5,2,7,6,135,"1;2","NDA4OlKB",100,6,2,0,0.4,3
24,0.731392776988891,2,10,6,145,"1;2","NDA4OlKB",100,6,2,0,0.4,3
25,1.14857017416221,2,22,6,167,"1;2","NDA4OlKB",100,6,2,0,0.4,3
1,0.753487681738357,2,4,7,4,"2;1","NDA4OlKB",100,6,2,0,0.4,3
2,1.1209794527332,1,15,7,19,"2;1","NDA4OlKB",100,6,2,0,0.4,3
3,0.565287332717283,1,-3,7,16,"2;1","NDA4OlKB",100,6,2,0,0.4,3
4,1.3490783073095,1,-4,7,12,"2;1","NDA4OlKB",100,6,2,0,0.4,3
5,0.974147191246506,2,5,7,17,"2;1","NDA4OlKB",100,6,2,0,0.4,3
6,0.929802435418849,2,3,7,20,"2;1","NDA4OlKB",100,6,2,0,0.4,3
