"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.563773077292657,1,2,1,2,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
2,0.719454984332114,1,3,1,5,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
3,0.5,1,6,1,11,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
4,0.979831444896847,2,5,1,16,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
5,0.711699845454079,1,-2,1,14,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
6,0.51689158762066,2,5,1,19,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
7,1.39619635594288,2,4,1,23,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
8,0.846592297511298,1,5,1,28,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
9,1.34700214275833,2,-1,1,27,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
10,0.849687784612803,1,-2,1,25,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
11,0.94137342396065,1,-1,1,24,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
12,1.05816624139811,2,6,1,30,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
13,0.530390672874232,2,2,1,32,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
14,0.525434790865571,2,3,1,35,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
15,1.07725229900569,1,1,1,36,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
16,1.37677164166964,2,2,1,38,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
17,0.810693397691924,2,5,1,43,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
18,0.735415561245508,2,3,1,46,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
19,0.703521298086578,2,5,1,51,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
20,0.615937574244625,2,3,1,54,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
1,0.934319470327701,2,-5,2,-5,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
2,0.867936541173627,1,4,2,-1,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
3,1.11108502909121,1,1,2,0,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
4,1.05329943284408,2,3,2,3,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
5,0.795119231093775,1,5,2,8,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
6,0.581032112577727,1,3,2,11,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
7,0.838867079344578,2,1,2,12,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
8,0.884289201620967,1,1,2,13,"1;2","NLWXDDuD",0,1,NA,0,1.24,2
