"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.947530664008073,2,4,1,4,"1;2","NQHAzohz",0,2,NA,0,0.79,1
2,0.842585143821471,2,4,1,8,"1;2","NQHAzohz",0,2,NA,0,0.79,1
3,1.28196115176348,2,8,1,16,"1;2","NQHAzohz",0,2,NA,0,0.79,1
4,0.637398938432599,2,6,1,22,"1;2","NQHAzohz",0,2,NA,0,0.79,1
5,0.940811627816278,2,7,1,29,"1;2","NQHAzohz",0,2,NA,0,0.79,1
6,0.667575364690584,2,2,1,31,"1;2","NQHAzohz",0,2,NA,0,0.79,1
7,0.823156729381532,2,3,1,34,"1;2","NQHAzohz",0,2,NA,0,0.79,1
8,0.6773335106754,2,2,1,36,"1;2","NQHAzohz",0,2,NA,0,0.79,1
9,0.607907037032986,2,3,1,39,"1;2","NQHAzohz",0,2,NA,0,0.79,1
10,0.5,2,2,1,41,"1;2","NQHAzohz",0,2,NA,0,0.79,1
11,0.903593529056064,2,4,1,45,"1;2","NQHAzohz",0,2,NA,0,0.79,1
12,0.916260100906355,2,2,1,47,"1;2","NQHAzohz",0,2,NA,0,0.79,1
13,1.03808476216671,2,0,1,47,"1;2","NQHAzohz",0,2,NA,0,0.79,1
14,0.813479753334718,2,-1,1,46,"1;2","NQHAzohz",0,2,NA,0,0.79,1
15,0.880726604513706,2,4,1,50,"1;2","NQHAzohz",0,2,NA,0,0.79,1
16,1.01386910592872,2,2,1,52,"1;2","NQHAzohz",0,2,NA,0,0.79,1
17,0.880655310253559,1,2,1,54,"1;2","NQHAzohz",0,2,NA,0,0.79,1
18,0.929171085567019,2,4,1,58,"1;2","NQHAzohz",0,2,NA,0,0.79,1
19,0.816598013044086,2,7,1,65,"1;2","NQHAzohz",0,2,NA,0,0.79,1
20,0.825096332379041,2,5,1,70,"1;2","NQHAzohz",0,2,NA,0,0.79,1
1,0.711455958471023,2,-4,2,-4,"1;2","NQHAzohz",0,2,NA,0,0.79,1
2,0.753196404324011,1,4,2,0,"1;2","NQHAzohz",0,2,NA,0,0.79,1
3,0.966076025804592,1,3,2,3,"1;2","NQHAzohz",0,2,NA,0,0.79,1
4,1.1138278965642,1,6,2,9,"1;2","NQHAzohz",0,2,NA,0,0.79,1
5,1.01697009217727,1,4,2,13,"1;2","NQHAzohz",0,2,NA,0,0.79,1
6,0.884942078860441,1,3,2,16,"1;2","NQHAzohz",0,2,NA,0,0.79,1
7,0.75309171370199,1,4,2,20,"1;2","NQHAzohz",0,2,NA,0,0.79,1
8,0.92575037451752,1,4,2,24,"1;2","NQHAzohz",0,2,NA,0,0.79,1
9,1.04290656287405,1,5,2,29,"1;2","NQHAzohz",0,2,NA,0,0.79,1
10,0.803811903862981,1,3,2,32,"1;2","NQHAzohz",0,2,NA,0,0.79,1
11,0.986938598657626,1,3,2,35,"1;2","NQHAzohz",0,2,NA,0,0.79,1
12,0.639823684678766,1,-1,2,34,"1;2","NQHAzohz",0,2,NA,0,0.79,1
13,1.12025409988527,1,4,2,38,"1;2","NQHAzohz",0,2,NA,0,0.79,1
14,0.830706116213163,2,13,2,51,"1;2","NQHAzohz",0,2,NA,0,0.79,1
15,0.711046672579285,1,6,2,57,"1;2","NQHAzohz",0,2,NA,0,0.79,1
16,1.07160554606407,1,-1,2,56,"1;2","NQHAzohz",0,2,NA,0,0.79,1
