"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.06106366441285,1,1,1,1,"2;1","NbRbbq3j",0,1,NA,1,1,3
2,0.824056689875165,1,4,1,5,"2;1","NbRbbq3j",0,1,NA,1,1,3
3,0.691310690871296,1,4,1,9,"2;1","NbRbbq3j",0,1,NA,1,1,3
4,0.5,1,-1,1,8,"2;1","NbRbbq3j",0,1,NA,1,1,3
5,0.569097073952073,2,-2,1,6,"2;1","NbRbbq3j",0,1,NA,1,1,3
6,0.594764863390555,1,4,1,10,"2;1","NbRbbq3j",0,1,NA,1,1,3
7,0.943922099780138,1,4,1,14,"2;1","NbRbbq3j",0,1,NA,1,1,3
8,0.5,1,3,1,17,"2;1","NbRbbq3j",0,1,NA,1,1,3
9,0.983890383601979,1,-1,1,16,"2;1","NbRbbq3j",0,1,NA,1,1,3
10,0.950974930083744,2,6,1,22,"2;1","NbRbbq3j",0,1,NA,1,1,3
11,0.665499978744776,2,5,1,27,"2;1","NbRbbq3j",0,1,NA,1,1,3
12,0.645137003489213,2,5,1,32,"2;1","NbRbbq3j",0,1,NA,1,1,3
13,0.799640998051986,1,2,1,34,"2;1","NbRbbq3j",0,1,NA,1,1,3
14,0.847587553632096,1,1,1,35,"2;1","NbRbbq3j",0,1,NA,1,1,3
15,0.595102017788153,2,2,1,37,"2;1","NbRbbq3j",0,1,NA,1,1,3
16,0.552252768679997,2,5,1,42,"2;1","NbRbbq3j",0,1,NA,1,1,3
17,0.5,1,3,1,45,"2;1","NbRbbq3j",0,1,NA,1,1,3
18,0.786418234496192,1,3,1,48,"2;1","NbRbbq3j",0,1,NA,1,1,3
19,0.5,2,2,1,50,"2;1","NbRbbq3j",0,1,NA,1,1,3
20,0.673280488846182,1,3,1,53,"2;1","NbRbbq3j",0,1,NA,1,1,3
1,0.696143409418114,1,2,2,2,"1;2","NbRbbq3j",0,1,NA,1,1,3
2,1.2022902895058,1,4,2,6,"1;2","NbRbbq3j",0,1,NA,1,1,3
3,0.97938589546989,2,19,2,25,"1;2","NbRbbq3j",0,1,NA,1,1,3
4,0.982207376697084,2,-9,2,16,"1;2","NbRbbq3j",0,1,NA,1,1,3
5,0.8264833361044,1,3,2,19,"1;2","NbRbbq3j",0,1,NA,1,1,3
6,0.5,1,8,2,27,"1;2","NbRbbq3j",0,1,NA,1,1,3
7,1.01551546730021,1,4,2,31,"1;2","NbRbbq3j",0,1,NA,1,1,3
8,0.745386412087888,1,4,2,35,"1;2","NbRbbq3j",0,1,NA,1,1,3
9,0.990206135233489,1,3,2,38,"1;2","NbRbbq3j",0,1,NA,1,1,3
10,1.06970141613842,1,3,2,41,"1;2","NbRbbq3j",0,1,NA,1,1,3
11,1.32264467455519,2,11,2,52,"1;2","NbRbbq3j",0,1,NA,1,1,3
12,0.622189791091189,1,2,2,54,"1;2","NbRbbq3j",0,1,NA,1,1,3
13,1.00375415862399,1,1,2,55,"1;2","NbRbbq3j",0,1,NA,1,1,3
14,1.01365894412878,2,17,2,72,"1;2","NbRbbq3j",0,1,NA,1,1,3
15,0.993094638679835,1,4,2,76,"1;2","NbRbbq3j",0,1,NA,1,1,3
16,0.843098233278626,1,4,2,80,"1;2","NbRbbq3j",0,1,NA,1,1,3
17,0.999957820412755,1,1,2,81,"1;2","NbRbbq3j",0,1,NA,1,1,3
18,0.5,1,5,2,86,"1;2","NbRbbq3j",0,1,NA,1,1,3
19,1.14433086620041,1,2,2,88,"1;2","NbRbbq3j",0,1,NA,1,1,3
20,0.623209468758137,1,2,2,90,"1;2","NbRbbq3j",0,1,NA,1,1,3
21,0.654643246445693,2,4,2,94,"1;2","NbRbbq3j",0,1,NA,1,1,3
22,0.5,2,30,2,124,"1;2","NbRbbq3j",0,1,NA,1,1,3
23,0.748160701785416,1,5,2,129,"1;2","NbRbbq3j",0,1,NA,1,1,3
24,1.06288571432368,1,0,2,129,"1;2","NbRbbq3j",0,1,NA,1,1,3
25,0.830026470149893,1,5,2,134,"1;2","NbRbbq3j",0,1,NA,1,1,3
1,0.922800239605742,1,1,3,1,"1;2","NbRbbq3j",0,1,NA,1,1,3
2,0.958221747670748,1,3,3,4,"1;2","NbRbbq3j",0,1,NA,1,1,3
3,0.757949513831891,1,2,3,6,"1;2","NbRbbq3j",0,1,NA,1,1,3
4,0.615811797063639,2,-11,3,-5,"1;2","NbRbbq3j",0,1,NA,1,1,3
5,0.547323033692208,1,4,3,-1,"1;2","NbRbbq3j",0,1,NA,1,1,3
6,0.585243423401674,1,5,3,4,"1;2","NbRbbq3j",0,1,NA,1,1,3
7,0.76281905159717,2,10,3,14,"1;2","NbRbbq3j",0,1,NA,1,1,3
8,0.5,1,5,3,19,"1;2","NbRbbq3j",0,1,NA,1,1,3
9,0.833293189290467,2,20,3,39,"1;2","NbRbbq3j",0,1,NA,1,1,3
10,0.678044215098038,1,5,3,44,"1;2","NbRbbq3j",0,1,NA,1,1,3
