"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.72056533913609,1,5,1,5,"2;1","NtTf95dm",0,2,NA,0,0.89,2
2,0.540472757491608,1,3,1,8,"2;1","NtTf95dm",0,2,NA,0,0.89,2
3,0.785336931442965,1,1,1,9,"2;1","NtTf95dm",0,2,NA,0,0.89,2
4,1.18563291131613,1,2,1,11,"2;1","NtTf95dm",0,2,NA,0,0.89,2
5,0.585003131863126,1,7,1,18,"2;1","NtTf95dm",0,2,NA,0,0.89,2
6,0.833995542201211,1,0,1,18,"2;1","NtTf95dm",0,2,NA,0,0.89,2
7,1.13089458820013,1,0,1,18,"2;1","NtTf95dm",0,2,NA,0,0.89,2
8,0.929118501595407,1,3,1,21,"2;1","NtTf95dm",0,2,NA,0,0.89,2
9,0.942077311201586,1,-1,1,20,"2;1","NtTf95dm",0,2,NA,0,0.89,2
10,0.897948679175701,1,2,1,22,"2;1","NtTf95dm",0,2,NA,0,0.89,2
11,0.794428218378307,1,-1,1,21,"2;1","NtTf95dm",0,2,NA,0,0.89,2
12,0.708491683533185,2,4,1,25,"2;1","NtTf95dm",0,2,NA,0,0.89,2
13,0.5,1,2,1,27,"2;1","NtTf95dm",0,2,NA,0,0.89,2
14,0.860122251263244,1,2,1,29,"2;1","NtTf95dm",0,2,NA,0,0.89,2
15,1.22425548832297,1,3,1,32,"2;1","NtTf95dm",0,2,NA,0,0.89,2
16,0.881858069414153,1,3,1,35,"2;1","NtTf95dm",0,2,NA,0,0.89,2
17,0.778219762707083,1,0,1,35,"2;1","NtTf95dm",0,2,NA,0,0.89,2
18,0.5,1,1,1,36,"2;1","NtTf95dm",0,2,NA,0,0.89,2
19,0.5,1,5,1,41,"2;1","NtTf95dm",0,2,NA,0,0.89,2
20,0.694736432221622,1,5,1,46,"2;1","NtTf95dm",0,2,NA,0,0.89,2
