"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,3,1,3,"1;2","NypgifXA",0,1,NA,0,1.13,1
2,1.02605912559054,1,5,1,8,"1;2","NypgifXA",0,1,NA,0,1.13,1
3,0.954615923057163,1,4,1,12,"1;2","NypgifXA",0,1,NA,0,1.13,1
4,0.5,2,0,1,12,"1;2","NypgifXA",0,1,NA,0,1.13,1
5,0.828072590130626,1,4,1,16,"1;2","NypgifXA",0,1,NA,0,1.13,1
6,1.08907428295481,1,5,1,21,"1;2","NypgifXA",0,1,NA,0,1.13,1
7,1.1779964156938,1,3,1,24,"1;2","NypgifXA",0,1,NA,0,1.13,1
8,0.669918531297434,1,6,1,30,"1;2","NypgifXA",0,1,NA,0,1.13,1
9,0.53453614158942,2,4,1,34,"1;2","NypgifXA",0,1,NA,0,1.13,1
10,0.5,2,2,1,36,"1;2","NypgifXA",0,1,NA,0,1.13,1
11,0.673636311951124,1,5,1,41,"1;2","NypgifXA",0,1,NA,0,1.13,1
12,0.612720112825236,2,2,1,43,"1;2","NypgifXA",0,1,NA,0,1.13,1
13,1.01667730847941,2,2,1,45,"1;2","NypgifXA",0,1,NA,0,1.13,1
14,1.25924985660266,2,3,1,48,"1;2","NypgifXA",0,1,NA,0,1.13,1
15,0.848233449928792,2,6,1,54,"1;2","NypgifXA",0,1,NA,0,1.13,1
16,1.01149711462461,1,1,1,55,"1;2","NypgifXA",0,1,NA,0,1.13,1
17,1.15601115247626,1,1,1,56,"1;2","NypgifXA",0,1,NA,0,1.13,1
18,0.523860876889497,2,3,1,59,"1;2","NypgifXA",0,1,NA,0,1.13,1
19,0.624616557687462,1,2,1,61,"1;2","NypgifXA",0,1,NA,0,1.13,1
20,0.789693054178078,2,7,1,68,"1;2","NypgifXA",0,1,NA,0,1.13,1
1,0.903289239591408,1,-1,2,-1,"2;1","NypgifXA",0,1,NA,0,1.13,1
2,1.08269478259518,1,-6,2,-7,"2;1","NypgifXA",0,1,NA,0,1.13,1
3,0.713690868865672,2,3,2,-4,"2;1","NypgifXA",0,1,NA,0,1.13,1
4,1.09770488889767,1,3,2,-1,"2;1","NypgifXA",0,1,NA,0,1.13,1
5,0.685203384368527,2,3,2,2,"2;1","NypgifXA",0,1,NA,0,1.13,1
6,0.551042434337645,2,6,2,8,"2;1","NypgifXA",0,1,NA,0,1.13,1
7,0.812551686752919,2,9,2,17,"2;1","NypgifXA",0,1,NA,0,1.13,1
8,0.939813126191516,1,8,2,25,"2;1","NypgifXA",0,1,NA,0,1.13,1
9,0.915702736498456,1,4,2,29,"2;1","NypgifXA",0,1,NA,0,1.13,1
10,0.931395068070599,2,3,2,32,"2;1","NypgifXA",0,1,NA,0,1.13,1
11,1.0797505043841,2,3,2,35,"2;1","NypgifXA",0,1,NA,0,1.13,1
12,0.792627142085459,2,8,2,43,"2;1","NypgifXA",0,1,NA,0,1.13,1
13,1.11389297658331,1,-17,2,26,"2;1","NypgifXA",0,1,NA,0,1.13,1
14,0.778475295962061,2,5,2,31,"2;1","NypgifXA",0,1,NA,0,1.13,1
15,0.629559007145959,2,2,2,33,"2;1","NypgifXA",0,1,NA,0,1.13,1
16,0.798563314701723,2,6,2,39,"2;1","NypgifXA",0,1,NA,0,1.13,1
17,0.727499473688937,2,6,2,45,"2;1","NypgifXA",0,1,NA,0,1.13,1
18,0.867491047486433,1,36,2,81,"2;1","NypgifXA",0,1,NA,0,1.13,1
19,0.621041648082727,2,7,2,88,"2;1","NypgifXA",0,1,NA,0,1.13,1
20,0.713590798557178,2,3,2,91,"2;1","NypgifXA",0,1,NA,0,1.13,1
21,0.952317924486513,1,-2,2,89,"2;1","NypgifXA",0,1,NA,0,1.13,1
22,0.849343902117247,2,4,2,93,"2;1","NypgifXA",0,1,NA,0,1.13,1
23,0.85032718920388,2,6,2,99,"2;1","NypgifXA",0,1,NA,0,1.13,1
24,0.568460769311881,1,5,2,104,"2;1","NypgifXA",0,1,NA,0,1.13,1
25,0.821943846595831,1,11,2,115,"2;1","NypgifXA",0,1,NA,0,1.13,1
1,1.07571155969723,1,3,3,3,"1;2","NypgifXA",0,1,NA,0,1.13,1
