"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.742851944774284,1,4,1,4,"1;2","OBFeRDvh",100,5,5,0,1,2
2,0.84721730120065,1,4,1,8,"1;2","OBFeRDvh",100,5,5,0,1,2
3,0.519679978359698,1,3,1,11,"1;2","OBFeRDvh",100,5,5,0,1,2
4,0.955357266374373,1,5,1,16,"1;2","OBFeRDvh",100,5,5,0,1,2
5,0.718642163216501,1,1,1,17,"1;2","OBFeRDvh",100,5,5,0,1,2
6,0.707999272447451,1,1,1,18,"1;2","OBFeRDvh",100,5,5,0,1,2
7,0.547081627772933,1,0,1,18,"1;2","OBFeRDvh",100,5,5,0,1,2
8,0.822664165344967,1,5,1,23,"1;2","OBFeRDvh",100,5,5,0,1,2
9,0.707130435421621,2,1,1,24,"1;2","OBFeRDvh",100,5,5,0,1,2
10,1.13048833164402,2,5,1,29,"1;2","OBFeRDvh",100,5,5,0,1,2
11,0.886663354360663,2,3,1,32,"1;2","OBFeRDvh",100,5,5,0,1,2
12,0.612120028452261,2,1,1,33,"1;2","OBFeRDvh",100,5,5,0,1,2
13,0.85075396953388,1,5,1,38,"1;2","OBFeRDvh",100,5,5,0,1,2
14,0.5,2,6,1,44,"1;2","OBFeRDvh",100,5,5,0,1,2
15,1.02653150172127,2,4,1,48,"1;2","OBFeRDvh",100,5,5,0,1,2
16,0.864201785479239,1,1,1,49,"1;2","OBFeRDvh",100,5,5,0,1,2
17,1.31095200914423,1,3,1,52,"1;2","OBFeRDvh",100,5,5,0,1,2
18,0.659911491612278,2,4,1,56,"1;2","OBFeRDvh",100,5,5,0,1,2
19,0.749730373531316,2,1,1,57,"1;2","OBFeRDvh",100,5,5,0,1,2
20,0.5,1,4,1,61,"1;2","OBFeRDvh",100,5,5,0,1,2
1,0.91293956533928,1,5,2,5,"1;2","OBFeRDvh",100,5,5,0,1,2
2,0.730559422127956,1,5,2,10,"1;2","OBFeRDvh",100,5,5,0,1,2
3,0.804358464845802,2,24,2,34,"1;2","OBFeRDvh",100,5,5,0,1,2
4,0.681824712043637,2,17,2,51,"1;2","OBFeRDvh",100,5,5,0,1,2
5,0.807826441946601,2,-10,2,41,"1;2","OBFeRDvh",100,5,5,0,1,2
6,0.796584572849524,2,-2,2,39,"1;2","OBFeRDvh",100,5,5,0,1,2
7,0.864387290616341,2,-3,2,36,"1;2","OBFeRDvh",100,5,5,0,1,2
8,1.05339154147432,1,3,2,39,"1;2","OBFeRDvh",100,5,5,0,1,2
9,0.824283415211852,2,22,2,61,"1;2","OBFeRDvh",100,5,5,0,1,2
10,0.534755612514858,2,2,2,63,"1;2","OBFeRDvh",100,5,5,0,1,2
11,1.10843003145572,2,16,2,79,"1;2","OBFeRDvh",100,5,5,0,1,2
12,0.702263208968622,1,4,2,83,"1;2","OBFeRDvh",100,5,5,0,1,2
13,0.876153477575052,1,1,2,84,"1;2","OBFeRDvh",100,5,5,0,1,2
14,0.774575416442189,1,3,2,87,"1;2","OBFeRDvh",100,5,5,0,1,2
15,1.0281012665701,2,18,2,105,"1;2","OBFeRDvh",100,5,5,0,1,2
16,0.5,1,8,2,113,"1;2","OBFeRDvh",100,5,5,0,1,2
17,0.605006872319004,2,27,2,140,"1;2","OBFeRDvh",100,5,5,0,1,2
18,0.5,2,2,2,142,"1;2","OBFeRDvh",100,5,5,0,1,2
19,0.522330561606899,2,-1,2,141,"1;2","OBFeRDvh",100,5,5,0,1,2
20,1.23066475590336,2,31,2,172,"1;2","OBFeRDvh",100,5,5,0,1,2
21,0.583203535831396,2,4,2,176,"1;2","OBFeRDvh",100,5,5,0,1,2
