"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.900859214146138,1,0,1,0,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
2,0.677640600348788,1,4,1,4,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
3,0.563419986323381,1,4,1,8,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
4,1.05586481198945,1,6,1,14,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
5,0.5,2,2,1,16,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
6,0.757925414904803,2,1,1,17,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
7,0.780129809965048,1,1,1,18,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
8,1.01556800782351,1,6,1,24,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
9,0.664083978607015,1,7,1,31,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
10,0.994064438146788,2,6,1,37,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
11,0.518276109781221,1,6,1,43,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
12,0.763445009179125,1,7,1,50,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
13,0.840056689213411,1,4,1,54,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
14,0.5,2,4,1,58,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
15,1.11151290116975,2,3,1,61,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
16,1.12801566451123,1,5,1,66,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
17,0.616006272749527,2,5,1,71,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
18,0.698192991316396,2,3,1,74,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
19,0.883455270500746,1,5,1,79,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
20,0.829912042378027,1,3,1,82,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
1,0.768096158729725,2,4,2,4,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
2,0.582852048914863,2,7,2,11,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
3,0.711113282462725,2,3,2,14,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
4,0.508504701699543,2,2,2,16,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
5,0.50398134751263,2,6,2,22,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
6,0.5,2,3,2,25,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
7,0.737752972046468,1,-16,2,9,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
8,0.809792248121308,2,0,2,9,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
9,1.20453580068735,2,2,2,11,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
10,1.11840256636356,1,-9,2,2,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
11,0.737865902223887,2,4,2,6,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
12,0.544028108308316,1,-12,2,-6,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
13,0.794443033459521,2,1,2,-5,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
14,0.935810597413148,2,3,2,-2,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
15,0.5,2,4,2,2,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
16,0.766778371472016,1,-12,2,-10,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
17,0.928395458263277,2,4,2,-6,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
18,0.650725301129944,2,2,2,-4,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
19,0.718865212185191,1,1,2,-3,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
20,0.87092173596519,1,4,2,1,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
21,0.933930923590057,2,4,2,5,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
22,0.644701678350238,2,-4,2,1,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
23,0.631463062469794,1,11,2,12,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
24,0.709264690015293,1,3,2,15,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
25,1.13331279270379,1,18,2,33,"2;1","OpFczGSZ",0,3,NA,1,0.65,1
1,0.56621036494218,1,3,3,3,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
2,0.5,1,0,3,3,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
3,0.566985875373001,1,4,3,7,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
4,0.87782842759592,1,3,3,10,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
5,0.690508529321818,1,4,3,14,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
6,0.945993458345242,1,3,3,17,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
7,0.700247874911871,1,-2,3,15,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
8,0.654340545522616,2,18,3,33,"1;2","OpFczGSZ",0,3,NA,1,0.65,1
