"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.521891639211251,2,3,1,3,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
2,0.815469996755182,2,4,1,7,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
3,0.617536440379734,2,2,1,9,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
4,0.5,2,3,1,12,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
5,0.87857420399492,1,4,1,16,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
6,0.567366883716713,1,3,1,19,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
7,0.913617230827132,1,4,1,23,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
8,1.01294414460714,2,3,1,26,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
9,1.08373653888873,2,3,1,29,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
10,0.5,2,0,1,29,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
11,0.530029329112582,2,-2,1,27,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
12,0.672108472697869,2,0,1,27,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
13,0.898174790712177,1,4,1,31,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
14,0.826107697817344,2,4,1,35,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
15,0.698914202598326,1,8,1,43,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
16,0.577783703410323,2,0,1,43,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
17,0.625347315821045,2,7,1,50,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
18,0.669347142385962,2,2,1,52,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
19,0.5,2,4,1,56,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
20,0.716890788279464,1,5,1,61,"1;2","OuMRF5Nf",100,4,6,0,1.2,2
1,0.5,1,20,2,20,"2;1","OuMRF5Nf",100,4,6,0,1.2,2
2,0.583082151700133,1,-10,2,10,"2;1","OuMRF5Nf",100,4,6,0,1.2,2
