"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.819344775434836,2,-1,1,-1,"1;2","P3NSUlgP",100,5,4,3,0.8,2
2,0.511639466054145,2,5,1,4,"1;2","P3NSUlgP",100,5,4,3,0.8,2
3,0.5,2,4,1,8,"1;2","P3NSUlgP",100,5,4,3,0.8,2
4,0.502343280653253,2,4,1,12,"1;2","P3NSUlgP",100,5,4,3,0.8,2
5,0.927255295469863,2,4,1,16,"1;2","P3NSUlgP",100,5,4,3,0.8,2
6,0.73190204341883,2,3,1,19,"1;2","P3NSUlgP",100,5,4,3,0.8,2
7,1.07868559005652,2,3,1,22,"1;2","P3NSUlgP",100,5,4,3,0.8,2
8,0.778120175577297,2,1,1,23,"1;2","P3NSUlgP",100,5,4,3,0.8,2
9,1.13032017943633,2,2,1,25,"1;2","P3NSUlgP",100,5,4,3,0.8,2
10,0.83176154204684,1,6,1,31,"1;2","P3NSUlgP",100,5,4,3,0.8,2
11,1.0040308578823,1,5,1,36,"1;2","P3NSUlgP",100,5,4,3,0.8,2
12,0.5,2,3,1,39,"1;2","P3NSUlgP",100,5,4,3,0.8,2
13,0.634766219154519,2,0,1,39,"1;2","P3NSUlgP",100,5,4,3,0.8,2
14,0.696227266347714,2,4,1,43,"1;2","P3NSUlgP",100,5,4,3,0.8,2
15,1.07393235881673,2,6,1,49,"1;2","P3NSUlgP",100,5,4,3,0.8,2
16,0.894663485925744,2,0,1,49,"1;2","P3NSUlgP",100,5,4,3,0.8,2
17,0.923442432998226,2,2,1,51,"1;2","P3NSUlgP",100,5,4,3,0.8,2
18,0.995673775905064,2,0,1,51,"1;2","P3NSUlgP",100,5,4,3,0.8,2
19,0.707413223104517,1,4,1,55,"1;2","P3NSUlgP",100,5,4,3,0.8,2
20,0.75154990007439,1,-1,1,54,"1;2","P3NSUlgP",100,5,4,3,0.8,2
1,0.826905326153628,1,13,2,13,"2;1","P3NSUlgP",100,5,4,3,0.8,2
2,1.00022758027476,1,1,2,14,"2;1","P3NSUlgP",100,5,4,3,0.8,2
3,0.719537688120025,1,5,2,19,"2;1","P3NSUlgP",100,5,4,3,0.8,2
4,0.99234486139034,1,-11,2,8,"2;1","P3NSUlgP",100,5,4,3,0.8,2
5,0.609816706204396,2,1,2,9,"2;1","P3NSUlgP",100,5,4,3,0.8,2
6,0.686360827789872,1,0,2,9,"2;1","P3NSUlgP",100,5,4,3,0.8,2
7,1.12209808521199,1,-6,2,3,"2;1","P3NSUlgP",100,5,4,3,0.8,2
8,0.959483019096349,1,-18,2,-15,"2;1","P3NSUlgP",100,5,4,3,0.8,2
9,0.5,1,10,2,-5,"2;1","P3NSUlgP",100,5,4,3,0.8,2
10,0.939867736475028,1,11,2,6,"2;1","P3NSUlgP",100,5,4,3,0.8,2
11,0.738044101682952,1,6,2,12,"2;1","P3NSUlgP",100,5,4,3,0.8,2
12,1.01033124315375,1,6,2,18,"2;1","P3NSUlgP",100,5,4,3,0.8,2
13,0.607999170347881,1,30,2,48,"2;1","P3NSUlgP",100,5,4,3,0.8,2
14,0.704615527432799,1,20,2,68,"2;1","P3NSUlgP",100,5,4,3,0.8,2
15,0.843082859110484,2,3,2,71,"2;1","P3NSUlgP",100,5,4,3,0.8,2
16,0.710168224475924,1,-2,2,69,"2;1","P3NSUlgP",100,5,4,3,0.8,2
17,0.5,1,5,2,74,"2;1","P3NSUlgP",100,5,4,3,0.8,2
