"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02230411938887,2,4,1,4,"1;2","P8FeWzF3",100,5,6,0,1.2,3
2,1.15226232008863,2,0,1,4,"1;2","P8FeWzF3",100,5,6,0,1.2,3
3,0.842871664039813,2,-1,1,3,"1;2","P8FeWzF3",100,5,6,0,1.2,3
4,0.5,2,8,1,11,"1;2","P8FeWzF3",100,5,6,0,1.2,3
5,0.616893454313794,2,9,1,20,"1;2","P8FeWzF3",100,5,6,0,1.2,3
6,0.963554043869505,2,-1,1,19,"1;2","P8FeWzF3",100,5,6,0,1.2,3
7,1.06432281996546,2,6,1,25,"1;2","P8FeWzF3",100,5,6,0,1.2,3
8,0.5,2,2,1,27,"1;2","P8FeWzF3",100,5,6,0,1.2,3
9,0.879876563705169,2,2,1,29,"1;2","P8FeWzF3",100,5,6,0,1.2,3
10,0.77724655873801,2,4,1,33,"1;2","P8FeWzF3",100,5,6,0,1.2,3
11,1.05710687083642,2,0,1,33,"1;2","P8FeWzF3",100,5,6,0,1.2,3
12,0.5,2,5,1,38,"1;2","P8FeWzF3",100,5,6,0,1.2,3
13,0.5,2,0,1,38,"1;2","P8FeWzF3",100,5,6,0,1.2,3
14,0.680031893253861,2,2,1,40,"1;2","P8FeWzF3",100,5,6,0,1.2,3
15,0.57202103536409,2,4,1,44,"1;2","P8FeWzF3",100,5,6,0,1.2,3
16,0.732768913215231,2,5,1,49,"1;2","P8FeWzF3",100,5,6,0,1.2,3
17,0.656465934677105,2,5,1,54,"1;2","P8FeWzF3",100,5,6,0,1.2,3
18,0.812594515911808,1,2,1,56,"1;2","P8FeWzF3",100,5,6,0,1.2,3
19,0.874014341742967,2,3,1,59,"1;2","P8FeWzF3",100,5,6,0,1.2,3
20,0.506715397916302,2,4,1,63,"1;2","P8FeWzF3",100,5,6,0,1.2,3
1,1.16433086568917,2,5,2,5,"2;1","P8FeWzF3",100,5,6,0,1.2,3
2,0.863766736131093,2,1,2,6,"2;1","P8FeWzF3",100,5,6,0,1.2,3
3,0.579988500656859,2,2,2,8,"2;1","P8FeWzF3",100,5,6,0,1.2,3
4,0.9293624210605,2,5,2,13,"2;1","P8FeWzF3",100,5,6,0,1.2,3
5,1.10161509786472,2,3,2,16,"2;1","P8FeWzF3",100,5,6,0,1.2,3
6,0.831172048178772,2,4,2,20,"2;1","P8FeWzF3",100,5,6,0,1.2,3
7,0.641671542017956,2,-1,2,19,"2;1","P8FeWzF3",100,5,6,0,1.2,3
8,0.671043289720423,2,3,2,22,"2;1","P8FeWzF3",100,5,6,0,1.2,3
9,0.501135202998699,2,4,2,26,"2;1","P8FeWzF3",100,5,6,0,1.2,3
10,0.595156580615865,2,7,2,33,"2;1","P8FeWzF3",100,5,6,0,1.2,3
11,1.14807406406939,2,4,2,37,"2;1","P8FeWzF3",100,5,6,0,1.2,3
12,0.93734359173221,2,3,2,40,"2;1","P8FeWzF3",100,5,6,0,1.2,3
13,0.5,1,-20,2,20,"2;1","P8FeWzF3",100,5,6,0,1.2,3
14,0.734367810662022,2,9,2,29,"2;1","P8FeWzF3",100,5,6,0,1.2,3
15,0.94600626597636,2,5,2,34,"2;1","P8FeWzF3",100,5,6,0,1.2,3
16,0.5,2,2,2,36,"2;1","P8FeWzF3",100,5,6,0,1.2,3
17,1.18590192898684,2,5,2,41,"2;1","P8FeWzF3",100,5,6,0,1.2,3
18,0.801166672359264,2,2,2,43,"2;1","P8FeWzF3",100,5,6,0,1.2,3
19,0.923575864701939,2,3,2,46,"2;1","P8FeWzF3",100,5,6,0,1.2,3
20,0.655406396830434,2,6,2,52,"2;1","P8FeWzF3",100,5,6,0,1.2,3
21,0.843338248089634,2,2,2,54,"2;1","P8FeWzF3",100,5,6,0,1.2,3
22,1.0102964724239,1,-4,2,50,"2;1","P8FeWzF3",100,5,6,0,1.2,3
23,0.894213696484753,1,8,2,58,"2;1","P8FeWzF3",100,5,6,0,1.2,3
24,0.512908462944554,1,0,2,58,"2;1","P8FeWzF3",100,5,6,0,1.2,3
25,0.595430270818531,1,-20,2,38,"2;1","P8FeWzF3",100,5,6,0,1.2,3
1,1.11857834888298,1,8,3,8,"2;1","P8FeWzF3",100,5,6,0,1.2,3
2,0.723696535829713,1,-18,3,-10,"2;1","P8FeWzF3",100,5,6,0,1.2,3
3,0.689912731682719,1,4,3,-6,"2;1","P8FeWzF3",100,5,6,0,1.2,3
4,0.735458724779853,1,-10,3,-16,"2;1","P8FeWzF3",100,5,6,0,1.2,3
5,0.892516576992488,1,-10,3,-26,"2;1","P8FeWzF3",100,5,6,0,1.2,3
6,0.695550618408137,2,9,3,-17,"2;1","P8FeWzF3",100,5,6,0,1.2,3
7,0.807381459638289,1,4,3,-13,"2;1","P8FeWzF3",100,5,6,0,1.2,3
8,1.11484329027718,1,-3,3,-16,"2;1","P8FeWzF3",100,5,6,0,1.2,3
9,0.889810986399138,1,-7,3,-23,"2;1","P8FeWzF3",100,5,6,0,1.2,3
10,1.2555024197667,1,26,3,3,"2;1","P8FeWzF3",100,5,6,0,1.2,3
11,0.5964017752415,2,0,3,3,"2;1","P8FeWzF3",100,5,6,0,1.2,3
12,0.933534723305024,1,3,3,6,"2;1","P8FeWzF3",100,5,6,0,1.2,3
13,0.601612957635811,1,18,3,24,"2;1","P8FeWzF3",100,5,6,0,1.2,3
14,0.841581171384037,1,18,3,42,"2;1","P8FeWzF3",100,5,6,0,1.2,3
15,0.595927148099079,1,4,3,46,"2;1","P8FeWzF3",100,5,6,0,1.2,3
16,0.5,1,5,3,51,"2;1","P8FeWzF3",100,5,6,0,1.2,3
17,1.05217271032765,1,10,3,61,"2;1","P8FeWzF3",100,5,6,0,1.2,3
18,0.68979696244943,1,6,3,67,"2;1","P8FeWzF3",100,5,6,0,1.2,3
19,1.04390003003479,1,0,3,67,"2;1","P8FeWzF3",100,5,6,0,1.2,3
20,0.6482777544303,1,12,3,79,"2;1","P8FeWzF3",100,5,6,0,1.2,3
21,0.5,1,-2,3,77,"2;1","P8FeWzF3",100,5,6,0,1.2,3
22,0.937376448784499,1,2,3,79,"2;1","P8FeWzF3",100,5,6,0,1.2,3
23,0.996779401385853,1,6,3,85,"2;1","P8FeWzF3",100,5,6,0,1.2,3
24,1.01736448175503,1,15,3,100,"2;1","P8FeWzF3",100,5,6,0,1.2,3
25,0.702125367422836,2,8,3,108,"2;1","P8FeWzF3",100,5,6,0,1.2,3
1,0.877456109638104,1,-3,4,-3,"2;1","P8FeWzF3",100,5,6,0,1.2,3
2,0.976265882200665,2,3,4,0,"2;1","P8FeWzF3",100,5,6,0,1.2,3
3,0.929090166034358,2,5,4,5,"2;1","P8FeWzF3",100,5,6,0,1.2,3
4,0.714265955558403,2,3,4,8,"2;1","P8FeWzF3",100,5,6,0,1.2,3
5,0.5,1,-12,4,-4,"2;1","P8FeWzF3",100,5,6,0,1.2,3
6,0.955143941074343,1,6,4,2,"2;1","P8FeWzF3",100,5,6,0,1.2,3
7,1.07694882273573,1,10,4,12,"2;1","P8FeWzF3",100,5,6,0,1.2,3
8,0.556061362626392,2,4,4,16,"2;1","P8FeWzF3",100,5,6,0,1.2,3
9,0.547917813342292,1,-9,4,7,"2;1","P8FeWzF3",100,5,6,0,1.2,3
10,0.987612502458166,1,-3,4,4,"2;1","P8FeWzF3",100,5,6,0,1.2,3
11,1.07281738145572,1,-5,4,-1,"2;1","P8FeWzF3",100,5,6,0,1.2,3
12,1.02045455942178,1,-8,4,-9,"2;1","P8FeWzF3",100,5,6,0,1.2,3
13,1.10460544496043,1,-8,4,-17,"2;1","P8FeWzF3",100,5,6,0,1.2,3
14,0.555886258117752,1,-7,4,-24,"2;1","P8FeWzF3",100,5,6,0,1.2,3
15,1.38095700452234,2,3,4,-21,"2;1","P8FeWzF3",100,5,6,0,1.2,3
16,1.10897303799177,2,5,4,-16,"2;1","P8FeWzF3",100,5,6,0,1.2,3
17,0.720104124259028,1,5,4,-11,"2;1","P8FeWzF3",100,5,6,0,1.2,3
18,1.43721381516707,1,-3,4,-14,"2;1","P8FeWzF3",100,5,6,0,1.2,3
19,0.561633802645685,1,29,4,15,"2;1","P8FeWzF3",100,5,6,0,1.2,3
20,0.5,1,-1,4,14,"2;1","P8FeWzF3",100,5,6,0,1.2,3
21,0.770930115750693,1,19,4,33,"2;1","P8FeWzF3",100,5,6,0,1.2,3
22,0.966371966601471,1,2,4,35,"2;1","P8FeWzF3",100,5,6,0,1.2,3
23,0.837650446505839,1,31,4,66,"2;1","P8FeWzF3",100,5,6,0,1.2,3
24,1.07971053401885,1,-11,4,55,"2;1","P8FeWzF3",100,5,6,0,1.2,3
25,0.898051699627246,1,-6,4,49,"2;1","P8FeWzF3",100,5,6,0,1.2,3
