"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.766419273326687,2,7,1,7,"1;2","PQV1m9Ip",100,6,5,1,1,3
2,0.81655466950961,1,3,1,10,"1;2","PQV1m9Ip",100,6,5,1,1,3
3,0.63602949662839,1,4,1,14,"1;2","PQV1m9Ip",100,6,5,1,1,3
4,0.905180267791317,2,1,1,15,"1;2","PQV1m9Ip",100,6,5,1,1,3
5,0.729625189391418,2,5,1,20,"1;2","PQV1m9Ip",100,6,5,1,1,3
6,0.712621662805286,1,4,1,24,"1;2","PQV1m9Ip",100,6,5,1,1,3
7,0.5,2,4,1,28,"1;2","PQV1m9Ip",100,6,5,1,1,3
8,0.5,2,1,1,29,"1;2","PQV1m9Ip",100,6,5,1,1,3
9,1.16170531119026,1,-1,1,28,"1;2","PQV1m9Ip",100,6,5,1,1,3
10,0.650458431746407,2,3,1,31,"1;2","PQV1m9Ip",100,6,5,1,1,3
11,0.516776087289591,2,4,1,35,"1;2","PQV1m9Ip",100,6,5,1,1,3
12,0.589810428142373,2,4,1,39,"1;2","PQV1m9Ip",100,6,5,1,1,3
13,0.752332961673563,2,2,1,41,"1;2","PQV1m9Ip",100,6,5,1,1,3
14,0.77171983527981,2,3,1,44,"1;2","PQV1m9Ip",100,6,5,1,1,3
15,0.659331987244193,1,3,1,47,"1;2","PQV1m9Ip",100,6,5,1,1,3
16,0.679815493055077,2,5,1,52,"1;2","PQV1m9Ip",100,6,5,1,1,3
17,0.746494036460681,1,3,1,55,"1;2","PQV1m9Ip",100,6,5,1,1,3
18,0.975891448640635,2,-1,1,54,"1;2","PQV1m9Ip",100,6,5,1,1,3
19,0.658983235629777,2,2,1,56,"1;2","PQV1m9Ip",100,6,5,1,1,3
20,0.557944930296736,2,6,1,62,"1;2","PQV1m9Ip",100,6,5,1,1,3
1,1.11622880450851,2,20,2,20,"1;2","PQV1m9Ip",100,6,5,1,1,3
2,0.896778582413789,2,3,2,23,"1;2","PQV1m9Ip",100,6,5,1,1,3
3,0.957166114386611,1,4,2,27,"1;2","PQV1m9Ip",100,6,5,1,1,3
4,1.05886623946957,2,7,2,34,"1;2","PQV1m9Ip",100,6,5,1,1,3
5,0.5,1,4,2,38,"1;2","PQV1m9Ip",100,6,5,1,1,3
6,0.928906644337668,2,3,2,41,"1;2","PQV1m9Ip",100,6,5,1,1,3
7,0.52182078258476,2,6,2,47,"1;2","PQV1m9Ip",100,6,5,1,1,3
8,0.570448902071142,1,2,2,49,"1;2","PQV1m9Ip",100,6,5,1,1,3
9,0.974400872182173,2,2,2,51,"1;2","PQV1m9Ip",100,6,5,1,1,3
10,1.34916595752385,2,2,2,53,"1;2","PQV1m9Ip",100,6,5,1,1,3
11,0.981670024392693,2,-11,2,42,"1;2","PQV1m9Ip",100,6,5,1,1,3
12,0.759836540407636,2,15,2,57,"1;2","PQV1m9Ip",100,6,5,1,1,3
13,0.5,2,-9,2,48,"1;2","PQV1m9Ip",100,6,5,1,1,3
14,1.18753874298794,2,-2,2,46,"1;2","PQV1m9Ip",100,6,5,1,1,3
15,0.891736524685579,1,3,2,49,"1;2","PQV1m9Ip",100,6,5,1,1,3
16,0.555528891429692,1,4,2,53,"1;2","PQV1m9Ip",100,6,5,1,1,3
17,0.846617267560606,2,15,2,68,"1;2","PQV1m9Ip",100,6,5,1,1,3
18,1.16015912023982,2,13,2,81,"1;2","PQV1m9Ip",100,6,5,1,1,3
19,0.866750863239755,2,11,2,92,"1;2","PQV1m9Ip",100,6,5,1,1,3
20,0.95236432246563,2,-7,2,85,"1;2","PQV1m9Ip",100,6,5,1,1,3
21,0.5,1,5,2,90,"1;2","PQV1m9Ip",100,6,5,1,1,3
22,0.972343631126337,1,3,2,93,"1;2","PQV1m9Ip",100,6,5,1,1,3
23,1.29613189322752,2,3,2,96,"1;2","PQV1m9Ip",100,6,5,1,1,3
24,1.03950700905439,1,4,2,100,"1;2","PQV1m9Ip",100,6,5,1,1,3
25,0.884789846763706,1,3,2,103,"1;2","PQV1m9Ip",100,6,5,1,1,3
1,0.874292464001784,1,12,3,12,"2;1","PQV1m9Ip",100,6,5,1,1,3
2,0.683860738624252,1,3,3,15,"2;1","PQV1m9Ip",100,6,5,1,1,3
3,0.5,1,18,3,33,"2;1","PQV1m9Ip",100,6,5,1,1,3
4,0.995909098611238,1,-7,3,26,"2;1","PQV1m9Ip",100,6,5,1,1,3
5,0.56350134731034,1,14,3,40,"2;1","PQV1m9Ip",100,6,5,1,1,3
6,0.5,1,-5,3,35,"2;1","PQV1m9Ip",100,6,5,1,1,3
7,0.961238885113028,1,-10,3,25,"2;1","PQV1m9Ip",100,6,5,1,1,3
8,0.911492174795085,2,3,3,28,"2;1","PQV1m9Ip",100,6,5,1,1,3
9,0.609635461568996,2,7,3,35,"2;1","PQV1m9Ip",100,6,5,1,1,3
10,0.528485285409904,1,-11,3,24,"2;1","PQV1m9Ip",100,6,5,1,1,3
11,0.623817491112082,1,9,3,33,"2;1","PQV1m9Ip",100,6,5,1,1,3
12,0.732056228184421,2,1,3,34,"2;1","PQV1m9Ip",100,6,5,1,1,3
13,0.596082042304357,2,0,3,34,"2;1","PQV1m9Ip",100,6,5,1,1,3
14,1.00508349975269,1,1,3,35,"2;1","PQV1m9Ip",100,6,5,1,1,3
15,1.03317944770794,1,1,3,36,"2;1","PQV1m9Ip",100,6,5,1,1,3
16,0.584006183948431,1,-9,3,27,"2;1","PQV1m9Ip",100,6,5,1,1,3
17,1.03458467237132,1,8,3,35,"2;1","PQV1m9Ip",100,6,5,1,1,3
18,0.760526294369804,1,20,3,55,"2;1","PQV1m9Ip",100,6,5,1,1,3
19,1.06852932773276,1,18,3,73,"2;1","PQV1m9Ip",100,6,5,1,1,3
20,0.633397011439814,1,-1,3,72,"2;1","PQV1m9Ip",100,6,5,1,1,3
21,1.06533551709876,2,2,3,74,"2;1","PQV1m9Ip",100,6,5,1,1,3
22,0.575248246879911,1,-3,3,71,"2;1","PQV1m9Ip",100,6,5,1,1,3
23,1.03770032052645,1,2,3,73,"2;1","PQV1m9Ip",100,6,5,1,1,3
24,1.05811351179001,2,5,3,78,"2;1","PQV1m9Ip",100,6,5,1,1,3
25,0.595899341314734,1,-5,3,73,"2;1","PQV1m9Ip",100,6,5,1,1,3
1,0.673325243402698,2,5,4,5,"2;1","PQV1m9Ip",100,6,5,1,1,3
2,0.984969264968365,2,-1,4,4,"2;1","PQV1m9Ip",100,6,5,1,1,3
3,0.574954073925006,2,1,4,5,"2;1","PQV1m9Ip",100,6,5,1,1,3
4,1.29152235279136,2,4,4,9,"2;1","PQV1m9Ip",100,6,5,1,1,3
5,0.693319619926129,1,-6,4,3,"2;1","PQV1m9Ip",100,6,5,1,1,3
6,0.968953009829252,2,4,4,7,"2;1","PQV1m9Ip",100,6,5,1,1,3
7,0.59119559130684,1,22,4,29,"2;1","PQV1m9Ip",100,6,5,1,1,3
8,1.22060990827362,2,4,4,33,"2;1","PQV1m9Ip",100,6,5,1,1,3
9,0.930979421565776,1,-19,4,14,"2;1","PQV1m9Ip",100,6,5,1,1,3
10,0.712082856165378,1,14,4,28,"2;1","PQV1m9Ip",100,6,5,1,1,3
11,1.12916449156655,1,-4,4,24,"2;1","PQV1m9Ip",100,6,5,1,1,3
12,0.537216205889305,1,9,4,33,"2;1","PQV1m9Ip",100,6,5,1,1,3
13,0.824055531289975,1,-8,4,25,"2;1","PQV1m9Ip",100,6,5,1,1,3
14,0.844538163122572,1,21,4,46,"2;1","PQV1m9Ip",100,6,5,1,1,3
15,0.938027406747108,2,3,4,49,"2;1","PQV1m9Ip",100,6,5,1,1,3
16,0.813917824415099,2,8,4,57,"2;1","PQV1m9Ip",100,6,5,1,1,3
17,1.15248078987372,1,11,4,68,"2;1","PQV1m9Ip",100,6,5,1,1,3
18,0.743842300444074,1,7,4,75,"2;1","PQV1m9Ip",100,6,5,1,1,3
19,1.04642897236844,1,15,4,90,"2;1","PQV1m9Ip",100,6,5,1,1,3
20,0.807138556558372,2,5,4,95,"2;1","PQV1m9Ip",100,6,5,1,1,3
21,0.5,2,6,4,101,"2;1","PQV1m9Ip",100,6,5,1,1,3
22,0.910329994083055,2,9,4,110,"2;1","PQV1m9Ip",100,6,5,1,1,3
23,0.5,1,1,4,111,"2;1","PQV1m9Ip",100,6,5,1,1,3
24,0.566247630305111,2,0,4,111,"2;1","PQV1m9Ip",100,6,5,1,1,3
25,1.30289689566415,1,21,4,132,"2;1","PQV1m9Ip",100,6,5,1,1,3
1,0.711035279965967,1,1,5,1,"1;2","PQV1m9Ip",100,6,5,1,1,3
2,1.06476281025366,1,4,5,5,"1;2","PQV1m9Ip",100,6,5,1,1,3
3,0.927998168579392,1,1,5,6,"1;2","PQV1m9Ip",100,6,5,1,1,3
4,0.773074343602378,1,-1,5,5,"1;2","PQV1m9Ip",100,6,5,1,1,3
5,0.966977068193948,1,5,5,10,"1;2","PQV1m9Ip",100,6,5,1,1,3
6,0.949027008355986,1,3,5,13,"1;2","PQV1m9Ip",100,6,5,1,1,3
7,1.04740257120864,2,14,5,27,"1;2","PQV1m9Ip",100,6,5,1,1,3
8,0.5,1,2,5,29,"1;2","PQV1m9Ip",100,6,5,1,1,3
9,0.883916854298303,2,-4,5,25,"1;2","PQV1m9Ip",100,6,5,1,1,3
10,0.999249169569459,1,5,5,30,"1;2","PQV1m9Ip",100,6,5,1,1,3
11,0.720345905895803,2,7,5,37,"1;2","PQV1m9Ip",100,6,5,1,1,3
12,0.599461635441276,2,10,5,47,"1;2","PQV1m9Ip",100,6,5,1,1,3
13,0.5,2,-1,5,46,"1;2","PQV1m9Ip",100,6,5,1,1,3
14,1.00795808764267,2,2,5,48,"1;2","PQV1m9Ip",100,6,5,1,1,3
15,0.795629097290955,2,2,5,50,"1;2","PQV1m9Ip",100,6,5,1,1,3
16,0.598702324307161,1,1,5,51,"1;2","PQV1m9Ip",100,6,5,1,1,3
17,0.962771992002029,1,2,5,53,"1;2","PQV1m9Ip",100,6,5,1,1,3
18,0.579691867603054,1,2,5,55,"1;2","PQV1m9Ip",100,6,5,1,1,3
19,0.5,1,5,5,60,"1;2","PQV1m9Ip",100,6,5,1,1,3
20,1.08939308714696,2,21,5,81,"1;2","PQV1m9Ip",100,6,5,1,1,3
21,0.867344346140672,2,17,5,98,"1;2","PQV1m9Ip",100,6,5,1,1,3
22,0.919298718364724,1,3,5,101,"1;2","PQV1m9Ip",100,6,5,1,1,3
23,1.09490076382169,1,-1,5,100,"1;2","PQV1m9Ip",100,6,5,1,1,3
24,0.5,1,3,5,103,"1;2","PQV1m9Ip",100,6,5,1,1,3
25,0.842216432587258,1,4,5,107,"1;2","PQV1m9Ip",100,6,5,1,1,3
1,1.12425229424742,2,1,6,1,"1;2","PQV1m9Ip",100,6,5,1,1,3
2,0.5,2,4,6,5,"1;2","PQV1m9Ip",100,6,5,1,1,3
3,0.964327585233965,2,5,6,10,"1;2","PQV1m9Ip",100,6,5,1,1,3
4,0.832466596509856,2,10,6,20,"1;2","PQV1m9Ip",100,6,5,1,1,3
5,0.640992664262258,1,6,6,26,"1;2","PQV1m9Ip",100,6,5,1,1,3
6,0.571798728520495,2,8,6,34,"1;2","PQV1m9Ip",100,6,5,1,1,3
7,0.922598905289528,1,6,6,40,"1;2","PQV1m9Ip",100,6,5,1,1,3
8,0.5,2,9,6,49,"1;2","PQV1m9Ip",100,6,5,1,1,3
9,0.783503898403198,2,-2,6,47,"1;2","PQV1m9Ip",100,6,5,1,1,3
10,0.838659588549931,1,7,6,54,"1;2","PQV1m9Ip",100,6,5,1,1,3
11,0.575673594683567,1,2,6,56,"1;2","PQV1m9Ip",100,6,5,1,1,3
12,0.556360146169932,2,3,6,59,"1;2","PQV1m9Ip",100,6,5,1,1,3
13,0.880128173302381,1,2,6,61,"1;2","PQV1m9Ip",100,6,5,1,1,3
14,0.864396321320661,2,4,6,65,"1;2","PQV1m9Ip",100,6,5,1,1,3
15,0.729888340678454,1,3,6,68,"1;2","PQV1m9Ip",100,6,5,1,1,3
16,0.977683369362895,2,14,6,82,"1;2","PQV1m9Ip",100,6,5,1,1,3
17,1.00761643002377,2,5,6,87,"1;2","PQV1m9Ip",100,6,5,1,1,3
18,1.103090835159,2,-11,6,76,"1;2","PQV1m9Ip",100,6,5,1,1,3
19,0.645738843721636,1,6,6,82,"1;2","PQV1m9Ip",100,6,5,1,1,3
20,0.934983731464501,2,-7,6,75,"1;2","PQV1m9Ip",100,6,5,1,1,3
21,0.890644283880168,2,-3,6,72,"1;2","PQV1m9Ip",100,6,5,1,1,3
22,0.611916620816696,2,4,6,76,"1;2","PQV1m9Ip",100,6,5,1,1,3
23,1.01400192321456,2,9,6,85,"1;2","PQV1m9Ip",100,6,5,1,1,3
24,0.606150474257041,2,2,6,87,"1;2","PQV1m9Ip",100,6,5,1,1,3
25,0.5,2,19,6,106,"1;2","PQV1m9Ip",100,6,5,1,1,3
1,1.11704694681605,1,6,7,6,"2;1","PQV1m9Ip",100,6,5,1,1,3
2,0.651861824443341,2,0,7,6,"2;1","PQV1m9Ip",100,6,5,1,1,3
3,0.759661456015746,2,10,7,16,"2;1","PQV1m9Ip",100,6,5,1,1,3
4,0.5,2,2,7,18,"2;1","PQV1m9Ip",100,6,5,1,1,3
5,0.518730034826188,2,-2,7,16,"2;1","PQV1m9Ip",100,6,5,1,1,3
6,0.5,2,0,7,16,"2;1","PQV1m9Ip",100,6,5,1,1,3
7,0.5,2,3,7,19,"2;1","PQV1m9Ip",100,6,5,1,1,3
8,0.973613269956269,2,0,7,19,"2;1","PQV1m9Ip",100,6,5,1,1,3
9,0.656810799288342,1,-2,7,17,"2;1","PQV1m9Ip",100,6,5,1,1,3
10,0.901288387763953,1,14,7,31,"2;1","PQV1m9Ip",100,6,5,1,1,3
11,0.5,2,0,7,31,"2;1","PQV1m9Ip",100,6,5,1,1,3
12,0.600714521833592,1,18,7,49,"2;1","PQV1m9Ip",100,6,5,1,1,3
13,0.889487842058581,1,-4,7,45,"2;1","PQV1m9Ip",100,6,5,1,1,3
14,0.5,2,2,7,47,"2;1","PQV1m9Ip",100,6,5,1,1,3
15,0.635271763629428,1,1,7,48,"2;1","PQV1m9Ip",100,6,5,1,1,3
16,0.76119362406667,1,2,7,50,"2;1","PQV1m9Ip",100,6,5,1,1,3
17,0.770489085709871,2,1,7,51,"2;1","PQV1m9Ip",100,6,5,1,1,3
18,0.842996431311304,1,6,7,57,"2;1","PQV1m9Ip",100,6,5,1,1,3
19,1.05063801105967,2,6,7,63,"2;1","PQV1m9Ip",100,6,5,1,1,3
20,0.689330041833295,2,8,7,71,"2;1","PQV1m9Ip",100,6,5,1,1,3
21,0.598612186401277,1,3,7,74,"2;1","PQV1m9Ip",100,6,5,1,1,3
22,0.878100965935938,1,-16,7,58,"2;1","PQV1m9Ip",100,6,5,1,1,3
23,0.5,2,2,7,60,"2;1","PQV1m9Ip",100,6,5,1,1,3
24,0.799558977434353,1,6,7,66,"2;1","PQV1m9Ip",100,6,5,1,1,3
25,0.665500049677352,2,5,7,71,"2;1","PQV1m9Ip",100,6,5,1,1,3
1,1.00316434332552,1,-3,8,-3,"2;1","PQV1m9Ip",100,6,5,1,1,3
2,0.89215756902682,1,-5,8,-8,"2;1","PQV1m9Ip",100,6,5,1,1,3
