"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.66504294973203,1,1,1,1,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
2,0.95707136864321,2,3,1,4,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
3,0.602013125722548,1,2,1,6,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
4,0.612813712489085,1,-1,1,5,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
5,0.92522204675108,2,6,1,11,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
6,0.813398352211784,2,0,1,11,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
7,0.74461907541138,2,5,1,16,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
8,0.771396641581258,1,6,1,22,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
9,0.785500068242545,1,1,1,23,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
10,0.5,1,2,1,25,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
11,0.5,2,6,1,31,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
12,0.856077557071635,2,4,1,35,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
13,0.5,2,3,1,38,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
14,0.78718971607512,2,1,1,39,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
15,0.534604660877269,1,2,1,41,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
16,0.913375219472829,2,-3,1,38,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
17,0.933771650396185,2,2,1,40,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
18,0.989291181222474,2,0,1,40,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
19,0.917652581677264,2,5,1,45,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
20,0.654737921423153,1,3,1,48,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
1,0.804043737032803,1,4,2,4,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
2,0.924019401934079,2,3,2,7,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
3,0.653279512029548,2,2,2,9,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
4,0.743927019865412,1,10,2,19,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
5,0.946104155818121,1,-4,2,15,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
6,0.912509467721756,2,3,2,18,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
7,0.5,2,3,2,21,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
8,1.17863496285067,2,10,2,31,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
9,1.0467248662504,1,22,2,53,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
10,0.960381158663493,1,0,2,53,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
11,0.707692136776048,1,-4,2,49,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
12,1.26436371259805,2,4,2,53,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
13,0.795911091184952,1,13,2,66,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
14,0.607218587228704,1,14,2,80,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
15,1.05715684402997,1,-9,2,71,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
16,1.31115548995464,2,3,2,74,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
17,0.788111733669459,1,27,2,101,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
18,0.922061458190339,1,32,2,133,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
19,0.658083317191889,2,5,2,138,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
20,0.5,2,4,2,142,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
21,1.13655013210204,1,-31,2,111,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
22,1.19745928872672,2,2,2,113,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
23,1.08428144622742,1,-10,2,103,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
24,0.685196667678148,2,5,2,108,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
25,0.675657131353887,2,4,2,112,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
1,1.04478103445716,2,4,3,4,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
2,1.27607024625917,2,3,3,7,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
3,1.17573490638238,1,3,3,10,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
4,1.01005790972549,2,5,3,15,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
5,0.699625753238262,2,4,3,19,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
6,0.849799166536787,2,0,3,19,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
7,0.802315482056974,1,-8,3,11,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
8,0.573632378502622,2,1,3,12,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
9,0.662361485503736,1,19,3,31,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
10,1.21675865807845,2,0,3,31,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
11,1.32134446965451,2,7,3,38,"2;1","PRYc4nBx",0,1,NA,1,0.91,3
