"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.973625613034599,1,5,1,5,"1;2","PYvCnkCE",100,5,5,3,1,2
2,0.79407009681286,2,6,1,11,"1;2","PYvCnkCE",100,5,5,3,1,2
3,0.5,1,3,1,14,"1;2","PYvCnkCE",100,5,5,3,1,2
4,0.727400754012547,1,3,1,17,"1;2","PYvCnkCE",100,5,5,3,1,2
5,1.0363300720935,1,0,1,17,"1;2","PYvCnkCE",100,5,5,3,1,2
6,0.902230145828088,1,4,1,21,"1;2","PYvCnkCE",100,5,5,3,1,2
7,1.09027750983792,1,4,1,25,"1;2","PYvCnkCE",100,5,5,3,1,2
8,0.573804231136066,1,3,1,28,"1;2","PYvCnkCE",100,5,5,3,1,2
9,0.753400612847775,1,4,1,32,"1;2","PYvCnkCE",100,5,5,3,1,2
10,0.5,2,4,1,36,"1;2","PYvCnkCE",100,5,5,3,1,2
11,1.17437842366859,1,4,1,40,"1;2","PYvCnkCE",100,5,5,3,1,2
12,1.0166895861125,1,2,1,42,"1;2","PYvCnkCE",100,5,5,3,1,2
13,0.592467036578522,1,3,1,45,"1;2","PYvCnkCE",100,5,5,3,1,2
14,0.991537105052547,2,6,1,51,"1;2","PYvCnkCE",100,5,5,3,1,2
15,0.62025102532858,1,5,1,56,"1;2","PYvCnkCE",100,5,5,3,1,2
16,1.27683764636087,1,7,1,63,"1;2","PYvCnkCE",100,5,5,3,1,2
17,0.736040965238388,1,0,1,63,"1;2","PYvCnkCE",100,5,5,3,1,2
18,0.954963885670578,1,2,1,65,"1;2","PYvCnkCE",100,5,5,3,1,2
19,0.696246078228761,1,0,1,65,"1;2","PYvCnkCE",100,5,5,3,1,2
20,0.826766088190692,2,4,1,69,"1;2","PYvCnkCE",100,5,5,3,1,2
1,0.776379248002239,1,6,2,6,"1;2","PYvCnkCE",100,5,5,3,1,2
2,0.904230694232253,1,3,2,9,"1;2","PYvCnkCE",100,5,5,3,1,2
3,0.94515123741927,1,10,2,19,"1;2","PYvCnkCE",100,5,5,3,1,2
4,0.5,1,10,2,29,"1;2","PYvCnkCE",100,5,5,3,1,2
5,0.513733624367225,1,6,2,35,"1;2","PYvCnkCE",100,5,5,3,1,2
6,0.5,1,9,2,44,"1;2","PYvCnkCE",100,5,5,3,1,2
7,0.899368119358067,1,3,2,47,"1;2","PYvCnkCE",100,5,5,3,1,2
8,0.606593014349447,2,0,2,47,"1;2","PYvCnkCE",100,5,5,3,1,2
9,0.5,1,3,2,50,"1;2","PYvCnkCE",100,5,5,3,1,2
10,0.607569639667989,1,5,2,55,"1;2","PYvCnkCE",100,5,5,3,1,2
