"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.729450118184314,2,2,1,2,"2;1","Psk26S71",0,1,NA,0,1.19,3
2,0.81545734038407,2,5,1,7,"2;1","Psk26S71",0,1,NA,0,1.19,3
3,0.5,2,2,1,9,"2;1","Psk26S71",0,1,NA,0,1.19,3
4,0.671658565264579,2,3,1,12,"2;1","Psk26S71",0,1,NA,0,1.19,3
5,0.756523476488005,2,3,1,15,"2;1","Psk26S71",0,1,NA,0,1.19,3
6,0.800080787893352,1,4,1,19,"2;1","Psk26S71",0,1,NA,0,1.19,3
7,0.736882777902426,2,4,1,23,"2;1","Psk26S71",0,1,NA,0,1.19,3
8,0.5,2,4,1,27,"2;1","Psk26S71",0,1,NA,0,1.19,3
9,0.999762307261566,2,4,1,31,"2;1","Psk26S71",0,1,NA,0,1.19,3
10,0.953719219371416,2,0,1,31,"2;1","Psk26S71",0,1,NA,0,1.19,3
11,1.05645592706621,2,4,1,35,"2;1","Psk26S71",0,1,NA,0,1.19,3
12,1.07776188538661,2,5,1,40,"2;1","Psk26S71",0,1,NA,0,1.19,3
13,0.783405006952869,2,2,1,42,"2;1","Psk26S71",0,1,NA,0,1.19,3
14,1.29748048241106,2,4,1,46,"2;1","Psk26S71",0,1,NA,0,1.19,3
15,1.21827371563815,2,2,1,48,"2;1","Psk26S71",0,1,NA,0,1.19,3
16,0.748873600110341,2,-1,1,47,"2;1","Psk26S71",0,1,NA,0,1.19,3
17,0.5,2,0,1,47,"2;1","Psk26S71",0,1,NA,0,1.19,3
18,0.595629433705412,2,3,1,50,"2;1","Psk26S71",0,1,NA,0,1.19,3
19,0.596519603196161,2,5,1,55,"2;1","Psk26S71",0,1,NA,0,1.19,3
20,0.72335926948515,2,4,1,59,"2;1","Psk26S71",0,1,NA,0,1.19,3
1,1.26372000086006,2,-3,2,-3,"1;2","Psk26S71",0,1,NA,0,1.19,3
2,0.5,1,4,2,1,"1;2","Psk26S71",0,1,NA,0,1.19,3
3,0.727101418060391,1,5,2,6,"1;2","Psk26S71",0,1,NA,0,1.19,3
4,0.851413298923864,1,8,2,14,"1;2","Psk26S71",0,1,NA,0,1.19,3
5,0.714340008608096,1,3,2,17,"1;2","Psk26S71",0,1,NA,0,1.19,3
6,0.515477759209349,1,5,2,22,"1;2","Psk26S71",0,1,NA,0,1.19,3
7,0.597270786934017,1,9,2,31,"1;2","Psk26S71",0,1,NA,0,1.19,3
8,1.11538726912619,1,3,2,34,"1;2","Psk26S71",0,1,NA,0,1.19,3
9,0.8872368016231,1,4,2,38,"1;2","Psk26S71",0,1,NA,0,1.19,3
10,1.2610684454371,1,4,2,42,"1;2","Psk26S71",0,1,NA,0,1.19,3
11,0.889632609572146,2,20,2,62,"1;2","Psk26S71",0,1,NA,0,1.19,3
12,0.776488951657763,2,1,2,63,"1;2","Psk26S71",0,1,NA,0,1.19,3
13,0.5,1,5,2,68,"1;2","Psk26S71",0,1,NA,0,1.19,3
14,0.589605048757333,1,-1,2,67,"1;2","Psk26S71",0,1,NA,0,1.19,3
15,0.515519696727895,2,-1,2,66,"1;2","Psk26S71",0,1,NA,0,1.19,3
16,1.10985488221055,1,2,2,68,"1;2","Psk26S71",0,1,NA,0,1.19,3
17,0.738647911681944,1,7,2,75,"1;2","Psk26S71",0,1,NA,0,1.19,3
18,1.12535489227116,2,4,2,79,"1;2","Psk26S71",0,1,NA,0,1.19,3
19,0.770465695015857,2,6,2,85,"1;2","Psk26S71",0,1,NA,0,1.19,3
20,0.787343773643622,1,5,2,90,"1;2","Psk26S71",0,1,NA,0,1.19,3
21,1.01747447519957,2,12,2,102,"1;2","Psk26S71",0,1,NA,0,1.19,3
22,1.06583996658568,1,2,2,104,"1;2","Psk26S71",0,1,NA,0,1.19,3
23,0.697225944435503,2,27,2,131,"1;2","Psk26S71",0,1,NA,0,1.19,3
24,0.535739802603243,2,-5,2,126,"1;2","Psk26S71",0,1,NA,0,1.19,3
25,1.14550604244957,1,4,2,130,"1;2","Psk26S71",0,1,NA,0,1.19,3
1,0.5,1,4,3,4,"1;2","Psk26S71",0,1,NA,0,1.19,3
2,0.835091607773546,1,6,3,10,"1;2","Psk26S71",0,1,NA,0,1.19,3
3,0.702160413841807,1,7,3,17,"1;2","Psk26S71",0,1,NA,0,1.19,3
4,0.984630815184434,1,3,3,20,"1;2","Psk26S71",0,1,NA,0,1.19,3
5,0.521074103864043,1,5,3,25,"1;2","Psk26S71",0,1,NA,0,1.19,3
6,0.936693665736307,2,10,3,35,"1;2","Psk26S71",0,1,NA,0,1.19,3
7,0.563038205852133,1,5,3,40,"1;2","Psk26S71",0,1,NA,0,1.19,3
8,0.849923004321885,1,5,3,45,"1;2","Psk26S71",0,1,NA,0,1.19,3
9,0.5,1,4,3,49,"1;2","Psk26S71",0,1,NA,0,1.19,3
10,0.799257865716787,1,5,3,54,"1;2","Psk26S71",0,1,NA,0,1.19,3
11,0.5,1,6,3,60,"1;2","Psk26S71",0,1,NA,0,1.19,3
12,0.654507021405166,2,23,3,83,"1;2","Psk26S71",0,1,NA,0,1.19,3
13,0.709180948195964,2,1,3,84,"1;2","Psk26S71",0,1,NA,0,1.19,3
14,0.884463885764127,2,10,3,94,"1;2","Psk26S71",0,1,NA,0,1.19,3
15,0.768326534050394,2,12,3,106,"1;2","Psk26S71",0,1,NA,0,1.19,3
16,0.908051465460223,2,22,3,128,"1;2","Psk26S71",0,1,NA,0,1.19,3
17,1.1226470135158,2,12,3,140,"1;2","Psk26S71",0,1,NA,0,1.19,3
18,0.622392833168511,2,-7,3,133,"1;2","Psk26S71",0,1,NA,0,1.19,3
19,0.928639552518279,2,8,3,141,"1;2","Psk26S71",0,1,NA,0,1.19,3
20,1.08745319962464,2,-6,3,135,"1;2","Psk26S71",0,1,NA,0,1.19,3
