"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.07455263012006,2,2,1,2,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
2,0.622731720791109,2,5,1,7,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
3,1.05195779022494,2,1,1,8,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
4,0.889095868457171,2,3,1,11,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
5,0.593914573927036,2,2,1,13,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
6,0.756883603098816,2,4,1,17,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
7,0.808850252877081,1,4,1,21,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
8,0.5,2,2,1,23,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
9,1.01105126547021,2,2,1,25,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
10,0.8749084339047,2,3,1,28,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
11,0.851218664790606,2,3,1,31,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
12,1.00900759498752,2,4,1,35,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
13,0.866084044507318,2,1,1,36,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
14,0.594132205584577,2,0,1,36,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
15,0.908211005485871,1,3,1,39,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
16,1.01204892134361,1,3,1,42,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
17,0.833209452998244,1,1,1,43,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
18,1.56192362978338,1,4,1,47,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
19,0.799807024510368,1,5,1,52,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
20,0.753612445821982,1,7,1,59,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
1,0.523687872365159,1,16,2,16,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
2,0.9760366929848,1,22,2,38,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
3,1.12187353193798,1,-14,2,24,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
4,0.886977749147543,1,28,2,52,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
5,0.663195149999191,1,4,2,56,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
6,0.507635401199445,1,-13,2,43,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
7,0.880195896680723,1,20,2,63,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
8,0.5,1,6,2,69,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
9,0.5,1,10,2,79,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
10,1.1443431343986,1,11,2,90,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
11,1.06370622661363,1,5,2,95,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
12,0.957327394324434,1,-7,2,88,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
13,0.5,1,-6,2,82,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
14,1.03147681993753,2,2,2,84,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
15,0.887756937166078,2,-2,2,82,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
16,0.5,2,2,2,84,"2;1","QBmB9Mgs",0,3,NA,0,0.65,2
