"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03794173493471,1,5,1,5,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
2,0.58325584736441,1,2,1,7,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
3,1.05569415468018,1,6,1,13,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
4,0.5,2,6,1,19,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
5,1.08008385119774,1,3,1,22,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
6,0.665198419656369,1,0,1,22,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
7,0.749337319560694,2,0,1,22,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
8,0.5,2,1,1,23,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
9,0.713375263597951,1,4,1,27,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
10,1.02001727111413,2,5,1,32,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
11,0.616752317775963,1,0,1,32,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
12,0.564373284743201,2,4,1,36,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
13,1.45502757101945,1,3,1,39,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
14,0.768059843552156,2,3,1,42,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
15,0.5,1,3,1,45,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
16,0.596390030043401,2,1,1,46,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
17,0.815667052483789,1,5,1,51,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
18,0.551237535474522,1,3,1,54,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
19,0.975871289959094,1,2,1,56,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
20,0.771221449598643,2,0,1,56,"1;2","QRzOU7Hm",0,2,NA,0,0.76,1
1,0.5,1,4,2,4,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
2,0.5,1,4,2,8,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
3,0.993023562187916,1,-15,2,-7,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
4,1.18636181391758,2,7,2,0,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
5,0.519493489592669,2,9,2,9,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
6,0.625659050797776,2,3,2,12,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
7,1.16942350412158,2,-3,2,9,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
8,1.02058008664135,2,2,2,11,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
9,0.928252141049293,1,8,2,19,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
10,0.95852325216888,2,2,2,21,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
11,0.841754553712584,2,3,2,24,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
12,0.92746365604064,2,5,2,29,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
13,0.504194342864214,2,1,2,30,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
14,0.68358831364321,2,3,2,33,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
15,0.683272691220952,1,9,2,42,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
16,1.05914695064757,2,3,2,45,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
17,0.604419854189477,1,7,2,52,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
18,0.983752067058711,2,5,2,57,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
19,0.558692046866156,1,23,2,80,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
20,0.5,1,-3,2,77,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
21,0.931795781061346,1,6,2,83,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
22,0.947913155517952,2,3,2,86,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
23,0.840152795088859,1,4,2,90,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
24,0.741076604416875,2,4,2,94,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
25,0.736008401443425,2,5,2,99,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
1,0.831751820248012,2,3,3,3,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
2,0.627371506488007,2,8,3,11,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
3,0.756478982536149,1,-5,3,6,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
4,0.69728682264346,2,10,3,16,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
5,0.601476955671228,2,1,3,17,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
6,0.907734020217323,2,2,3,19,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
7,0.583979953701295,2,5,3,24,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
8,0.834368454524689,2,1,3,25,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
9,1.11486251031654,2,3,3,28,"2;1","QRzOU7Hm",0,2,NA,0,0.76,1
