"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.13412907633132,2,4,1,4,"2;1","QUlJnYVH",100,4,6,0,1.2,3
2,1.29953800818069,2,5,1,9,"2;1","QUlJnYVH",100,4,6,0,1.2,3
3,1.23604689426001,2,4,1,13,"2;1","QUlJnYVH",100,4,6,0,1.2,3
4,0.790909454529854,1,2,1,15,"2;1","QUlJnYVH",100,4,6,0,1.2,3
5,0.583321678600588,1,1,1,16,"2;1","QUlJnYVH",100,4,6,0,1.2,3
6,0.979780546278396,2,3,1,19,"2;1","QUlJnYVH",100,4,6,0,1.2,3
7,0.791156496262129,1,3,1,22,"2;1","QUlJnYVH",100,4,6,0,1.2,3
8,0.700538476250365,2,3,1,25,"2;1","QUlJnYVH",100,4,6,0,1.2,3
9,0.522943705902456,1,3,1,28,"2;1","QUlJnYVH",100,4,6,0,1.2,3
10,0.5,1,0,1,28,"2;1","QUlJnYVH",100,4,6,0,1.2,3
11,0.5,2,2,1,30,"2;1","QUlJnYVH",100,4,6,0,1.2,3
12,0.572524424438737,2,4,1,34,"2;1","QUlJnYVH",100,4,6,0,1.2,3
13,1.10578122700563,2,4,1,38,"2;1","QUlJnYVH",100,4,6,0,1.2,3
14,0.524173292006733,1,3,1,41,"2;1","QUlJnYVH",100,4,6,0,1.2,3
15,0.5,2,5,1,46,"2;1","QUlJnYVH",100,4,6,0,1.2,3
16,1.18384930106685,1,1,1,47,"2;1","QUlJnYVH",100,4,6,0,1.2,3
17,0.768941758665087,2,5,1,52,"2;1","QUlJnYVH",100,4,6,0,1.2,3
18,0.91472995194764,2,3,1,55,"2;1","QUlJnYVH",100,4,6,0,1.2,3
19,0.655158878723682,2,3,1,58,"2;1","QUlJnYVH",100,4,6,0,1.2,3
20,0.5,2,7,1,65,"2;1","QUlJnYVH",100,4,6,0,1.2,3
1,0.760262704083239,1,-1,2,-1,"1;2","QUlJnYVH",100,4,6,0,1.2,3
2,0.652215452948614,1,2,2,1,"1;2","QUlJnYVH",100,4,6,0,1.2,3
3,0.917783403223524,2,-1,2,0,"1;2","QUlJnYVH",100,4,6,0,1.2,3
4,0.817256914698538,1,0,2,0,"1;2","QUlJnYVH",100,4,6,0,1.2,3
5,0.834490517348616,2,-2,2,-2,"1;2","QUlJnYVH",100,4,6,0,1.2,3
6,0.5,2,18,2,16,"1;2","QUlJnYVH",100,4,6,0,1.2,3
7,0.984363179517713,2,10,2,26,"1;2","QUlJnYVH",100,4,6,0,1.2,3
8,1.11058497604913,2,24,2,50,"1;2","QUlJnYVH",100,4,6,0,1.2,3
9,0.5,2,15,2,65,"1;2","QUlJnYVH",100,4,6,0,1.2,3
10,0.698038124066014,2,3,2,68,"1;2","QUlJnYVH",100,4,6,0,1.2,3
11,0.700745090795963,1,4,2,72,"1;2","QUlJnYVH",100,4,6,0,1.2,3
12,0.584681481931752,2,-1,2,71,"1;2","QUlJnYVH",100,4,6,0,1.2,3
13,0.616730616093147,1,7,2,78,"1;2","QUlJnYVH",100,4,6,0,1.2,3
14,0.842952444580156,1,6,2,84,"1;2","QUlJnYVH",100,4,6,0,1.2,3
15,0.519699526405472,1,4,2,88,"1;2","QUlJnYVH",100,4,6,0,1.2,3
