"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.554732932665292,2,1,1,1,"2;1","QlsoARYp",100,5,4,0,0.8,3
2,0.7610668424065,2,3,1,4,"2;1","QlsoARYp",100,5,4,0,0.8,3
3,0.675625998800529,1,4,1,8,"2;1","QlsoARYp",100,5,4,0,0.8,3
4,0.707482422769158,2,1,1,9,"2;1","QlsoARYp",100,5,4,0,0.8,3
5,0.995903431338194,2,-1,1,8,"2;1","QlsoARYp",100,5,4,0,0.8,3
6,1.1049845365671,2,5,1,13,"2;1","QlsoARYp",100,5,4,0,0.8,3
7,0.89361378453323,2,6,1,19,"2;1","QlsoARYp",100,5,4,0,0.8,3
8,1.10590612057319,1,4,1,23,"2;1","QlsoARYp",100,5,4,0,0.8,3
9,0.930187325934863,1,3,1,26,"2;1","QlsoARYp",100,5,4,0,0.8,3
10,0.953065713718824,2,7,1,33,"2;1","QlsoARYp",100,5,4,0,0.8,3
11,0.719894504053484,1,5,1,38,"2;1","QlsoARYp",100,5,4,0,0.8,3
12,0.864837577553746,2,4,1,42,"2;1","QlsoARYp",100,5,4,0,0.8,3
13,0.725189364984942,1,4,1,46,"2;1","QlsoARYp",100,5,4,0,0.8,3
14,0.720414114981276,2,5,1,51,"2;1","QlsoARYp",100,5,4,0,0.8,3
15,0.690970443699191,2,3,1,54,"2;1","QlsoARYp",100,5,4,0,0.8,3
16,0.515902237330454,2,4,1,58,"2;1","QlsoARYp",100,5,4,0,0.8,3
17,0.981351721382643,2,6,1,64,"2;1","QlsoARYp",100,5,4,0,0.8,3
18,0.679020082596898,1,0,1,64,"2;1","QlsoARYp",100,5,4,0,0.8,3
19,0.691652620270842,2,5,1,69,"2;1","QlsoARYp",100,5,4,0,0.8,3
20,0.633075371873894,1,2,1,71,"2;1","QlsoARYp",100,5,4,0,0.8,3
1,0.5,2,3,2,3,"1;2","QlsoARYp",100,5,4,0,0.8,3
2,1.01208694513946,1,5,2,8,"1;2","QlsoARYp",100,5,4,0,0.8,3
3,0.681784630583088,2,-12,2,-4,"1;2","QlsoARYp",100,5,4,0,0.8,3
4,0.829596139385965,2,-1,2,-5,"1;2","QlsoARYp",100,5,4,0,0.8,3
5,1.06076228893411,1,7,2,2,"1;2","QlsoARYp",100,5,4,0,0.8,3
6,0.666002756174036,2,-5,2,-3,"1;2","QlsoARYp",100,5,4,0,0.8,3
7,1.03003601406344,2,-24,2,-27,"1;2","QlsoARYp",100,5,4,0,0.8,3
8,1.38570387809461,2,6,2,-21,"1;2","QlsoARYp",100,5,4,0,0.8,3
9,0.609101209842678,2,-4,2,-25,"1;2","QlsoARYp",100,5,4,0,0.8,3
10,1.03995819303913,1,0,2,-25,"1;2","QlsoARYp",100,5,4,0,0.8,3
11,0.5,2,6,2,-19,"1;2","QlsoARYp",100,5,4,0,0.8,3
12,0.740247017845954,2,6,2,-13,"1;2","QlsoARYp",100,5,4,0,0.8,3
13,1.2731555462947,2,-10,2,-23,"1;2","QlsoARYp",100,5,4,0,0.8,3
14,0.5,2,13,2,-10,"1;2","QlsoARYp",100,5,4,0,0.8,3
15,0.54059465631026,2,-4,2,-14,"1;2","QlsoARYp",100,5,4,0,0.8,3
16,0.5749211320713,1,8,2,-6,"1;2","QlsoARYp",100,5,4,0,0.8,3
17,0.945247921973321,1,9,2,3,"1;2","QlsoARYp",100,5,4,0,0.8,3
18,0.970120930013993,2,-1,2,2,"1;2","QlsoARYp",100,5,4,0,0.8,3
19,1.01690216255835,1,0,2,2,"1;2","QlsoARYp",100,5,4,0,0.8,3
20,1.07070879168129,1,2,2,4,"1;2","QlsoARYp",100,5,4,0,0.8,3
21,0.650196266613572,1,3,2,7,"1;2","QlsoARYp",100,5,4,0,0.8,3
22,0.5,2,7,2,14,"1;2","QlsoARYp",100,5,4,0,0.8,3
23,0.824755019132764,1,7,2,21,"1;2","QlsoARYp",100,5,4,0,0.8,3
24,0.55222516257225,2,-8,2,13,"1;2","QlsoARYp",100,5,4,0,0.8,3
25,0.908450442691332,1,4,2,17,"1;2","QlsoARYp",100,5,4,0,0.8,3
1,0.854546716329423,1,2,3,2,"2;1","QlsoARYp",100,5,4,0,0.8,3
2,0.86788059466208,1,21,3,23,"2;1","QlsoARYp",100,5,4,0,0.8,3
3,0.953232030722101,1,12,3,35,"2;1","QlsoARYp",100,5,4,0,0.8,3
4,1.04153667441349,1,-13,3,22,"2;1","QlsoARYp",100,5,4,0,0.8,3
5,0.761731841433412,2,5,3,27,"2;1","QlsoARYp",100,5,4,0,0.8,3
6,0.807379573413391,1,26,3,53,"2;1","QlsoARYp",100,5,4,0,0.8,3
7,0.894587711390443,2,10,3,63,"2;1","QlsoARYp",100,5,4,0,0.8,3
8,0.604348209497716,2,10,3,73,"2;1","QlsoARYp",100,5,4,0,0.8,3
9,0.841513378871453,2,6,3,79,"2;1","QlsoARYp",100,5,4,0,0.8,3
10,0.748458833063477,2,6,3,85,"2;1","QlsoARYp",100,5,4,0,0.8,3
11,0.735736941945359,1,-18,3,67,"2;1","QlsoARYp",100,5,4,0,0.8,3
12,0.626616900769474,2,5,3,72,"2;1","QlsoARYp",100,5,4,0,0.8,3
13,0.721877128762146,2,5,3,77,"2;1","QlsoARYp",100,5,4,0,0.8,3
14,0.5,2,1,3,78,"2;1","QlsoARYp",100,5,4,0,0.8,3
15,0.977382482039665,2,2,3,80,"2;1","QlsoARYp",100,5,4,0,0.8,3
16,0.981786828646853,2,2,3,82,"2;1","QlsoARYp",100,5,4,0,0.8,3
17,0.705501221947294,1,17,3,99,"2;1","QlsoARYp",100,5,4,0,0.8,3
18,0.545120043317953,1,-12,3,87,"2;1","QlsoARYp",100,5,4,0,0.8,3
19,0.680596514669518,1,-16,3,71,"2;1","QlsoARYp",100,5,4,0,0.8,3
20,0.812742643296592,1,8,3,79,"2;1","QlsoARYp",100,5,4,0,0.8,3
21,0.646169600073755,2,5,3,84,"2;1","QlsoARYp",100,5,4,0,0.8,3
22,0.806053813230838,2,4,3,88,"2;1","QlsoARYp",100,5,4,0,0.8,3
23,0.543005775365142,1,-7,3,81,"2;1","QlsoARYp",100,5,4,0,0.8,3
24,0.5,1,3,3,84,"2;1","QlsoARYp",100,5,4,0,0.8,3
25,0.5,2,2,3,86,"2;1","QlsoARYp",100,5,4,0,0.8,3
