"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.663174000295031,1,4,1,4,"1;2","R5kFagKY",0,1,NA,0,0.8,3
2,0.773549711679149,2,3,1,7,"1;2","R5kFagKY",0,1,NA,0,0.8,3
3,0.651606288261925,2,6,1,13,"1;2","R5kFagKY",0,1,NA,0,0.8,3
4,0.84175024297705,2,4,1,17,"1;2","R5kFagKY",0,1,NA,0,0.8,3
5,0.777903801498542,1,4,1,21,"1;2","R5kFagKY",0,1,NA,0,0.8,3
6,0.928919375490811,1,0,1,21,"1;2","R5kFagKY",0,1,NA,0,0.8,3
7,0.780632083216405,2,2,1,23,"1;2","R5kFagKY",0,1,NA,0,0.8,3
8,0.5,2,0,1,23,"1;2","R5kFagKY",0,1,NA,0,0.8,3
9,0.640244495150582,2,0,1,23,"1;2","R5kFagKY",0,1,NA,0,0.8,3
10,0.906585317409169,1,4,1,27,"1;2","R5kFagKY",0,1,NA,0,0.8,3
11,1.01202122907879,2,3,1,30,"1;2","R5kFagKY",0,1,NA,0,0.8,3
12,0.807218991761403,1,7,1,37,"1;2","R5kFagKY",0,1,NA,0,0.8,3
13,0.537336202875927,1,0,1,37,"1;2","R5kFagKY",0,1,NA,0,0.8,3
14,0.5,1,2,1,39,"1;2","R5kFagKY",0,1,NA,0,0.8,3
15,1.11178153285387,2,-2,1,37,"1;2","R5kFagKY",0,1,NA,0,0.8,3
16,0.5,2,3,1,40,"1;2","R5kFagKY",0,1,NA,0,0.8,3
17,1.19232789916818,1,3,1,43,"1;2","R5kFagKY",0,1,NA,0,0.8,3
18,0.892868240023047,2,1,1,44,"1;2","R5kFagKY",0,1,NA,0,0.8,3
19,1.13323957501647,2,2,1,46,"1;2","R5kFagKY",0,1,NA,0,0.8,3
20,0.5,1,3,1,49,"1;2","R5kFagKY",0,1,NA,0,0.8,3
1,0.929685717737268,1,2,2,2,"1;2","R5kFagKY",0,1,NA,0,0.8,3
2,0.896440454536539,1,5,2,7,"1;2","R5kFagKY",0,1,NA,0,0.8,3
3,0.550939543664364,2,-2,2,5,"1;2","R5kFagKY",0,1,NA,0,0.8,3
4,0.773845083910427,2,14,2,19,"1;2","R5kFagKY",0,1,NA,0,0.8,3
5,1.23968661238269,1,9,2,28,"1;2","R5kFagKY",0,1,NA,0,0.8,3
6,1.06510870053837,2,17,2,45,"1;2","R5kFagKY",0,1,NA,0,0.8,3
7,1.02573535108999,1,4,2,49,"1;2","R5kFagKY",0,1,NA,0,0.8,3
8,0.620666706094122,2,11,2,60,"1;2","R5kFagKY",0,1,NA,0,0.8,3
9,1.20831920223821,1,4,2,64,"1;2","R5kFagKY",0,1,NA,0,0.8,3
10,0.68669231325447,1,0,2,64,"1;2","R5kFagKY",0,1,NA,0,0.8,3
11,0.595959851875414,2,-11,2,53,"1;2","R5kFagKY",0,1,NA,0,0.8,3
12,0.94351993226707,1,3,2,56,"1;2","R5kFagKY",0,1,NA,0,0.8,3
13,1.29206865677216,1,7,2,63,"1;2","R5kFagKY",0,1,NA,0,0.8,3
14,1.05901597246186,1,5,2,68,"1;2","R5kFagKY",0,1,NA,0,0.8,3
15,0.938745837166258,2,-17,2,51,"1;2","R5kFagKY",0,1,NA,0,0.8,3
16,0.915502789353206,2,-13,2,38,"1;2","R5kFagKY",0,1,NA,0,0.8,3
17,0.98008754611807,2,-5,2,33,"1;2","R5kFagKY",0,1,NA,0,0.8,3
18,0.883868467182321,2,-16,2,17,"1;2","R5kFagKY",0,1,NA,0,0.8,3
19,0.878350694094833,2,-2,2,15,"1;2","R5kFagKY",0,1,NA,0,0.8,3
20,1.15693969329666,1,4,2,19,"1;2","R5kFagKY",0,1,NA,0,0.8,3
21,0.681596313030432,2,16,2,35,"1;2","R5kFagKY",0,1,NA,0,0.8,3
22,0.927014888845108,2,-4,2,31,"1;2","R5kFagKY",0,1,NA,0,0.8,3
23,0.69211052659649,2,14,2,45,"1;2","R5kFagKY",0,1,NA,0,0.8,3
24,0.781317508715222,1,3,2,48,"1;2","R5kFagKY",0,1,NA,0,0.8,3
25,0.5,1,4,2,52,"1;2","R5kFagKY",0,1,NA,0,0.8,3
1,1.26472623961231,2,4,3,4,"2;1","R5kFagKY",0,1,NA,0,0.8,3
2,0.951276848057473,1,-15,3,-11,"2;1","R5kFagKY",0,1,NA,0,0.8,3
3,0.94432641424331,2,5,3,-6,"2;1","R5kFagKY",0,1,NA,0,0.8,3
4,0.862733351386788,1,-4,3,-10,"2;1","R5kFagKY",0,1,NA,0,0.8,3
5,0.74073375645893,1,21,3,11,"2;1","R5kFagKY",0,1,NA,0,0.8,3
6,1.00168882789613,2,5,3,16,"2;1","R5kFagKY",0,1,NA,0,0.8,3
7,0.622205313515899,2,5,3,21,"2;1","R5kFagKY",0,1,NA,0,0.8,3
8,0.622980807778254,2,6,3,27,"2;1","R5kFagKY",0,1,NA,0,0.8,3
9,0.664200659671756,2,4,3,31,"2;1","R5kFagKY",0,1,NA,0,0.8,3
10,1.03959391503817,1,0,3,31,"2;1","R5kFagKY",0,1,NA,0,0.8,3
11,0.797001990076877,2,3,3,34,"2;1","R5kFagKY",0,1,NA,0,0.8,3
12,1.27930573400918,2,6,3,40,"2;1","R5kFagKY",0,1,NA,0,0.8,3
13,0.656569169977756,2,5,3,45,"2;1","R5kFagKY",0,1,NA,0,0.8,3
14,0.549477647153561,1,13,3,58,"2;1","R5kFagKY",0,1,NA,0,0.8,3
15,0.541060063554631,1,13,3,71,"2;1","R5kFagKY",0,1,NA,0,0.8,3
