"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.708801442109237,1,5,1,5,"1;2","RDiw1gMP",100,4,6,1,1.2,1
2,0.671335959323039,1,0,1,5,"1;2","RDiw1gMP",100,4,6,1,1.2,1
3,1.10376889405072,1,4,1,9,"1;2","RDiw1gMP",100,4,6,1,1.2,1
4,0.876276571473385,2,2,1,11,"1;2","RDiw1gMP",100,4,6,1,1.2,1
5,1.00475845323475,1,5,1,16,"1;2","RDiw1gMP",100,4,6,1,1.2,1
6,0.5,2,3,1,19,"1;2","RDiw1gMP",100,4,6,1,1.2,1
7,0.5,1,5,1,24,"1;2","RDiw1gMP",100,4,6,1,1.2,1
8,1.16698027696561,1,2,1,26,"1;2","RDiw1gMP",100,4,6,1,1.2,1
9,0.760944772882868,2,2,1,28,"1;2","RDiw1gMP",100,4,6,1,1.2,1
10,0.914146710778269,1,3,1,31,"1;2","RDiw1gMP",100,4,6,1,1.2,1
11,0.5,1,6,1,37,"1;2","RDiw1gMP",100,4,6,1,1.2,1
12,0.789906612777143,1,4,1,41,"1;2","RDiw1gMP",100,4,6,1,1.2,1
13,1.14245715768492,2,0,1,41,"1;2","RDiw1gMP",100,4,6,1,1.2,1
14,0.855367369373338,1,7,1,48,"1;2","RDiw1gMP",100,4,6,1,1.2,1
15,0.717734860756128,1,2,1,50,"1;2","RDiw1gMP",100,4,6,1,1.2,1
16,0.973822491636491,2,3,1,53,"1;2","RDiw1gMP",100,4,6,1,1.2,1
17,0.820876007422798,2,5,1,58,"1;2","RDiw1gMP",100,4,6,1,1.2,1
18,0.999001618270631,1,0,1,58,"1;2","RDiw1gMP",100,4,6,1,1.2,1
19,1.21529073059644,1,4,1,62,"1;2","RDiw1gMP",100,4,6,1,1.2,1
20,0.5,2,6,1,68,"1;2","RDiw1gMP",100,4,6,1,1.2,1
1,0.968441850845497,1,7,2,7,"1;2","RDiw1gMP",100,4,6,1,1.2,1
2,0.5,1,5,2,12,"1;2","RDiw1gMP",100,4,6,1,1.2,1
3,0.5,1,4,2,16,"1;2","RDiw1gMP",100,4,6,1,1.2,1
4,1.1854284488832,2,1,2,17,"1;2","RDiw1gMP",100,4,6,1,1.2,1
5,0.521027939409471,1,7,2,24,"1;2","RDiw1gMP",100,4,6,1,1.2,1
6,1.09719471269391,2,3,2,27,"1;2","RDiw1gMP",100,4,6,1,1.2,1
7,0.820009446074774,1,6,2,33,"1;2","RDiw1gMP",100,4,6,1,1.2,1
8,0.954203938802377,1,6,2,39,"1;2","RDiw1gMP",100,4,6,1,1.2,1
9,0.878710877112704,1,9,2,48,"1;2","RDiw1gMP",100,4,6,1,1.2,1
10,0.853474334596277,1,6,2,54,"1;2","RDiw1gMP",100,4,6,1,1.2,1
11,0.917455513216089,2,14,2,68,"1;2","RDiw1gMP",100,4,6,1,1.2,1
12,1.11924515771259,1,4,2,72,"1;2","RDiw1gMP",100,4,6,1,1.2,1
13,1.01742445117786,1,2,2,74,"1;2","RDiw1gMP",100,4,6,1,1.2,1
14,0.712311155531807,2,-1,2,73,"1;2","RDiw1gMP",100,4,6,1,1.2,1
15,0.697606129924047,1,6,2,79,"1;2","RDiw1gMP",100,4,6,1,1.2,1
16,0.902726056676759,1,4,2,83,"1;2","RDiw1gMP",100,4,6,1,1.2,1
17,0.920732387334376,1,3,2,86,"1;2","RDiw1gMP",100,4,6,1,1.2,1
18,0.970213742896794,1,6,2,92,"1;2","RDiw1gMP",100,4,6,1,1.2,1
19,0.5,2,19,2,111,"1;2","RDiw1gMP",100,4,6,1,1.2,1
20,0.502101941118807,1,3,2,114,"1;2","RDiw1gMP",100,4,6,1,1.2,1
21,0.55409684381244,1,4,2,118,"1;2","RDiw1gMP",100,4,6,1,1.2,1
22,0.5,1,6,2,124,"1;2","RDiw1gMP",100,4,6,1,1.2,1
23,0.913653380404782,1,4,2,128,"1;2","RDiw1gMP",100,4,6,1,1.2,1
24,0.698337177116515,1,6,2,134,"1;2","RDiw1gMP",100,4,6,1,1.2,1
25,0.584795332672263,1,1,2,135,"1;2","RDiw1gMP",100,4,6,1,1.2,1
1,0.72456841320823,1,2,3,2,"1;2","RDiw1gMP",100,4,6,1,1.2,1
2,1.02538750471453,2,2,3,4,"1;2","RDiw1gMP",100,4,6,1,1.2,1
3,0.630598228027637,2,-1,3,3,"1;2","RDiw1gMP",100,4,6,1,1.2,1
4,1.17846332466281,2,-12,3,-9,"1;2","RDiw1gMP",100,4,6,1,1.2,1
5,0.89763830810803,2,-7,3,-16,"1;2","RDiw1gMP",100,4,6,1,1.2,1
6,1.13541688389665,2,-4,3,-20,"1;2","RDiw1gMP",100,4,6,1,1.2,1
7,0.905927089586368,2,15,3,-5,"1;2","RDiw1gMP",100,4,6,1,1.2,1
8,1.04959494265908,1,5,3,0,"1;2","RDiw1gMP",100,4,6,1,1.2,1
9,1.20718242858174,2,2,3,2,"1;2","RDiw1gMP",100,4,6,1,1.2,1
10,1.01556884743479,2,7,3,9,"1;2","RDiw1gMP",100,4,6,1,1.2,1
11,0.5,2,11,3,20,"1;2","RDiw1gMP",100,4,6,1,1.2,1
12,1.09882808114503,2,-7,3,13,"1;2","RDiw1gMP",100,4,6,1,1.2,1
13,0.992131757631609,2,3,3,16,"1;2","RDiw1gMP",100,4,6,1,1.2,1
14,0.630351132367168,2,4,3,20,"1;2","RDiw1gMP",100,4,6,1,1.2,1
15,0.649735134097901,2,1,3,21,"1;2","RDiw1gMP",100,4,6,1,1.2,1
16,0.5,2,-4,3,17,"1;2","RDiw1gMP",100,4,6,1,1.2,1
17,1.01205798762577,2,-6,3,11,"1;2","RDiw1gMP",100,4,6,1,1.2,1
18,0.916237797447076,2,10,3,21,"1;2","RDiw1gMP",100,4,6,1,1.2,1
19,0.529645039569592,2,-9,3,12,"1;2","RDiw1gMP",100,4,6,1,1.2,1
20,1.2010892746658,1,-1,3,11,"1;2","RDiw1gMP",100,4,6,1,1.2,1
21,0.5,1,4,3,15,"1;2","RDiw1gMP",100,4,6,1,1.2,1
22,0.5,2,0,3,15,"1;2","RDiw1gMP",100,4,6,1,1.2,1
23,1.20882076202277,1,-1,3,14,"1;2","RDiw1gMP",100,4,6,1,1.2,1
24,0.667863565704,2,11,3,25,"1;2","RDiw1gMP",100,4,6,1,1.2,1
25,0.558663235995058,1,0,3,25,"1;2","RDiw1gMP",100,4,6,1,1.2,1
1,0.619548336509662,1,8,4,8,"2;1","RDiw1gMP",100,4,6,1,1.2,1
2,1.16812847159129,1,28,4,36,"2;1","RDiw1gMP",100,4,6,1,1.2,1
3,1.08077775053027,1,0,4,36,"2;1","RDiw1gMP",100,4,6,1,1.2,1
4,0.605418931915948,1,5,4,41,"2;1","RDiw1gMP",100,4,6,1,1.2,1
5,0.958524120020298,1,12,4,53,"2;1","RDiw1gMP",100,4,6,1,1.2,1
6,0.857108964073636,2,8,4,61,"2;1","RDiw1gMP",100,4,6,1,1.2,1
7,0.975247137918051,2,3,4,64,"2;1","RDiw1gMP",100,4,6,1,1.2,1
8,0.554962722425052,1,-2,4,62,"2;1","RDiw1gMP",100,4,6,1,1.2,1
9,0.692982435456539,2,2,4,64,"2;1","RDiw1gMP",100,4,6,1,1.2,1
10,0.676650834192096,1,15,4,79,"2;1","RDiw1gMP",100,4,6,1,1.2,1
11,1.01658849817466,1,9,4,88,"2;1","RDiw1gMP",100,4,6,1,1.2,1
12,1.01829545627867,1,12,4,100,"2;1","RDiw1gMP",100,4,6,1,1.2,1
13,0.661480519227805,1,13,4,113,"2;1","RDiw1gMP",100,4,6,1,1.2,1
14,1.03624010235775,1,7,4,120,"2;1","RDiw1gMP",100,4,6,1,1.2,1
15,0.867196072622507,2,2,4,122,"2;1","RDiw1gMP",100,4,6,1,1.2,1
16,0.5,2,3,4,125,"2;1","RDiw1gMP",100,4,6,1,1.2,1
17,1.2931631264726,2,0,4,125,"2;1","RDiw1gMP",100,4,6,1,1.2,1
18,0.970676267448479,2,4,4,129,"2;1","RDiw1gMP",100,4,6,1,1.2,1
19,0.746083543918564,2,5,4,134,"2;1","RDiw1gMP",100,4,6,1,1.2,1
20,0.987495494116119,2,3,4,137,"2;1","RDiw1gMP",100,4,6,1,1.2,1
21,0.904837236381057,2,7,4,144,"2;1","RDiw1gMP",100,4,6,1,1.2,1
22,0.670096378363172,2,4,4,148,"2;1","RDiw1gMP",100,4,6,1,1.2,1
23,0.897950649170447,2,5,4,153,"2;1","RDiw1gMP",100,4,6,1,1.2,1
24,0.775150647243224,1,18,4,171,"2;1","RDiw1gMP",100,4,6,1,1.2,1
25,0.576356415506366,1,-2,4,169,"2;1","RDiw1gMP",100,4,6,1,1.2,1
1,0.75501185412554,1,1,5,1,"2;1","RDiw1gMP",100,4,6,1,1.2,1
2,0.647075855564529,1,-17,5,-16,"2;1","RDiw1gMP",100,4,6,1,1.2,1
3,0.775735565053104,1,15,5,-1,"2;1","RDiw1gMP",100,4,6,1,1.2,1
4,1.14592321732364,1,15,5,14,"2;1","RDiw1gMP",100,4,6,1,1.2,1
5,1.1261129788212,1,7,5,21,"2;1","RDiw1gMP",100,4,6,1,1.2,1
6,0.821308987539702,2,4,5,25,"2;1","RDiw1gMP",100,4,6,1,1.2,1
7,0.541646380894243,1,-14,5,11,"2;1","RDiw1gMP",100,4,6,1,1.2,1
8,0.982992036131152,1,0,5,11,"2;1","RDiw1gMP",100,4,6,1,1.2,1
9,1.26441636255221,1,5,5,16,"2;1","RDiw1gMP",100,4,6,1,1.2,1
10,1.12417011953317,1,-6,5,10,"2;1","RDiw1gMP",100,4,6,1,1.2,1
11,0.5,1,9,5,19,"2;1","RDiw1gMP",100,4,6,1,1.2,1
12,0.7480974537226,1,12,5,31,"2;1","RDiw1gMP",100,4,6,1,1.2,1
13,0.641048504739048,1,4,5,35,"2;1","RDiw1gMP",100,4,6,1,1.2,1
14,0.760268373023191,1,15,5,50,"2;1","RDiw1gMP",100,4,6,1,1.2,1
15,0.913609017847884,1,-5,5,45,"2;1","RDiw1gMP",100,4,6,1,1.2,1
16,1.03497613682293,1,7,5,52,"2;1","RDiw1gMP",100,4,6,1,1.2,1
17,1.10524172923336,1,19,5,71,"2;1","RDiw1gMP",100,4,6,1,1.2,1
18,1.21772919600246,1,-24,5,47,"2;1","RDiw1gMP",100,4,6,1,1.2,1
19,0.731595420738456,1,17,5,64,"2;1","RDiw1gMP",100,4,6,1,1.2,1
20,0.760135090670003,2,3,5,67,"2;1","RDiw1gMP",100,4,6,1,1.2,1
21,0.5,1,25,5,92,"2;1","RDiw1gMP",100,4,6,1,1.2,1
22,1.11984774694636,1,7,5,99,"2;1","RDiw1gMP",100,4,6,1,1.2,1
23,0.685286420045472,2,6,5,105,"2;1","RDiw1gMP",100,4,6,1,1.2,1
24,1.04846150180248,2,7,5,112,"2;1","RDiw1gMP",100,4,6,1,1.2,1
25,0.932915076096436,1,6,5,118,"2;1","RDiw1gMP",100,4,6,1,1.2,1
1,1.07434056996292,2,1,6,1,"1;2","RDiw1gMP",100,4,6,1,1.2,1
2,1.29423418620766,1,-1,6,0,"1;2","RDiw1gMP",100,4,6,1,1.2,1
3,0.5,2,5,6,5,"1;2","RDiw1gMP",100,4,6,1,1.2,1
4,1.1170522990103,2,1,6,6,"1;2","RDiw1gMP",100,4,6,1,1.2,1
5,1.37101360346348,2,16,6,22,"1;2","RDiw1gMP",100,4,6,1,1.2,1
6,0.933990916614864,2,-4,6,18,"1;2","RDiw1gMP",100,4,6,1,1.2,1
7,1.06449043193191,1,5,6,23,"1;2","RDiw1gMP",100,4,6,1,1.2,1
8,0.964681872862996,1,8,6,31,"1;2","RDiw1gMP",100,4,6,1,1.2,1
9,0.760620930908277,1,7,6,38,"1;2","RDiw1gMP",100,4,6,1,1.2,1
10,0.940737340972542,1,7,6,45,"1;2","RDiw1gMP",100,4,6,1,1.2,1
11,0.808073171122722,1,1,6,46,"1;2","RDiw1gMP",100,4,6,1,1.2,1
12,0.851041487581445,2,-1,6,45,"1;2","RDiw1gMP",100,4,6,1,1.2,1
13,1.21730450783997,1,7,6,52,"1;2","RDiw1gMP",100,4,6,1,1.2,1
14,0.748622098822786,1,6,6,58,"1;2","RDiw1gMP",100,4,6,1,1.2,1
15,0.746851501705714,1,3,6,61,"1;2","RDiw1gMP",100,4,6,1,1.2,1
16,1.2801548909989,1,4,6,65,"1;2","RDiw1gMP",100,4,6,1,1.2,1
17,0.610097072683971,2,12,6,77,"1;2","RDiw1gMP",100,4,6,1,1.2,1
18,0.841149116130189,1,4,6,81,"1;2","RDiw1gMP",100,4,6,1,1.2,1
19,0.97756926772233,2,7,6,88,"1;2","RDiw1gMP",100,4,6,1,1.2,1
