"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.974328901801889,1,3,1,3,"2;1","RTO7edqg",100,5,1,0,0.2,3
2,0.840931191259248,1,1,1,4,"2;1","RTO7edqg",100,5,1,0,0.2,3
3,0.692545651445036,2,3,1,7,"2;1","RTO7edqg",100,5,1,0,0.2,3
4,0.72061007442159,1,1,1,8,"2;1","RTO7edqg",100,5,1,0,0.2,3
5,1.08345346146959,2,2,1,10,"2;1","RTO7edqg",100,5,1,0,0.2,3
6,0.676163566215575,2,4,1,14,"2;1","RTO7edqg",100,5,1,0,0.2,3
7,1.20674430210738,1,6,1,20,"2;1","RTO7edqg",100,5,1,0,0.2,3
8,0.557543148454468,1,6,1,26,"2;1","RTO7edqg",100,5,1,0,0.2,3
9,0.761266392415566,1,1,1,27,"2;1","RTO7edqg",100,5,1,0,0.2,3
10,0.938094105730112,1,4,1,31,"2;1","RTO7edqg",100,5,1,0,0.2,3
11,1.25186939269299,1,1,1,32,"2;1","RTO7edqg",100,5,1,0,0.2,3
12,0.504712123870101,2,3,1,35,"2;1","RTO7edqg",100,5,1,0,0.2,3
13,0.59720756332794,1,4,1,39,"2;1","RTO7edqg",100,5,1,0,0.2,3
14,0.5,1,3,1,42,"2;1","RTO7edqg",100,5,1,0,0.2,3
15,0.723576023848983,2,0,1,42,"2;1","RTO7edqg",100,5,1,0,0.2,3
16,0.958824296707012,2,6,1,48,"2;1","RTO7edqg",100,5,1,0,0.2,3
17,0.605810730739073,2,3,1,51,"2;1","RTO7edqg",100,5,1,0,0.2,3
18,0.71575828643031,2,4,1,55,"2;1","RTO7edqg",100,5,1,0,0.2,3
19,0.902670742819544,2,0,1,55,"2;1","RTO7edqg",100,5,1,0,0.2,3
20,0.905327845578475,2,1,1,56,"2;1","RTO7edqg",100,5,1,0,0.2,3
1,1.22614502569691,2,-15,2,-15,"1;2","RTO7edqg",100,5,1,0,0.2,3
