"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.670653967155898,2,3,1,3,"1;2","RYbHrBth",100,6,4,0,0.8,1
2,0.694233989158105,1,5,1,8,"1;2","RYbHrBth",100,6,4,0,0.8,1
3,0.526714592507532,1,6,1,14,"1;2","RYbHrBth",100,6,4,0,0.8,1
4,1.06146140003237,1,1,1,15,"1;2","RYbHrBth",100,6,4,0,0.8,1
5,0.635792232550763,2,5,1,20,"1;2","RYbHrBth",100,6,4,0,0.8,1
6,0.932632273961126,1,3,1,23,"1;2","RYbHrBth",100,6,4,0,0.8,1
7,0.703313441452805,1,6,1,29,"1;2","RYbHrBth",100,6,4,0,0.8,1
8,0.825408621740177,2,3,1,32,"1;2","RYbHrBth",100,6,4,0,0.8,1
9,1.04250513545506,1,4,1,36,"1;2","RYbHrBth",100,6,4,0,0.8,1
10,0.5,1,6,1,42,"1;2","RYbHrBth",100,6,4,0,0.8,1
11,0.684748761199331,1,6,1,48,"1;2","RYbHrBth",100,6,4,0,0.8,1
12,0.518229532643364,1,4,1,52,"1;2","RYbHrBth",100,6,4,0,0.8,1
13,0.622619455852324,1,3,1,55,"1;2","RYbHrBth",100,6,4,0,0.8,1
14,1.10594092850709,1,3,1,58,"1;2","RYbHrBth",100,6,4,0,0.8,1
15,0.766121886668006,1,1,1,59,"1;2","RYbHrBth",100,6,4,0,0.8,1
16,1.03605860843623,1,3,1,62,"1;2","RYbHrBth",100,6,4,0,0.8,1
17,0.974591606647342,2,2,1,64,"1;2","RYbHrBth",100,6,4,0,0.8,1
18,0.798870070721314,1,3,1,67,"1;2","RYbHrBth",100,6,4,0,0.8,1
19,0.992846372074114,1,1,1,68,"1;2","RYbHrBth",100,6,4,0,0.8,1
20,0.918233496910326,1,4,1,72,"1;2","RYbHrBth",100,6,4,0,0.8,1
1,0.566138389458,1,-7,2,-7,"2;1","RYbHrBth",100,6,4,0,0.8,1
2,0.520136984707748,2,4,2,-3,"2;1","RYbHrBth",100,6,4,0,0.8,1
3,0.552683758842248,2,7,2,4,"2;1","RYbHrBth",100,6,4,0,0.8,1
4,0.834090662345301,2,3,2,7,"2;1","RYbHrBth",100,6,4,0,0.8,1
5,0.634739219539585,2,-1,2,6,"2;1","RYbHrBth",100,6,4,0,0.8,1
6,0.790702032853217,2,5,2,11,"2;1","RYbHrBth",100,6,4,0,0.8,1
7,0.5,1,0,2,11,"2;1","RYbHrBth",100,6,4,0,0.8,1
8,0.5,1,6,2,17,"2;1","RYbHrBth",100,6,4,0,0.8,1
9,0.587498468328379,1,6,2,23,"2;1","RYbHrBth",100,6,4,0,0.8,1
10,0.898926002856413,1,21,2,44,"2;1","RYbHrBth",100,6,4,0,0.8,1
11,0.592962714931418,1,20,2,64,"2;1","RYbHrBth",100,6,4,0,0.8,1
12,1.02918418907403,1,10,2,74,"2;1","RYbHrBth",100,6,4,0,0.8,1
13,0.995223201650926,1,11,2,85,"2;1","RYbHrBth",100,6,4,0,0.8,1
14,1.22449517301583,1,11,2,96,"2;1","RYbHrBth",100,6,4,0,0.8,1
15,0.914242339921458,2,2,2,98,"2;1","RYbHrBth",100,6,4,0,0.8,1
16,1.26826630305394,1,-2,2,96,"2;1","RYbHrBth",100,6,4,0,0.8,1
17,0.818090422076817,2,-1,2,95,"2;1","RYbHrBth",100,6,4,0,0.8,1
18,0.884643687904086,1,8,2,103,"2;1","RYbHrBth",100,6,4,0,0.8,1
19,1.25078400437962,1,-11,2,92,"2;1","RYbHrBth",100,6,4,0,0.8,1
20,1.1638694237772,2,-2,2,90,"2;1","RYbHrBth",100,6,4,0,0.8,1
21,1.05202037402691,1,5,2,95,"2;1","RYbHrBth",100,6,4,0,0.8,1
22,1.23996406633572,1,5,2,100,"2;1","RYbHrBth",100,6,4,0,0.8,1
23,0.829037676466208,1,14,2,114,"2;1","RYbHrBth",100,6,4,0,0.8,1
24,1.06304742501068,2,7,2,121,"2;1","RYbHrBth",100,6,4,0,0.8,1
25,1.07477953303397,2,7,2,128,"2;1","RYbHrBth",100,6,4,0,0.8,1
1,0.910557771495604,2,2,3,2,"2;1","RYbHrBth",100,6,4,0,0.8,1
2,0.863941565608809,2,7,3,9,"2;1","RYbHrBth",100,6,4,0,0.8,1
3,1.00653935805622,2,-1,3,8,"2;1","RYbHrBth",100,6,4,0,0.8,1
4,0.814796223782414,1,-1,3,7,"2;1","RYbHrBth",100,6,4,0,0.8,1
5,0.633298769390431,2,1,3,8,"2;1","RYbHrBth",100,6,4,0,0.8,1
6,0.902738985163699,2,3,3,11,"2;1","RYbHrBth",100,6,4,0,0.8,1
7,0.666983875217906,2,5,3,16,"2;1","RYbHrBth",100,6,4,0,0.8,1
8,0.618901020535929,2,5,3,21,"2;1","RYbHrBth",100,6,4,0,0.8,1
9,0.618752035913453,2,6,3,27,"2;1","RYbHrBth",100,6,4,0,0.8,1
10,0.5,2,1,3,28,"2;1","RYbHrBth",100,6,4,0,0.8,1
11,0.93274046742388,2,9,3,37,"2;1","RYbHrBth",100,6,4,0,0.8,1
12,0.824362498424543,2,2,3,39,"2;1","RYbHrBth",100,6,4,0,0.8,1
13,1.3262807665539,2,7,3,46,"2;1","RYbHrBth",100,6,4,0,0.8,1
14,0.702022442143233,2,1,3,47,"2;1","RYbHrBth",100,6,4,0,0.8,1
15,0.872833182074692,2,3,3,50,"2;1","RYbHrBth",100,6,4,0,0.8,1
16,0.949881541057604,1,15,3,65,"2;1","RYbHrBth",100,6,4,0,0.8,1
17,1.05928193553389,1,21,3,86,"2;1","RYbHrBth",100,6,4,0,0.8,1
18,1.02412248191922,1,-22,3,64,"2;1","RYbHrBth",100,6,4,0,0.8,1
19,0.953631065836444,1,8,3,72,"2;1","RYbHrBth",100,6,4,0,0.8,1
20,0.5,1,21,3,93,"2;1","RYbHrBth",100,6,4,0,0.8,1
21,0.787049845897189,2,2,3,95,"2;1","RYbHrBth",100,6,4,0,0.8,1
22,0.638769712802272,1,5,3,100,"2;1","RYbHrBth",100,6,4,0,0.8,1
23,0.843913574999613,2,4,3,104,"2;1","RYbHrBth",100,6,4,0,0.8,1
24,1.20498311962788,2,2,3,106,"2;1","RYbHrBth",100,6,4,0,0.8,1
25,0.635641653934689,2,2,3,108,"2;1","RYbHrBth",100,6,4,0,0.8,1
1,0.59717819256067,1,-1,4,-1,"1;2","RYbHrBth",100,6,4,0,0.8,1
2,0.518943448060159,2,-23,4,-24,"1;2","RYbHrBth",100,6,4,0,0.8,1
3,0.5,1,2,4,-22,"1;2","RYbHrBth",100,6,4,0,0.8,1
4,0.695314850990681,1,3,4,-19,"1;2","RYbHrBth",100,6,4,0,0.8,1
