"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.16669002110714,1,5,1,5,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
2,0.675192229790534,1,8,1,13,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
3,0.600655230075885,1,5,1,18,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
4,0.5,1,7,1,25,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
5,0.830541881982678,1,4,1,29,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
6,0.641620915038768,1,6,1,35,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
7,0.783988932085026,1,1,1,36,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
8,1.2713981103827,1,3,1,39,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
9,0.5,1,2,1,41,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
10,0.709430907569689,1,6,1,47,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
11,0.5,1,1,1,48,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
12,0.942208331045654,1,2,1,50,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
13,1.22412903168973,2,2,1,52,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
14,1.21289937187776,1,2,1,54,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
15,0.732470158119907,1,3,1,57,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
16,0.5,1,5,1,62,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
17,0.984059046317085,1,2,1,64,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
18,0.689669333982997,1,-1,1,63,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
19,0.649889304041977,1,-1,1,62,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
20,0.695452095209306,1,1,1,63,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
1,0.857918547004533,2,30,2,30,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
2,0.5,2,-9,2,21,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
3,0.508484018868932,1,6,2,27,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
4,0.587569495345213,2,-9,2,18,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
5,0.5,1,6,2,24,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
6,0.902725283098629,1,1,2,25,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
7,0.727907023496267,2,3,2,28,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
8,1.02030829085994,2,6,2,34,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
9,0.876570824144084,2,3,2,37,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
10,0.897424554682181,2,11,2,48,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
11,0.75836277661959,2,-10,2,38,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
12,0.562509126989761,1,-1,2,37,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
13,0.718626930952365,2,19,2,56,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
14,1.04189969556208,2,-13,2,43,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
15,0.632808318679689,2,6,2,49,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
16,0.673175965197513,2,-2,2,47,"1;2","Ry12iA1b",0,3,NA,0,0.35,1
