"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.579513639248933,1,3,1,3,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
2,0.686405958094863,1,4,1,7,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
3,0.861207654675803,1,2,1,9,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
4,1.03907388127,1,4,1,13,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
5,1.17251425656142,1,7,1,20,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
6,0.5,1,5,1,25,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
7,0.5,1,7,1,32,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
8,1.05382527161185,1,4,1,36,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
9,0.8073549182339,1,4,1,40,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
10,0.638699164393074,1,1,1,41,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
11,0.67513059992629,1,3,1,44,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
12,0.5,2,2,1,46,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
13,0.809188451512391,1,1,1,47,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
14,1.12987494673234,1,4,1,51,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
15,0.545599569809634,1,3,1,54,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
16,0.5,1,-1,1,53,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
17,1.04840770783902,1,0,1,53,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
18,0.5,1,3,1,56,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
19,1.03072264127245,2,2,1,58,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
20,0.917011263121653,1,3,1,61,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
1,1.04270797643295,2,2,2,2,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
2,0.838345402727572,1,-6,2,-4,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
3,1.0417941807771,2,1,2,-3,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
4,1.09745757003006,2,7,2,4,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
5,1.14079786292055,2,6,2,10,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
6,1.06083562976825,2,-2,2,8,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
7,1.04656091721233,2,1,2,9,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
8,0.647365011823392,2,2,2,11,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
9,0.683771116423967,1,5,2,16,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
10,0.784971339744633,2,4,2,20,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
11,0.65122984901804,2,3,2,23,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
12,0.5,2,2,2,25,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
13,0.721886623986274,2,-1,2,24,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
14,0.954082183003243,2,-2,2,22,"2;1","TVDvBtdr",0,3,NA,0,0.66,3
