"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.51413537930835,2,2,1,2,"2;1","TkKJYDmj",100,5,5,0,1,2
2,0.775788369949869,2,1,1,3,"2;1","TkKJYDmj",100,5,5,0,1,2
3,0.736790914644456,2,1,1,4,"2;1","TkKJYDmj",100,5,5,0,1,2
4,1.09887276523563,2,-1,1,3,"2;1","TkKJYDmj",100,5,5,0,1,2
5,0.643288398323601,2,2,1,5,"2;1","TkKJYDmj",100,5,5,0,1,2
6,0.735481887467645,2,-1,1,4,"2;1","TkKJYDmj",100,5,5,0,1,2
7,0.981360571328836,2,0,1,4,"2;1","TkKJYDmj",100,5,5,0,1,2
8,0.712923311069311,2,3,1,7,"2;1","TkKJYDmj",100,5,5,0,1,2
9,0.890597035531679,2,1,1,8,"2;1","TkKJYDmj",100,5,5,0,1,2
10,0.873482566968931,2,2,1,10,"2;1","TkKJYDmj",100,5,5,0,1,2
11,0.761357373529566,2,2,1,12,"2;1","TkKJYDmj",100,5,5,0,1,2
12,1.01126691484681,1,2,1,14,"2;1","TkKJYDmj",100,5,5,0,1,2
13,0.969846374043899,2,4,1,18,"2;1","TkKJYDmj",100,5,5,0,1,2
14,0.930312732062055,2,3,1,21,"2;1","TkKJYDmj",100,5,5,0,1,2
15,1.1630951515041,2,4,1,25,"2;1","TkKJYDmj",100,5,5,0,1,2
16,1.09434154074503,2,4,1,29,"2;1","TkKJYDmj",100,5,5,0,1,2
17,0.706731650960902,2,4,1,33,"2;1","TkKJYDmj",100,5,5,0,1,2
18,0.90648906112681,2,3,1,36,"2;1","TkKJYDmj",100,5,5,0,1,2
19,0.745040665766883,1,9,1,45,"2;1","TkKJYDmj",100,5,5,0,1,2
20,1.26779948366014,2,3,1,48,"2;1","TkKJYDmj",100,5,5,0,1,2
1,0.732568776650622,2,-10,2,-10,"1;2","TkKJYDmj",100,5,5,0,1,2
2,0.5,1,7,2,-3,"1;2","TkKJYDmj",100,5,5,0,1,2
3,0.988388265520506,1,2,2,-1,"1;2","TkKJYDmj",100,5,5,0,1,2
4,0.908352793261244,1,4,2,3,"1;2","TkKJYDmj",100,5,5,0,1,2
5,0.627401239767005,1,5,2,8,"1;2","TkKJYDmj",100,5,5,0,1,2
6,0.5,1,3,2,11,"1;2","TkKJYDmj",100,5,5,0,1,2
7,0.744004488527853,1,0,2,11,"1;2","TkKJYDmj",100,5,5,0,1,2
8,0.937746975865651,1,7,2,18,"1;2","TkKJYDmj",100,5,5,0,1,2
9,0.863806785562822,1,3,2,21,"1;2","TkKJYDmj",100,5,5,0,1,2
10,0.681271582447217,2,-19,2,2,"1;2","TkKJYDmj",100,5,5,0,1,2
11,0.639160453986893,1,-1,2,1,"1;2","TkKJYDmj",100,5,5,0,1,2
12,0.938476075777818,1,5,2,6,"1;2","TkKJYDmj",100,5,5,0,1,2
13,0.861364772932485,1,9,2,15,"1;2","TkKJYDmj",100,5,5,0,1,2
14,1.11892090246334,1,5,2,20,"1;2","TkKJYDmj",100,5,5,0,1,2
15,0.653803141760481,1,5,2,25,"1;2","TkKJYDmj",100,5,5,0,1,2
16,0.652439682718518,1,5,2,30,"1;2","TkKJYDmj",100,5,5,0,1,2
17,0.972808113191727,1,6,2,36,"1;2","TkKJYDmj",100,5,5,0,1,2
18,0.687882604759711,2,10,2,46,"1;2","TkKJYDmj",100,5,5,0,1,2
19,0.812998041218413,2,11,2,57,"1;2","TkKJYDmj",100,5,5,0,1,2
20,0.652266849485787,1,7,2,64,"1;2","TkKJYDmj",100,5,5,0,1,2
21,0.574242511395804,1,3,2,67,"1;2","TkKJYDmj",100,5,5,0,1,2
22,1.03741227135356,1,8,2,75,"1;2","TkKJYDmj",100,5,5,0,1,2
23,1.17928470950513,1,2,2,77,"1;2","TkKJYDmj",100,5,5,0,1,2
24,0.993855615862545,1,1,2,78,"1;2","TkKJYDmj",100,5,5,0,1,2
25,0.580956413251377,2,19,2,97,"1;2","TkKJYDmj",100,5,5,0,1,2
1,0.829715187981406,2,2,3,2,"1;2","TkKJYDmj",100,5,5,0,1,2
2,0.639943616219056,1,4,3,6,"1;2","TkKJYDmj",100,5,5,0,1,2
3,0.721281653588267,2,27,3,33,"1;2","TkKJYDmj",100,5,5,0,1,2
4,0.813131491837308,2,-8,3,25,"1;2","TkKJYDmj",100,5,5,0,1,2
5,0.569119060081517,2,2,3,27,"1;2","TkKJYDmj",100,5,5,0,1,2
6,0.793978235841343,2,-8,3,19,"1;2","TkKJYDmj",100,5,5,0,1,2
7,0.821338421803634,2,1,3,20,"1;2","TkKJYDmj",100,5,5,0,1,2
8,1.18613963360246,2,-10,3,10,"1;2","TkKJYDmj",100,5,5,0,1,2
9,0.992184383054045,2,10,3,20,"1;2","TkKJYDmj",100,5,5,0,1,2
10,0.975569775307028,2,-1,3,19,"1;2","TkKJYDmj",100,5,5,0,1,2
11,0.861731808226714,2,16,3,35,"1;2","TkKJYDmj",100,5,5,0,1,2
12,0.841177993738222,2,0,3,35,"1;2","TkKJYDmj",100,5,5,0,1,2
13,1.15120963248381,2,-3,3,32,"1;2","TkKJYDmj",100,5,5,0,1,2
14,0.571387279162582,2,-10,3,22,"1;2","TkKJYDmj",100,5,5,0,1,2
15,0.78587084033787,1,6,3,28,"1;2","TkKJYDmj",100,5,5,0,1,2
16,1.33781171926856,1,5,3,33,"1;2","TkKJYDmj",100,5,5,0,1,2
17,0.717744813001845,1,1,3,34,"1;2","TkKJYDmj",100,5,5,0,1,2
18,0.637165819790796,1,4,3,38,"1;2","TkKJYDmj",100,5,5,0,1,2
19,1.06872657811672,1,6,3,44,"1;2","TkKJYDmj",100,5,5,0,1,2
20,0.65287089878339,1,6,3,50,"1;2","TkKJYDmj",100,5,5,0,1,2
21,0.876150483207981,2,-12,3,38,"1;2","TkKJYDmj",100,5,5,0,1,2
22,0.718898064078015,1,0,3,38,"1;2","TkKJYDmj",100,5,5,0,1,2
23,0.617047833332395,1,6,3,44,"1;2","TkKJYDmj",100,5,5,0,1,2
24,0.739396646192283,1,6,3,50,"1;2","TkKJYDmj",100,5,5,0,1,2
25,1.17179827699507,1,5,3,55,"1;2","TkKJYDmj",100,5,5,0,1,2
1,1.17044415766949,2,-10,4,-10,"1;2","TkKJYDmj",100,5,5,0,1,2
2,1.09709112355749,1,6,4,-4,"1;2","TkKJYDmj",100,5,5,0,1,2
3,0.977313531752639,2,-10,4,-14,"1;2","TkKJYDmj",100,5,5,0,1,2
4,0.5,1,1,4,-13,"1;2","TkKJYDmj",100,5,5,0,1,2
5,1.29837138883247,1,3,4,-10,"1;2","TkKJYDmj",100,5,5,0,1,2
6,0.933888302735908,2,15,4,5,"1;2","TkKJYDmj",100,5,5,0,1,2
7,0.5,2,-9,4,-4,"1;2","TkKJYDmj",100,5,5,0,1,2
8,0.95789239255362,1,2,4,-2,"1;2","TkKJYDmj",100,5,5,0,1,2
9,0.795293542630264,1,2,4,0,"1;2","TkKJYDmj",100,5,5,0,1,2
10,0.811802981398294,1,5,4,5,"1;2","TkKJYDmj",100,5,5,0,1,2
11,0.758858037613724,1,5,4,10,"1;2","TkKJYDmj",100,5,5,0,1,2
12,0.651232526504915,2,1,4,11,"1;2","TkKJYDmj",100,5,5,0,1,2
13,0.974142349234875,1,7,4,18,"1;2","TkKJYDmj",100,5,5,0,1,2
14,0.953271352591789,2,2,4,20,"1;2","TkKJYDmj",100,5,5,0,1,2
15,0.667094698862441,1,7,4,27,"1;2","TkKJYDmj",100,5,5,0,1,2
16,0.962001482590839,1,2,4,29,"1;2","TkKJYDmj",100,5,5,0,1,2
17,0.500704313173773,1,2,4,31,"1;2","TkKJYDmj",100,5,5,0,1,2
18,0.716671222575354,1,3,4,34,"1;2","TkKJYDmj",100,5,5,0,1,2
19,1.17017321817619,1,8,4,42,"1;2","TkKJYDmj",100,5,5,0,1,2
20,0.686511285387778,2,-2,4,40,"1;2","TkKJYDmj",100,5,5,0,1,2
21,0.5,1,3,4,43,"1;2","TkKJYDmj",100,5,5,0,1,2
22,0.637871817624624,1,3,4,46,"1;2","TkKJYDmj",100,5,5,0,1,2
23,0.963196098586979,2,9,4,55,"1;2","TkKJYDmj",100,5,5,0,1,2
24,1.32494482306315,2,-14,4,41,"1;2","TkKJYDmj",100,5,5,0,1,2
25,0.660219285876248,2,-18,4,23,"1;2","TkKJYDmj",100,5,5,0,1,2
1,0.772006209803113,2,20,5,20,"1;2","TkKJYDmj",100,5,5,0,1,2
2,0.5,2,2,5,22,"1;2","TkKJYDmj",100,5,5,0,1,2
3,1.39672135263276,1,4,5,26,"1;2","TkKJYDmj",100,5,5,0,1,2
4,0.929589604656818,2,24,5,50,"1;2","TkKJYDmj",100,5,5,0,1,2
5,0.507247985535755,2,6,5,56,"1;2","TkKJYDmj",100,5,5,0,1,2
6,0.801462315541668,2,22,5,78,"1;2","TkKJYDmj",100,5,5,0,1,2
7,1.09650547300439,2,5,5,83,"1;2","TkKJYDmj",100,5,5,0,1,2
8,0.588723107760727,1,4,5,87,"1;2","TkKJYDmj",100,5,5,0,1,2
9,0.862206847152469,1,2,5,89,"1;2","TkKJYDmj",100,5,5,0,1,2
10,1.06050508279852,2,4,5,93,"1;2","TkKJYDmj",100,5,5,0,1,2
11,0.5,2,14,5,107,"1;2","TkKJYDmj",100,5,5,0,1,2
12,0.850171321862631,2,-2,5,105,"1;2","TkKJYDmj",100,5,5,0,1,2
13,0.834086842747301,2,-12,5,93,"1;2","TkKJYDmj",100,5,5,0,1,2
14,0.538773593466742,2,-11,5,82,"1;2","TkKJYDmj",100,5,5,0,1,2
15,1.44678692173205,2,6,5,88,"1;2","TkKJYDmj",100,5,5,0,1,2
