"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.840381159396505,2,4,1,4,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
2,1.02217779237053,2,3,1,7,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
3,1.07593836394374,2,1,1,8,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
4,0.869778020227531,2,5,1,13,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
5,0.720624337529938,2,2,1,15,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
6,0.679281459892818,1,6,1,21,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
7,0.59655868991934,2,5,1,26,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
8,0.608186447700268,2,0,1,26,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
9,0.851226119680513,2,-1,1,25,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
10,1.01464428330226,2,1,1,26,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
11,1.18301476501594,1,1,1,27,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
12,0.746352339088071,2,2,1,29,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
13,0.760904439985308,1,8,1,37,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
14,0.946985274275717,1,1,1,38,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
15,0.527100145862827,1,3,1,41,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
16,0.646020127140577,1,3,1,44,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
17,0.5,2,5,1,49,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
18,1.13083127294797,1,1,1,50,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
19,0.843365203256522,2,3,1,53,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
20,1.15865888626572,2,4,1,57,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
1,0.997780412900258,2,1,2,1,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
2,1.03161342931335,2,3,2,4,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
3,0.605640666431697,2,5,2,9,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
4,1.01363419467238,2,3,2,12,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
5,0.78155971864184,1,4,2,16,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
6,1.08453349501063,2,7,2,23,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
7,0.648712607307901,2,2,2,25,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
8,0.690376119986594,2,4,2,29,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
9,1.14751399435611,2,3,2,32,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
10,0.759075066597177,2,2,2,34,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
11,0.85884058520129,2,5,2,39,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
12,0.76716649584892,2,5,2,44,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
13,0.77557048979896,2,9,2,53,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
14,0.965602257165969,2,7,2,60,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
15,0.736247261045465,2,-2,2,58,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
16,0.7574492502092,2,0,2,58,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
17,1.47231396497132,2,0,2,58,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
18,1.33507043370679,2,-1,2,57,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
19,0.994312751417392,2,0,2,57,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
20,0.742752043979528,2,7,2,64,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
21,0.5,2,5,2,69,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
22,1.12958086597215,2,8,2,77,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
23,0.595748732127534,2,6,2,83,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
24,0.67022418374284,2,3,2,86,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
25,0.837837923548411,2,2,2,88,"2;1","Tmuqj2Ch",100,6,3,1,0.6,3
1,0.814961036525435,1,2,3,2,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
2,0.5,1,4,3,6,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
3,0.5,2,3,3,9,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
4,0.645925050551536,1,1,3,10,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
5,0.508110222312455,1,2,3,12,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
6,0.887737088645856,2,-21,3,-9,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
7,1.16813211228557,2,-6,3,-15,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
8,1.20205924422354,2,3,3,-12,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
9,0.88459596441686,1,1,3,-11,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
10,0.935908128196746,2,-5,3,-16,"1;2","Tmuqj2Ch",100,6,3,1,0.6,3
