"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.685434095146958,2,3,1,3,"2;1","U7ixEK5E",100,4,7,0,1.4,1
2,0.870205037674446,1,1,1,4,"2;1","U7ixEK5E",100,4,7,0,1.4,1
3,0.891147091784669,1,1,1,5,"2;1","U7ixEK5E",100,4,7,0,1.4,1
4,0.951738430554612,2,2,1,7,"2;1","U7ixEK5E",100,4,7,0,1.4,1
5,0.653365500103231,2,4,1,11,"2;1","U7ixEK5E",100,4,7,0,1.4,1
6,0.5,2,3,1,14,"2;1","U7ixEK5E",100,4,7,0,1.4,1
7,0.570281619692234,1,1,1,15,"2;1","U7ixEK5E",100,4,7,0,1.4,1
8,0.692282351694062,2,5,1,20,"2;1","U7ixEK5E",100,4,7,0,1.4,1
9,0.5,2,2,1,22,"2;1","U7ixEK5E",100,4,7,0,1.4,1
10,1.11710416878243,2,2,1,24,"2;1","U7ixEK5E",100,4,7,0,1.4,1
11,0.507918037168191,2,5,1,29,"2;1","U7ixEK5E",100,4,7,0,1.4,1
12,1.06647327317391,1,5,1,34,"2;1","U7ixEK5E",100,4,7,0,1.4,1
13,0.788942636476306,2,2,1,36,"2;1","U7ixEK5E",100,4,7,0,1.4,1
14,0.655307796554481,1,4,1,40,"2;1","U7ixEK5E",100,4,7,0,1.4,1
15,0.808155062571139,1,2,1,42,"2;1","U7ixEK5E",100,4,7,0,1.4,1
16,0.793192149841499,2,8,1,50,"2;1","U7ixEK5E",100,4,7,0,1.4,1
17,0.773424380499835,1,1,1,51,"2;1","U7ixEK5E",100,4,7,0,1.4,1
18,0.760722729641695,2,1,1,52,"2;1","U7ixEK5E",100,4,7,0,1.4,1
19,1.12515318658838,2,5,1,57,"2;1","U7ixEK5E",100,4,7,0,1.4,1
20,1.0557753247998,1,3,1,60,"2;1","U7ixEK5E",100,4,7,0,1.4,1
1,0.821976726920845,1,-1,2,-1,"1;2","U7ixEK5E",100,4,7,0,1.4,1
2,0.86981935013172,2,-7,2,-8,"1;2","U7ixEK5E",100,4,7,0,1.4,1
3,1.01062792574212,1,6,2,-2,"1;2","U7ixEK5E",100,4,7,0,1.4,1
4,0.618453453664153,2,-9,2,-11,"1;2","U7ixEK5E",100,4,7,0,1.4,1
5,0.880775907806489,1,3,2,-8,"1;2","U7ixEK5E",100,4,7,0,1.4,1
6,0.900335683518421,2,-15,2,-23,"1;2","U7ixEK5E",100,4,7,0,1.4,1
7,0.997068691309565,1,3,2,-20,"1;2","U7ixEK5E",100,4,7,0,1.4,1
8,0.545427170839455,1,5,2,-15,"1;2","U7ixEK5E",100,4,7,0,1.4,1
9,0.97412300191586,1,5,2,-10,"1;2","U7ixEK5E",100,4,7,0,1.4,1
10,0.56902276334374,1,0,2,-10,"1;2","U7ixEK5E",100,4,7,0,1.4,1
11,0.819472088466522,1,4,2,-6,"1;2","U7ixEK5E",100,4,7,0,1.4,1
12,0.880939118270121,1,6,2,0,"1;2","U7ixEK5E",100,4,7,0,1.4,1
13,0.891450059113109,1,4,2,4,"1;2","U7ixEK5E",100,4,7,0,1.4,1
14,0.77405028033245,1,7,2,11,"1;2","U7ixEK5E",100,4,7,0,1.4,1
15,0.658393657637816,1,6,2,17,"1;2","U7ixEK5E",100,4,7,0,1.4,1
16,1.31934043417612,2,13,2,30,"1;2","U7ixEK5E",100,4,7,0,1.4,1
17,0.71316878372522,2,4,2,34,"1;2","U7ixEK5E",100,4,7,0,1.4,1
18,0.891657731647594,2,-21,2,13,"1;2","U7ixEK5E",100,4,7,0,1.4,1
19,0.856853004533468,2,-1,2,12,"1;2","U7ixEK5E",100,4,7,0,1.4,1
20,0.694787602057548,2,14,2,26,"1;2","U7ixEK5E",100,4,7,0,1.4,1
21,0.5,1,6,2,32,"1;2","U7ixEK5E",100,4,7,0,1.4,1
22,0.727753673781926,2,6,2,38,"1;2","U7ixEK5E",100,4,7,0,1.4,1
23,0.886961786087716,2,-13,2,25,"1;2","U7ixEK5E",100,4,7,0,1.4,1
24,0.840624564641998,2,-5,2,20,"1;2","U7ixEK5E",100,4,7,0,1.4,1
25,1.18593283770172,2,-2,2,18,"1;2","U7ixEK5E",100,4,7,0,1.4,1
1,0.723744114817628,1,4,3,4,"1;2","U7ixEK5E",100,4,7,0,1.4,1
2,0.787207010124408,1,2,3,6,"1;2","U7ixEK5E",100,4,7,0,1.4,1
3,0.505879817738974,1,3,3,9,"1;2","U7ixEK5E",100,4,7,0,1.4,1
4,0.700431181618324,2,17,3,26,"1;2","U7ixEK5E",100,4,7,0,1.4,1
5,0.805338451238417,1,2,3,28,"1;2","U7ixEK5E",100,4,7,0,1.4,1
6,1.14137818379383,2,23,3,51,"1;2","U7ixEK5E",100,4,7,0,1.4,1
7,0.930355331475472,2,12,3,63,"1;2","U7ixEK5E",100,4,7,0,1.4,1
8,0.624218747841373,1,3,3,66,"1;2","U7ixEK5E",100,4,7,0,1.4,1
9,0.5,2,9,3,75,"1;2","U7ixEK5E",100,4,7,0,1.4,1
10,0.5,2,6,3,81,"1;2","U7ixEK5E",100,4,7,0,1.4,1
11,1.16979735648275,2,19,3,100,"1;2","U7ixEK5E",100,4,7,0,1.4,1
12,0.758881988559094,1,5,3,105,"1;2","U7ixEK5E",100,4,7,0,1.4,1
13,0.808092673962576,1,6,3,111,"1;2","U7ixEK5E",100,4,7,0,1.4,1
14,0.705566424600645,1,1,3,112,"1;2","U7ixEK5E",100,4,7,0,1.4,1
15,0.712771421333625,1,6,3,118,"1;2","U7ixEK5E",100,4,7,0,1.4,1
16,1.07189476431135,1,0,3,118,"1;2","U7ixEK5E",100,4,7,0,1.4,1
17,1.19270301333169,1,4,3,122,"1;2","U7ixEK5E",100,4,7,0,1.4,1
18,0.995670790794763,2,12,3,134,"1;2","U7ixEK5E",100,4,7,0,1.4,1
19,0.872932060383269,1,7,3,141,"1;2","U7ixEK5E",100,4,7,0,1.4,1
20,0.725449343479239,1,1,3,142,"1;2","U7ixEK5E",100,4,7,0,1.4,1
21,0.571607472207658,1,6,3,148,"1;2","U7ixEK5E",100,4,7,0,1.4,1
22,1.04679539815315,1,6,3,154,"1;2","U7ixEK5E",100,4,7,0,1.4,1
23,1.45734210455986,1,3,3,157,"1;2","U7ixEK5E",100,4,7,0,1.4,1
24,0.821612729819049,2,-8,3,149,"1;2","U7ixEK5E",100,4,7,0,1.4,1
25,1.02041593817983,1,5,3,154,"1;2","U7ixEK5E",100,4,7,0,1.4,1
1,0.701222418458763,2,5,4,5,"2;1","U7ixEK5E",100,4,7,0,1.4,1
2,0.835386099209387,2,-1,4,4,"2;1","U7ixEK5E",100,4,7,0,1.4,1
3,0.755569715693901,2,7,4,11,"2;1","U7ixEK5E",100,4,7,0,1.4,1
4,0.630117894311607,2,5,4,16,"2;1","U7ixEK5E",100,4,7,0,1.4,1
5,1.10954998612795,2,4,4,20,"2;1","U7ixEK5E",100,4,7,0,1.4,1
