"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.754747893926537,1,2,1,2,"2;1","UdcLDEpb",100,5,5,0,1,2
2,0.750933522857616,1,4,1,6,"2;1","UdcLDEpb",100,5,5,0,1,2
3,0.611300148227595,2,3,1,9,"2;1","UdcLDEpb",100,5,5,0,1,2
4,0.991508430229834,1,2,1,11,"2;1","UdcLDEpb",100,5,5,0,1,2
5,1.3251936155993,1,1,1,12,"2;1","UdcLDEpb",100,5,5,0,1,2
6,0.671471035935617,2,7,1,19,"2;1","UdcLDEpb",100,5,5,0,1,2
7,0.833857862606593,1,1,1,20,"2;1","UdcLDEpb",100,5,5,0,1,2
8,0.773874377489762,1,5,1,25,"2;1","UdcLDEpb",100,5,5,0,1,2
9,0.7261966453441,2,3,1,28,"2;1","UdcLDEpb",100,5,5,0,1,2
10,0.994921744579758,2,5,1,33,"2;1","UdcLDEpb",100,5,5,0,1,2
11,1.06868640530656,1,4,1,37,"2;1","UdcLDEpb",100,5,5,0,1,2
12,0.890579436151943,2,1,1,38,"2;1","UdcLDEpb",100,5,5,0,1,2
13,0.768832663670067,2,6,1,44,"2;1","UdcLDEpb",100,5,5,0,1,2
14,0.719743816497294,1,6,1,50,"2;1","UdcLDEpb",100,5,5,0,1,2
15,0.502389704011246,2,4,1,54,"2;1","UdcLDEpb",100,5,5,0,1,2
16,0.642851821361503,1,6,1,60,"2;1","UdcLDEpb",100,5,5,0,1,2
17,0.999399991803538,2,5,1,65,"2;1","UdcLDEpb",100,5,5,0,1,2
18,0.980634621924931,1,0,1,65,"2;1","UdcLDEpb",100,5,5,0,1,2
19,0.987674378680787,1,4,1,69,"2;1","UdcLDEpb",100,5,5,0,1,2
20,0.5,2,0,1,69,"2;1","UdcLDEpb",100,5,5,0,1,2
1,0.842844579542742,2,4,2,4,"2;1","UdcLDEpb",100,5,5,0,1,2
2,0.991996584891902,2,6,2,10,"2;1","UdcLDEpb",100,5,5,0,1,2
3,1.42607485459157,1,19,2,29,"2;1","UdcLDEpb",100,5,5,0,1,2
4,0.632554170051014,2,6,2,35,"2;1","UdcLDEpb",100,5,5,0,1,2
5,0.822374674349104,2,5,2,40,"2;1","UdcLDEpb",100,5,5,0,1,2
6,0.800215600232108,1,24,2,64,"2;1","UdcLDEpb",100,5,5,0,1,2
7,1.00658217743894,2,1,2,65,"2;1","UdcLDEpb",100,5,5,0,1,2
8,0.5,2,3,2,68,"2;1","UdcLDEpb",100,5,5,0,1,2
9,0.901993139342289,2,5,2,73,"2;1","UdcLDEpb",100,5,5,0,1,2
10,0.868136000502029,1,-3,2,70,"2;1","UdcLDEpb",100,5,5,0,1,2
11,1.15293239700307,1,9,2,79,"2;1","UdcLDEpb",100,5,5,0,1,2
12,0.98973027500947,1,13,2,92,"2;1","UdcLDEpb",100,5,5,0,1,2
13,0.677823531005358,2,4,2,96,"2;1","UdcLDEpb",100,5,5,0,1,2
14,1.15768753528265,2,5,2,101,"2;1","UdcLDEpb",100,5,5,0,1,2
15,0.940298217514728,1,2,2,103,"2;1","UdcLDEpb",100,5,5,0,1,2
16,1.28356546857384,2,3,2,106,"2;1","UdcLDEpb",100,5,5,0,1,2
17,0.650362388490311,2,7,2,113,"2;1","UdcLDEpb",100,5,5,0,1,2
18,0.5,2,5,2,118,"2;1","UdcLDEpb",100,5,5,0,1,2
19,0.969984290580967,2,9,2,127,"2;1","UdcLDEpb",100,5,5,0,1,2
20,0.806925136976096,2,6,2,133,"2;1","UdcLDEpb",100,5,5,0,1,2
21,0.6668817582268,2,3,2,136,"2;1","UdcLDEpb",100,5,5,0,1,2
22,0.550475890964621,1,11,2,147,"2;1","UdcLDEpb",100,5,5,0,1,2
23,1.1262889013201,2,5,2,152,"2;1","UdcLDEpb",100,5,5,0,1,2
24,0.775311974634364,1,2,2,154,"2;1","UdcLDEpb",100,5,5,0,1,2
25,0.683498332948248,2,6,2,160,"2;1","UdcLDEpb",100,5,5,0,1,2
1,0.644967474751888,2,6,3,6,"2;1","UdcLDEpb",100,5,5,0,1,2
2,0.7409548429837,2,4,3,10,"2;1","UdcLDEpb",100,5,5,0,1,2
3,1.01529428003279,1,22,3,32,"2;1","UdcLDEpb",100,5,5,0,1,2
4,0.557079081689472,1,4,3,36,"2;1","UdcLDEpb",100,5,5,0,1,2
5,0.5,2,4,3,40,"2;1","UdcLDEpb",100,5,5,0,1,2
6,1.20151702094789,2,3,3,43,"2;1","UdcLDEpb",100,5,5,0,1,2
7,0.5,2,4,3,47,"2;1","UdcLDEpb",100,5,5,0,1,2
8,0.970845374419199,2,7,3,54,"2;1","UdcLDEpb",100,5,5,0,1,2
9,0.698109679181228,1,15,3,69,"2;1","UdcLDEpb",100,5,5,0,1,2
10,0.5,1,-4,3,65,"2;1","UdcLDEpb",100,5,5,0,1,2
11,1.43547457319171,2,6,3,71,"2;1","UdcLDEpb",100,5,5,0,1,2
12,0.771923025422703,2,5,3,76,"2;1","UdcLDEpb",100,5,5,0,1,2
13,0.5,1,-5,3,71,"2;1","UdcLDEpb",100,5,5,0,1,2
14,0.640036377344987,2,7,3,78,"2;1","UdcLDEpb",100,5,5,0,1,2
15,1.47711623409657,1,21,3,99,"2;1","UdcLDEpb",100,5,5,0,1,2
16,1.13497222039596,1,7,3,106,"2;1","UdcLDEpb",100,5,5,0,1,2
17,0.756379927350555,2,5,3,111,"2;1","UdcLDEpb",100,5,5,0,1,2
18,0.620218014225887,2,2,3,113,"2;1","UdcLDEpb",100,5,5,0,1,2
19,1.24511738820095,2,1,3,114,"2;1","UdcLDEpb",100,5,5,0,1,2
20,0.803491015995407,1,19,3,133,"2;1","UdcLDEpb",100,5,5,0,1,2
21,0.5,2,6,3,139,"2;1","UdcLDEpb",100,5,5,0,1,2
22,0.902104485408503,2,7,3,146,"2;1","UdcLDEpb",100,5,5,0,1,2
23,1.09026780794132,2,1,3,147,"2;1","UdcLDEpb",100,5,5,0,1,2
