"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.733529918085962,1,3,1,3,"2;1","UfPFkdsw",100,4,5,1,1,3
2,0.572243986685086,2,0,1,3,"2;1","UfPFkdsw",100,4,5,1,1,3
3,0.88906031757408,2,6,1,9,"2;1","UfPFkdsw",100,4,5,1,1,3
4,0.935922317154823,2,0,1,9,"2;1","UfPFkdsw",100,4,5,1,1,3
5,0.93707282666154,2,6,1,15,"2;1","UfPFkdsw",100,4,5,1,1,3
6,1.16318427685206,2,2,1,17,"2;1","UfPFkdsw",100,4,5,1,1,3
7,0.697627454907514,2,3,1,20,"2;1","UfPFkdsw",100,4,5,1,1,3
8,0.5,1,0,1,20,"2;1","UfPFkdsw",100,4,5,1,1,3
9,0.711013953205259,1,4,1,24,"2;1","UfPFkdsw",100,4,5,1,1,3
10,0.998568705411111,2,4,1,28,"2;1","UfPFkdsw",100,4,5,1,1,3
11,0.699069505847231,2,3,1,31,"2;1","UfPFkdsw",100,4,5,1,1,3
12,0.685598275036104,1,5,1,36,"2;1","UfPFkdsw",100,4,5,1,1,3
13,0.5,2,3,1,39,"2;1","UfPFkdsw",100,4,5,1,1,3
14,1.15655593966507,2,3,1,42,"2;1","UfPFkdsw",100,4,5,1,1,3
15,0.829157804999471,1,0,1,42,"2;1","UfPFkdsw",100,4,5,1,1,3
16,0.749858114540469,2,2,1,44,"2;1","UfPFkdsw",100,4,5,1,1,3
17,0.778559063906619,1,3,1,47,"2;1","UfPFkdsw",100,4,5,1,1,3
18,0.977222724709611,1,5,1,52,"2;1","UfPFkdsw",100,4,5,1,1,3
19,1.15273590585318,2,6,1,58,"2;1","UfPFkdsw",100,4,5,1,1,3
20,1.09043627510023,1,4,1,62,"2;1","UfPFkdsw",100,4,5,1,1,3
1,1.1871891043318,2,5,2,5,"2;1","UfPFkdsw",100,4,5,1,1,3
2,0.5,2,7,2,12,"2;1","UfPFkdsw",100,4,5,1,1,3
