"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.557093437730897,2,2,1,2,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
2,1.07560783820469,2,3,1,5,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
3,0.726604302075638,2,3,1,8,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
4,0.816846363428016,1,4,1,12,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
5,0.61946475646801,2,4,1,16,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
6,1.0407700043762,1,4,1,20,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
7,1.0883024544783,2,-1,1,19,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
8,0.586264377212363,1,1,1,20,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
9,1.11373365296235,2,3,1,23,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
10,0.5,2,6,1,29,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
11,0.5,2,3,1,32,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
12,0.551851026285404,1,4,1,36,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
13,0.5,2,4,1,40,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
14,0.826882383710467,2,1,1,41,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
15,0.5,2,-2,1,39,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
16,0.657206955013501,1,3,1,42,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
17,0.534527701507348,1,7,1,49,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
18,0.738029363016342,1,1,1,50,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
19,1.06102536793231,1,2,1,52,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
20,1.68426736277557,1,7,1,59,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
1,1.00886946380981,2,15,2,15,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
2,0.629007470788398,1,4,2,19,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
3,1.10755081611242,2,8,2,27,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
4,0.897006519123026,2,3,2,30,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
5,0.915304389269917,2,-5,2,25,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
6,0.848042395707969,2,-19,2,6,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
7,0.86599002444358,1,-2,2,4,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
8,1.04503654457396,1,2,2,6,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
9,0.533116490614709,1,0,2,6,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
10,0.856060137412536,1,1,2,7,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
11,1.05829615293197,1,6,2,13,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
12,0.76489666363863,2,7,2,20,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
13,0.856407066644659,1,0,2,20,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
14,1.21430922661619,1,1,2,21,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
15,1.12861848630858,1,2,2,23,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
16,0.883926792446007,1,4,2,27,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
17,0.911106871764516,1,1,2,28,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
18,0.603153392884229,1,2,2,30,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
19,0.800998633713135,2,11,2,41,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
20,0.5,2,-3,2,38,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
21,0.5,2,18,2,56,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
22,1.26787555184315,2,2,2,58,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
23,0.5,1,4,2,62,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
24,0.947014717401993,2,-12,2,50,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
25,0.560666986973546,1,-2,2,48,"1;2","V5vP7Y4z",0,3,NA,0,0.61,1
1,0.835778956548963,1,-4,3,-4,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
2,0.762874295596849,2,1,3,-3,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
3,0.81635552493382,2,1,3,-2,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
4,0.824579081166123,2,6,3,4,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
5,0.873805627168536,2,1,3,5,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
6,0.941733849058128,2,2,3,7,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
7,0.767850655129099,2,3,3,10,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
8,1.09771547875853,2,1,3,11,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
9,0.73647729880772,2,-1,3,10,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
10,0.844126630586127,1,21,3,31,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
11,0.9965937099379,2,4,3,35,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
12,0.766300623324292,1,4,3,39,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
13,0.811061201083534,1,-3,3,36,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
14,0.966315606960887,2,-2,3,34,"2;1","V5vP7Y4z",0,3,NA,0,0.61,1
