"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.803570022889835,2,1,1,1,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
2,1.07648626266901,2,2,1,3,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
3,0.978944628408969,2,8,1,11,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
4,0.668710031256782,2,4,1,15,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
5,0.811251563669376,1,3,1,18,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
6,0.806096533068077,2,6,1,24,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
7,0.91533512106622,2,8,1,32,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
8,0.968913718327262,1,5,1,37,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
9,0.727709431357568,2,3,1,40,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
10,0.5,2,4,1,44,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
11,1.1898922306563,2,3,1,47,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
12,1.00348828463847,2,4,1,51,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
13,0.5,2,4,1,55,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
14,0.90298254947044,2,4,1,59,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
15,0.913391596484393,1,4,1,63,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
16,0.807049224726904,2,0,1,63,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
17,0.5,1,1,1,64,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
18,0.596087777741829,1,2,1,66,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
19,0.5,1,4,1,70,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
20,1.08488031494159,1,3,1,73,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
1,0.760476030701565,2,4,2,4,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
2,1.14757062377906,1,4,2,8,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
3,0.699575585222816,2,3,2,11,"2;1","V8X3Mn2R",100,4,4,0,0.8,3
