"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
2,0.697571381033582,1,6,1,10,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
3,0.702867424235128,2,3,1,13,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
4,0.949047238513221,1,0,1,13,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
5,0.5,2,0,1,13,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
6,0.741390099234339,1,2,1,15,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
7,0.914749437340085,1,1,1,16,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
8,0.918196601836191,1,2,1,18,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
9,1.22842985104469,1,0,1,18,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
10,0.821832502098636,2,3,1,21,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
11,0.674825716161029,1,2,1,23,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
12,0.647113824345723,2,4,1,27,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
13,0.950131277001528,2,3,1,30,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
14,0.5,2,5,1,35,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
15,0.714471036243174,2,2,1,37,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
16,0.538204835383797,2,4,1,41,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
17,0.986957561621797,2,3,1,44,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
18,0.739369326733645,2,4,1,48,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
19,1.18300445989702,2,4,1,52,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
20,0.728026714689845,1,6,1,58,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
1,0.961015782900815,1,10,2,10,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
2,0.5,1,-1,2,9,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
3,0.688660187096509,2,3,2,12,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
4,0.751231735909118,2,6,2,18,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
5,0.692018308650791,1,2,2,20,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
6,0.958581186060207,2,4,2,24,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
7,0.516140128618891,1,-4,2,20,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
8,0.742578238494813,1,2,2,22,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
9,0.549595666802287,2,1,2,23,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
10,0.987547953604387,2,4,2,27,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
11,0.878530935396359,2,5,2,32,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
12,0.74171535004801,2,5,2,37,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
13,0.703032982020237,2,4,2,41,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
14,0.590208312271855,2,2,2,43,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
15,0.958874145991614,2,5,2,48,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
16,1.20343393135296,2,8,2,56,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
17,1.0726742062838,1,-16,2,40,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
18,0.5,2,5,2,45,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
19,0.700165338848222,2,4,2,49,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
20,0.5,1,-2,2,47,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
21,1.18713376513268,2,1,2,48,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
22,0.809185573356084,2,5,2,53,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
23,0.5,1,6,2,59,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
24,0.77957267498063,2,8,2,67,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
25,0.899200410026964,1,-6,2,61,"2;1","VAXuRLJ3",0,2,NA,0,0.92,2
1,1.17237230705006,2,15,3,15,"1;2","VAXuRLJ3",0,2,NA,0,0.92,2
2,0.773374944926794,2,11,3,26,"1;2","VAXuRLJ3",0,2,NA,0,0.92,2
3,1.05239933336529,1,4,3,30,"1;2","VAXuRLJ3",0,2,NA,0,0.92,2
4,0.571731058047501,2,10,3,40,"1;2","VAXuRLJ3",0,2,NA,0,0.92,2
