"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.964531944690143,1,6,1,6,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
2,0.658366137862631,2,4,1,10,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
3,0.925007983993222,1,8,1,18,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
4,0.847325131981074,1,3,1,21,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
5,0.889635840191672,1,6,1,27,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
6,1.10213766405257,1,4,1,31,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
7,0.566619010359925,1,5,1,36,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
8,0.981740956930302,1,3,1,39,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
9,0.627074124122445,2,3,1,42,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
10,0.620278199192261,1,5,1,47,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
11,0.605119878746467,2,0,1,47,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
12,0.696621074084828,1,5,1,52,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
13,0.83047904607731,2,4,1,56,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
14,0.790896871734794,1,5,1,61,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
15,0.908135902470525,2,4,1,65,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
16,0.862319015383128,1,4,1,69,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
17,0.5,1,5,1,74,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
18,0.979588788711807,1,3,1,77,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
19,0.946172462698415,1,1,1,78,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
20,0.97477284226883,2,3,1,81,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
1,1.21225839813784,2,-3,2,-3,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
2,1.14028996367747,2,-6,2,-9,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
3,1.01534857986677,2,1,2,-8,"1;2","VB1Uc8qQ",0,3,NA,0,0.82,1
