"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.995770259662557,2,1,1,1,"2;1","VchQsaWd",0,1,NA,0,0.54,2
2,1.09014861415228,2,0,1,1,"2;1","VchQsaWd",0,1,NA,0,0.54,2
3,0.912731701844573,2,4,1,5,"2;1","VchQsaWd",0,1,NA,0,0.54,2
4,1.05136773792138,1,3,1,8,"2;1","VchQsaWd",0,1,NA,0,0.54,2
5,0.595999404392207,1,3,1,11,"2;1","VchQsaWd",0,1,NA,0,0.54,2
6,0.791153440824973,2,4,1,15,"2;1","VchQsaWd",0,1,NA,0,0.54,2
7,1.26780950719222,1,4,1,19,"2;1","VchQsaWd",0,1,NA,0,0.54,2
8,1.11313201639957,1,8,1,27,"2;1","VchQsaWd",0,1,NA,0,0.54,2
9,0.74118650668881,1,4,1,31,"2;1","VchQsaWd",0,1,NA,0,0.54,2
10,1.06339387676481,1,4,1,35,"2;1","VchQsaWd",0,1,NA,0,0.54,2
11,0.826272452979546,2,3,1,38,"2;1","VchQsaWd",0,1,NA,0,0.54,2
12,0.5,2,5,1,43,"2;1","VchQsaWd",0,1,NA,0,0.54,2
13,0.807307956908386,1,0,1,43,"2;1","VchQsaWd",0,1,NA,0,0.54,2
14,0.726099762162698,2,2,1,45,"2;1","VchQsaWd",0,1,NA,0,0.54,2
15,0.753690242930369,2,3,1,48,"2;1","VchQsaWd",0,1,NA,0,0.54,2
16,0.716322833134489,1,5,1,53,"2;1","VchQsaWd",0,1,NA,0,0.54,2
17,0.838507204097879,1,3,1,56,"2;1","VchQsaWd",0,1,NA,0,0.54,2
18,0.707660824892095,1,2,1,58,"2;1","VchQsaWd",0,1,NA,0,0.54,2
19,0.872340801926792,2,3,1,61,"2;1","VchQsaWd",0,1,NA,0,0.54,2
20,0.651311138608691,2,5,1,66,"2;1","VchQsaWd",0,1,NA,0,0.54,2
1,0.937756356861281,1,-1,2,-1,"2;1","VchQsaWd",0,1,NA,0,0.54,2
2,0.562972894776172,2,2,2,1,"2;1","VchQsaWd",0,1,NA,0,0.54,2
3,0.5,2,5,2,6,"2;1","VchQsaWd",0,1,NA,0,0.54,2
4,0.986130264075195,2,7,2,13,"2;1","VchQsaWd",0,1,NA,0,0.54,2
5,0.577166650428895,2,2,2,15,"2;1","VchQsaWd",0,1,NA,0,0.54,2
6,0.855650924904176,1,4,2,19,"2;1","VchQsaWd",0,1,NA,0,0.54,2
7,0.90821006479204,2,6,2,25,"2;1","VchQsaWd",0,1,NA,0,0.54,2
8,0.748993332524225,1,5,2,30,"2;1","VchQsaWd",0,1,NA,0,0.54,2
9,1.22494556150418,2,5,2,35,"2;1","VchQsaWd",0,1,NA,0,0.54,2
10,0.516114188847817,1,8,2,43,"2;1","VchQsaWd",0,1,NA,0,0.54,2
11,1.14456835911809,1,-6,2,37,"2;1","VchQsaWd",0,1,NA,0,0.54,2
12,0.555633554874685,2,3,2,40,"2;1","VchQsaWd",0,1,NA,0,0.54,2
13,0.5,1,-6,2,34,"2;1","VchQsaWd",0,1,NA,0,0.54,2
14,1.19819073291765,1,4,2,38,"2;1","VchQsaWd",0,1,NA,0,0.54,2
15,0.850437518666303,2,6,2,44,"2;1","VchQsaWd",0,1,NA,0,0.54,2
16,1.14349841566681,2,1,2,45,"2;1","VchQsaWd",0,1,NA,0,0.54,2
17,0.643573629159288,2,5,2,50,"2;1","VchQsaWd",0,1,NA,0,0.54,2
18,0.877113112794104,2,8,2,58,"2;1","VchQsaWd",0,1,NA,0,0.54,2
19,0.83098911413168,2,1,2,59,"2;1","VchQsaWd",0,1,NA,0,0.54,2
20,0.867212556846122,2,8,2,67,"2;1","VchQsaWd",0,1,NA,0,0.54,2
21,0.868570894657798,2,7,2,74,"2;1","VchQsaWd",0,1,NA,0,0.54,2
22,1.10462525615675,2,7,2,81,"2;1","VchQsaWd",0,1,NA,0,0.54,2
23,0.5,1,5,2,86,"2;1","VchQsaWd",0,1,NA,0,0.54,2
24,1.08895694968465,2,2,2,88,"2;1","VchQsaWd",0,1,NA,0,0.54,2
25,0.940245339630071,2,4,2,92,"2;1","VchQsaWd",0,1,NA,0,0.54,2
1,0.994397954867941,2,1,3,1,"2;1","VchQsaWd",0,1,NA,0,0.54,2
2,0.954719903004608,2,3,3,4,"2;1","VchQsaWd",0,1,NA,0,0.54,2
3,1.1228110840287,2,6,3,10,"2;1","VchQsaWd",0,1,NA,0,0.54,2
4,0.858075473141111,2,8,3,18,"2;1","VchQsaWd",0,1,NA,0,0.54,2
5,0.5,2,7,3,25,"2;1","VchQsaWd",0,1,NA,0,0.54,2
6,0.708266629693576,2,4,3,29,"2;1","VchQsaWd",0,1,NA,0,0.54,2
7,1.35360455702758,1,-2,3,27,"2;1","VchQsaWd",0,1,NA,0,0.54,2
8,0.5,2,4,3,31,"2;1","VchQsaWd",0,1,NA,0,0.54,2
9,0.769143215264654,2,10,3,41,"2;1","VchQsaWd",0,1,NA,0,0.54,2
10,1.00468974235221,1,-14,3,27,"2;1","VchQsaWd",0,1,NA,0,0.54,2
11,0.731895146656584,2,2,3,29,"2;1","VchQsaWd",0,1,NA,0,0.54,2
12,0.5,1,0,3,29,"2;1","VchQsaWd",0,1,NA,0,0.54,2
13,0.995304890540557,2,5,3,34,"2;1","VchQsaWd",0,1,NA,0,0.54,2
14,1.25930010859353,2,-3,3,31,"2;1","VchQsaWd",0,1,NA,0,0.54,2
15,1.0775035384962,2,4,3,35,"2;1","VchQsaWd",0,1,NA,0,0.54,2
16,0.560456722048195,2,3,3,38,"2;1","VchQsaWd",0,1,NA,0,0.54,2
17,0.863324677914299,1,17,3,55,"2;1","VchQsaWd",0,1,NA,0,0.54,2
18,0.5,2,3,3,58,"2;1","VchQsaWd",0,1,NA,0,0.54,2
19,1.16436785531879,2,0,3,58,"2;1","VchQsaWd",0,1,NA,0,0.54,2
20,0.547592276914114,2,3,3,61,"2;1","VchQsaWd",0,1,NA,0,0.54,2
21,0.90161857346715,1,-2,3,59,"2;1","VchQsaWd",0,1,NA,0,0.54,2
22,0.622273666371131,2,0,3,59,"2;1","VchQsaWd",0,1,NA,0,0.54,2
23,1.0448151836067,1,-2,3,57,"2;1","VchQsaWd",0,1,NA,0,0.54,2
24,1.01278939558249,2,7,3,64,"2;1","VchQsaWd",0,1,NA,0,0.54,2
25,0.543474325999775,2,0,3,64,"2;1","VchQsaWd",0,1,NA,0,0.54,2
1,1.04603459705928,2,2,4,2,"1;2","VchQsaWd",0,1,NA,0,0.54,2
2,0.810421557457806,2,8,4,10,"1;2","VchQsaWd",0,1,NA,0,0.54,2
3,0.578233200017126,2,2,4,12,"1;2","VchQsaWd",0,1,NA,0,0.54,2
4,1.07137048675969,1,1,4,13,"1;2","VchQsaWd",0,1,NA,0,0.54,2
5,0.652244088275761,2,-34,4,-21,"1;2","VchQsaWd",0,1,NA,0,0.54,2
6,0.708473627865212,1,1,4,-20,"1;2","VchQsaWd",0,1,NA,0,0.54,2
7,0.592375374293948,2,9,4,-11,"1;2","VchQsaWd",0,1,NA,0,0.54,2
8,0.641501681426056,1,5,4,-6,"1;2","VchQsaWd",0,1,NA,0,0.54,2
9,1.01580721403269,2,7,4,1,"1;2","VchQsaWd",0,1,NA,0,0.54,2
10,0.5,1,6,4,7,"1;2","VchQsaWd",0,1,NA,0,0.54,2
11,0.903857684347029,2,2,4,9,"1;2","VchQsaWd",0,1,NA,0,0.54,2
12,0.731654468549838,1,3,4,12,"1;2","VchQsaWd",0,1,NA,0,0.54,2
13,1.01291311357127,2,10,4,22,"1;2","VchQsaWd",0,1,NA,0,0.54,2
14,0.604890669791543,1,1,4,23,"1;2","VchQsaWd",0,1,NA,0,0.54,2
15,1.04388573441716,2,-3,4,20,"1;2","VchQsaWd",0,1,NA,0,0.54,2
16,0.982233655949954,2,19,4,39,"1;2","VchQsaWd",0,1,NA,0,0.54,2
17,0.76909941247947,2,5,4,44,"1;2","VchQsaWd",0,1,NA,0,0.54,2
18,1.0299578804288,2,1,4,45,"1;2","VchQsaWd",0,1,NA,0,0.54,2
19,0.909923153595633,1,4,4,49,"1;2","VchQsaWd",0,1,NA,0,0.54,2
20,1.19980320623727,1,6,4,55,"1;2","VchQsaWd",0,1,NA,0,0.54,2
21,0.730032766333128,1,2,4,57,"1;2","VchQsaWd",0,1,NA,0,0.54,2
22,1.27871715193904,2,-2,4,55,"1;2","VchQsaWd",0,1,NA,0,0.54,2
23,0.790816199037753,2,-8,4,47,"1;2","VchQsaWd",0,1,NA,0,0.54,2
24,0.963140366737638,2,15,4,62,"1;2","VchQsaWd",0,1,NA,0,0.54,2
25,0.716194172298436,2,9,4,71,"1;2","VchQsaWd",0,1,NA,0,0.54,2
1,0.5,2,5,5,5,"1;2","VchQsaWd",0,1,NA,0,0.54,2
2,0.808266975523589,2,12,5,17,"1;2","VchQsaWd",0,1,NA,0,0.54,2
3,1.19927243773617,2,6,5,23,"1;2","VchQsaWd",0,1,NA,0,0.54,2
4,0.713204513844443,1,5,5,28,"1;2","VchQsaWd",0,1,NA,0,0.54,2
