"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.617797843040393,1,2,1,2,"2;1","WBiBi9yE",100,4,5,0,1,3
2,0.790270600562314,1,4,1,6,"2;1","WBiBi9yE",100,4,5,0,1,3
3,0.728411618322416,2,4,1,10,"2;1","WBiBi9yE",100,4,5,0,1,3
4,0.999580780714031,1,6,1,16,"2;1","WBiBi9yE",100,4,5,0,1,3
5,1.15925859081648,1,0,1,16,"2;1","WBiBi9yE",100,4,5,0,1,3
6,1.11517254744947,1,0,1,16,"2;1","WBiBi9yE",100,4,5,0,1,3
7,1.11472555925107,1,4,1,20,"2;1","WBiBi9yE",100,4,5,0,1,3
8,1.12400508977517,2,3,1,23,"2;1","WBiBi9yE",100,4,5,0,1,3
9,0.569794564820689,1,2,1,25,"2;1","WBiBi9yE",100,4,5,0,1,3
10,1.06719515526465,2,1,1,26,"2;1","WBiBi9yE",100,4,5,0,1,3
11,0.90326250217161,2,4,1,30,"2;1","WBiBi9yE",100,4,5,0,1,3
12,0.846456695141873,2,5,1,35,"2;1","WBiBi9yE",100,4,5,0,1,3
13,0.760834898292379,2,5,1,40,"2;1","WBiBi9yE",100,4,5,0,1,3
14,0.567333019773719,1,0,1,40,"2;1","WBiBi9yE",100,4,5,0,1,3
15,0.795260839974687,1,4,1,44,"2;1","WBiBi9yE",100,4,5,0,1,3
16,1.42892252903696,2,4,1,48,"2;1","WBiBi9yE",100,4,5,0,1,3
17,0.607503864962153,2,1,1,49,"2;1","WBiBi9yE",100,4,5,0,1,3
18,0.742926402978882,1,3,1,52,"2;1","WBiBi9yE",100,4,5,0,1,3
19,0.819577029455729,2,-3,1,49,"2;1","WBiBi9yE",100,4,5,0,1,3
20,0.694693985941356,2,7,1,56,"2;1","WBiBi9yE",100,4,5,0,1,3
1,0.894898041259286,2,12,2,12,"1;2","WBiBi9yE",100,4,5,0,1,3
2,1.13980560360812,1,4,2,16,"1;2","WBiBi9yE",100,4,5,0,1,3
3,0.5,2,-16,2,0,"1;2","WBiBi9yE",100,4,5,0,1,3
4,1.2412278516836,2,10,2,10,"1;2","WBiBi9yE",100,4,5,0,1,3
5,1.078244293042,2,4,2,14,"1;2","WBiBi9yE",100,4,5,0,1,3
6,0.710732574997733,2,24,2,38,"1;2","WBiBi9yE",100,4,5,0,1,3
7,0.504126309504287,2,13,2,51,"1;2","WBiBi9yE",100,4,5,0,1,3
8,0.778069237634659,2,9,2,60,"1;2","WBiBi9yE",100,4,5,0,1,3
9,0.725843642843821,2,14,2,74,"1;2","WBiBi9yE",100,4,5,0,1,3
10,0.924332349762983,2,12,2,86,"1;2","WBiBi9yE",100,4,5,0,1,3
11,0.953516280938389,2,14,2,100,"1;2","WBiBi9yE",100,4,5,0,1,3
12,1.15421059683481,1,0,2,100,"1;2","WBiBi9yE",100,4,5,0,1,3
13,0.634755335056947,2,8,2,108,"1;2","WBiBi9yE",100,4,5,0,1,3
14,0.761558713843848,1,2,2,110,"1;2","WBiBi9yE",100,4,5,0,1,3
15,0.5,2,1,2,111,"1;2","WBiBi9yE",100,4,5,0,1,3
16,0.5,1,7,2,118,"1;2","WBiBi9yE",100,4,5,0,1,3
17,0.898553986413887,2,-4,2,114,"1;2","WBiBi9yE",100,4,5,0,1,3
18,1.01454114947743,2,16,2,130,"1;2","WBiBi9yE",100,4,5,0,1,3
19,0.63035756304428,2,12,2,142,"1;2","WBiBi9yE",100,4,5,0,1,3
20,0.708705055863531,1,3,2,145,"1;2","WBiBi9yE",100,4,5,0,1,3
21,1.30015199797308,1,5,2,150,"1;2","WBiBi9yE",100,4,5,0,1,3
22,0.910997711381124,1,2,2,152,"1;2","WBiBi9yE",100,4,5,0,1,3
23,0.612596008639946,1,1,2,153,"1;2","WBiBi9yE",100,4,5,0,1,3
24,0.966667304630083,1,-3,2,150,"1;2","WBiBi9yE",100,4,5,0,1,3
25,0.69929676877359,2,-4,2,146,"1;2","WBiBi9yE",100,4,5,0,1,3
1,0.5,1,7,3,7,"2;1","WBiBi9yE",100,4,5,0,1,3
2,1.25973343427354,2,8,3,15,"2;1","WBiBi9yE",100,4,5,0,1,3
3,0.510969908224105,1,24,3,39,"2;1","WBiBi9yE",100,4,5,0,1,3
4,1.10825033275587,1,-11,3,28,"2;1","WBiBi9yE",100,4,5,0,1,3
5,0.5,1,-24,3,4,"2;1","WBiBi9yE",100,4,5,0,1,3
6,1.37445042094608,2,6,3,10,"2;1","WBiBi9yE",100,4,5,0,1,3
7,0.5,1,-16,3,-6,"2;1","WBiBi9yE",100,4,5,0,1,3
8,0.508125212630718,1,0,3,-6,"2;1","WBiBi9yE",100,4,5,0,1,3
9,0.760874170289253,1,-1,3,-7,"2;1","WBiBi9yE",100,4,5,0,1,3
10,0.708031452731255,2,4,3,-3,"2;1","WBiBi9yE",100,4,5,0,1,3
11,0.658176694226852,1,6,3,3,"2;1","WBiBi9yE",100,4,5,0,1,3
12,0.801761856806336,2,3,3,6,"2;1","WBiBi9yE",100,4,5,0,1,3
13,0.651210559442727,1,-2,3,4,"2;1","WBiBi9yE",100,4,5,0,1,3
14,1.10926988398049,1,13,3,17,"2;1","WBiBi9yE",100,4,5,0,1,3
15,1.55938440555917,2,8,3,25,"2;1","WBiBi9yE",100,4,5,0,1,3
16,0.788294042129102,2,1,3,26,"2;1","WBiBi9yE",100,4,5,0,1,3
17,0.5,1,9,3,35,"2;1","WBiBi9yE",100,4,5,0,1,3
18,0.563131299257344,2,0,3,35,"2;1","WBiBi9yE",100,4,5,0,1,3
