"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
2,0.729759503711426,2,4,1,8,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
3,0.5,2,5,1,13,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
4,0.849404649453159,2,1,1,14,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
5,0.822241056601543,2,2,1,16,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
6,0.68448591358979,2,4,1,20,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
7,0.970709455303914,2,3,1,23,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
8,0.754259060705956,2,4,1,27,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
9,0.643113637922661,2,4,1,31,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
10,1.04801184994573,2,6,1,37,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
11,0.841717376324669,2,-1,1,36,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
12,0.590465345233581,2,6,1,42,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
13,1.01010121882651,2,1,1,43,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
14,1.08487482930126,2,4,1,47,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
15,0.5,2,4,1,51,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
16,0.543398821484223,2,8,1,59,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
17,0.995610449923101,1,5,1,64,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
18,0.922801249266605,2,4,1,68,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
19,0.739455843259156,2,1,1,69,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
20,0.819217915930034,2,4,1,73,"1;2","WlsRU9Fn",0,2,NA,1,0.73,1
1,0.905972821211446,2,1,2,1,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
2,0.604941561674238,1,7,2,8,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
3,0.832537073396188,1,2,2,10,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
4,0.5,2,5,2,15,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
5,0.611678703699484,1,0,2,15,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
6,0.864712309708369,2,6,2,21,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
7,0.729713232962925,2,5,2,26,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
8,0.874725419587282,2,6,2,32,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
9,1.03912458055729,2,6,2,38,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
10,0.974464439362482,2,6,2,44,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
11,0.687929921830769,2,2,2,46,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
12,1.06710686713782,2,3,2,49,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
13,0.612396701110363,2,5,2,54,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
14,0.933157445210033,2,9,2,63,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
15,1.05919496490511,1,10,2,73,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
16,0.744051599148506,2,1,2,74,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
17,0.630072994956815,2,1,2,75,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
18,0.580105945612236,1,3,2,78,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
19,0.529470142639541,2,8,2,86,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
20,0.887943304308039,2,7,2,93,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
21,0.908021539732546,2,6,2,99,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
22,0.537795979224731,2,6,2,105,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
23,0.996435963410746,2,2,2,107,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
24,1.28273394214472,2,4,2,111,"2;1","WlsRU9Fn",0,2,NA,1,0.73,1
