"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02158619664902,2,1,1,1,"1;2","WmMHnlpJ",100,6,5,0,1,2
2,0.691919400345554,1,4,1,5,"1;2","WmMHnlpJ",100,6,5,0,1,2
3,0.779771738977267,1,1,1,6,"1;2","WmMHnlpJ",100,6,5,0,1,2
4,0.79305017986596,2,3,1,9,"1;2","WmMHnlpJ",100,6,5,0,1,2
5,0.5,1,6,1,15,"1;2","WmMHnlpJ",100,6,5,0,1,2
6,0.5,2,1,1,16,"1;2","WmMHnlpJ",100,6,5,0,1,2
7,0.891464265216658,1,2,1,18,"1;2","WmMHnlpJ",100,6,5,0,1,2
8,0.99828453583774,1,1,1,19,"1;2","WmMHnlpJ",100,6,5,0,1,2
9,0.863128489363365,2,6,1,25,"1;2","WmMHnlpJ",100,6,5,0,1,2
10,1.09017200452503,1,3,1,28,"1;2","WmMHnlpJ",100,6,5,0,1,2
11,0.618667569200907,2,1,1,29,"1;2","WmMHnlpJ",100,6,5,0,1,2
12,0.723766850852575,2,2,1,31,"1;2","WmMHnlpJ",100,6,5,0,1,2
13,0.902501430645582,1,5,1,36,"1;2","WmMHnlpJ",100,6,5,0,1,2
14,1.04461980501728,2,1,1,37,"1;2","WmMHnlpJ",100,6,5,0,1,2
15,0.82699774221342,1,4,1,41,"1;2","WmMHnlpJ",100,6,5,0,1,2
16,0.78538916885824,1,3,1,44,"1;2","WmMHnlpJ",100,6,5,0,1,2
17,1.18116680615318,2,2,1,46,"1;2","WmMHnlpJ",100,6,5,0,1,2
18,0.752314989539418,2,0,1,46,"1;2","WmMHnlpJ",100,6,5,0,1,2
19,0.5,2,2,1,48,"1;2","WmMHnlpJ",100,6,5,0,1,2
20,0.639332908542732,2,1,1,49,"1;2","WmMHnlpJ",100,6,5,0,1,2
1,0.872915320665435,1,3,2,3,"1;2","WmMHnlpJ",100,6,5,0,1,2
