"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.787552107680357,1,2,1,2,"2;1","Wqy24doN",0,2,NA,0,0.63,2
2,0.663235456132589,1,0,1,2,"2;1","Wqy24doN",0,2,NA,0,0.63,2
3,0.856830253328088,1,5,1,7,"2;1","Wqy24doN",0,2,NA,0,0.63,2
4,0.706309356434138,1,1,1,8,"2;1","Wqy24doN",0,2,NA,0,0.63,2
5,1.45041549901245,1,5,1,13,"2;1","Wqy24doN",0,2,NA,0,0.63,2
6,0.664108343474143,2,3,1,16,"2;1","Wqy24doN",0,2,NA,0,0.63,2
7,0.680771860630507,1,0,1,16,"2;1","Wqy24doN",0,2,NA,0,0.63,2
8,0.638819458541577,1,6,1,22,"2;1","Wqy24doN",0,2,NA,0,0.63,2
9,0.827542273855838,1,2,1,24,"2;1","Wqy24doN",0,2,NA,0,0.63,2
10,1.07318840882668,1,5,1,29,"2;1","Wqy24doN",0,2,NA,0,0.63,2
11,0.903778110879977,2,2,1,31,"2;1","Wqy24doN",0,2,NA,0,0.63,2
12,1.0191606667892,1,1,1,32,"2;1","Wqy24doN",0,2,NA,0,0.63,2
13,0.5,1,1,1,33,"2;1","Wqy24doN",0,2,NA,0,0.63,2
14,0.691462480501558,1,4,1,37,"2;1","Wqy24doN",0,2,NA,0,0.63,2
15,0.594639871280244,1,4,1,41,"2;1","Wqy24doN",0,2,NA,0,0.63,2
16,0.70697305959903,1,3,1,44,"2;1","Wqy24doN",0,2,NA,0,0.63,2
17,0.904111298725271,2,4,1,48,"2;1","Wqy24doN",0,2,NA,0,0.63,2
18,0.78881495659535,2,5,1,53,"2;1","Wqy24doN",0,2,NA,0,0.63,2
19,1.07737109429536,2,4,1,57,"2;1","Wqy24doN",0,2,NA,0,0.63,2
20,0.5,2,7,1,64,"2;1","Wqy24doN",0,2,NA,0,0.63,2
1,0.868409029469818,2,-14,2,-14,"1;2","Wqy24doN",0,2,NA,0,0.63,2
2,0.72940071588,1,8,2,-6,"1;2","Wqy24doN",0,2,NA,0,0.63,2
3,0.763039397365014,1,1,2,-5,"1;2","Wqy24doN",0,2,NA,0,0.63,2
4,0.89338875801297,1,5,2,0,"1;2","Wqy24doN",0,2,NA,0,0.63,2
5,0.988594477583695,1,2,2,2,"1;2","Wqy24doN",0,2,NA,0,0.63,2
6,0.692774598169079,2,21,2,23,"1;2","Wqy24doN",0,2,NA,0,0.63,2
7,1.08955877048977,2,11,2,34,"1;2","Wqy24doN",0,2,NA,0,0.63,2
8,0.84718261973527,2,1,2,35,"1;2","Wqy24doN",0,2,NA,0,0.63,2
9,0.5,2,-3,2,32,"1;2","Wqy24doN",0,2,NA,0,0.63,2
