"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.962781403726254,2,2,1,2,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,0.5,2,11,1,13,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,1.02846293107123,2,6,1,19,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,0.578254589354003,2,3,1,22,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,0.616229706120608,2,3,1,25,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,0.5,2,5,1,30,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,0.816144366566998,2,3,1,33,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,0.775756852365521,2,3,1,36,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,1.18161500020498,2,5,1,41,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,1.14368638393479,2,1,1,42,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,0.865357781155568,2,3,1,45,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,1.08293884972273,2,5,1,50,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,1.0006930793778,2,3,1,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.518950799285793,2,0,1,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,0.5,2,0,1,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,0.749863977889403,1,3,1,56,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,0.791087843257332,2,3,1,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.5,2,0,1,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.780571497161678,1,0,1,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,1.08947009730584,2,1,1,60,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,0.625707410445604,1,-3,2,-3,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,1.33583398696821,2,-2,2,-5,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,0.682998154877925,1,-1,2,-6,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,0.791593174637069,2,3,2,-3,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,0.632260625916463,1,30,2,27,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,0.721298771303594,1,4,2,31,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,1.32475197642746,1,3,2,34,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,1.39719266126801,1,15,2,49,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,1.05552309320559,2,5,2,54,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,0.5,2,1,2,55,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,0.797546310454722,2,3,2,58,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,0.5,1,26,2,84,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,0.831710005167779,1,14,2,98,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.729870931116383,1,2,2,100,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,1.0705227505618,1,-2,2,98,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,0.5,1,23,2,121,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,1.09050156728861,1,12,2,133,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.600272026162874,1,9,2,142,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.726090494230409,1,15,2,157,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,1.25566991796834,1,9,2,166,"2;1","Wrjlveel",0,1,NA,0,1.12,3
21,0.869363737987421,1,-5,2,161,"2;1","Wrjlveel",0,1,NA,0,1.12,3
22,0.932205623868355,1,13,2,174,"2;1","Wrjlveel",0,1,NA,0,1.12,3
23,1.06850285032849,2,3,2,177,"2;1","Wrjlveel",0,1,NA,0,1.12,3
24,0.862268497974038,1,12,2,189,"2;1","Wrjlveel",0,1,NA,0,1.12,3
25,0.53450961767633,1,14,2,203,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,0.70997555227976,1,-19,3,-19,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,1.12234942376348,2,5,3,-14,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,0.968417980869746,2,3,3,-11,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,0.842080044359785,1,28,3,17,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,0.763712360565281,1,21,3,38,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,0.990791738273981,1,1,3,39,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,0.695479130593934,1,7,3,46,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,0.875310328545961,1,-11,3,35,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,1.08594089454004,1,18,3,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,1.2135426032129,1,6,3,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,1.03168426962058,1,-9,3,50,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,0.842545466462505,1,6,3,56,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,0.974546961552531,1,14,3,70,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.760035622899616,1,16,3,86,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,1.166138974714,1,23,3,109,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,0.856576830070516,1,8,3,117,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,1.06350720424672,1,4,3,121,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.872698332246152,1,19,3,140,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.70899092190724,1,-4,3,136,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,0.644109919927985,2,5,3,141,"2;1","Wrjlveel",0,1,NA,0,1.12,3
21,0.894802603374202,2,4,3,145,"2;1","Wrjlveel",0,1,NA,0,1.12,3
22,0.746339601784672,2,10,3,155,"2;1","Wrjlveel",0,1,NA,0,1.12,3
23,0.760522114793813,1,19,3,174,"2;1","Wrjlveel",0,1,NA,0,1.12,3
24,0.962191979968167,2,6,3,180,"2;1","Wrjlveel",0,1,NA,0,1.12,3
25,1.17612732510943,2,6,3,186,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,0.5,1,13,4,13,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,0.593606770159251,1,3,4,16,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,0.731875068309646,1,17,4,33,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,1.19292264549283,2,5,4,38,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,0.707861789001726,1,0,4,38,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,0.734472086624389,1,-12,4,26,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,0.709024487029189,2,4,4,30,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,0.532111616124923,2,6,4,36,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,1.26979458308451,2,1,4,37,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,0.774547149845117,2,4,4,41,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,0.569666174774754,2,4,4,45,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,0.675203499064339,2,5,4,50,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,1.3892261826972,2,6,4,56,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.788106439726416,2,2,4,58,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,0.5,2,2,4,60,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,1.40274787143796,2,3,4,63,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,0.813739457472704,1,17,4,80,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.777657169495302,2,3,4,83,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.821426035842269,2,6,4,89,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,0.652579625179451,1,8,4,97,"2;1","Wrjlveel",0,1,NA,0,1.12,3
21,0.506484152861201,2,4,4,101,"2;1","Wrjlveel",0,1,NA,0,1.12,3
22,1.03556604884314,1,4,4,105,"2;1","Wrjlveel",0,1,NA,0,1.12,3
23,0.5,1,11,4,116,"2;1","Wrjlveel",0,1,NA,0,1.12,3
24,0.805295296976155,2,6,4,122,"2;1","Wrjlveel",0,1,NA,0,1.12,3
25,0.546531399750305,2,5,4,127,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,0.921626967178327,1,-11,5,-11,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,1.07700188735321,1,10,5,-1,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,0.892284429657755,1,-17,5,-18,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,0.62482479634662,2,3,5,-15,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,0.853208710079165,2,2,5,-13,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,0.548337084664001,2,2,5,-11,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,0.5,2,3,5,-8,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,1.27345999694357,2,5,5,-3,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,1.06673470234114,2,3,5,0,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,0.534347344767682,2,-2,5,-2,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,0.681121557041418,2,6,5,4,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,0.942039286176302,2,3,5,7,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,1.05834972535845,1,18,5,25,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.557393182670991,2,2,5,27,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,1.00542116388468,2,7,5,34,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,0.643185036318717,1,14,5,48,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,0.843498379265893,1,5,5,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.519052176673086,1,5,5,58,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.67832833333808,1,1,5,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,0.571358414876864,1,3,5,62,"2;1","Wrjlveel",0,1,NA,0,1.12,3
21,0.615200222615255,1,5,5,67,"2;1","Wrjlveel",0,1,NA,0,1.12,3
22,0.944066751014276,1,0,5,67,"2;1","Wrjlveel",0,1,NA,0,1.12,3
23,1.06247161669108,2,2,5,69,"2;1","Wrjlveel",0,1,NA,0,1.12,3
24,0.566530620095763,2,-1,5,68,"2;1","Wrjlveel",0,1,NA,0,1.12,3
25,1.01115091196691,1,19,5,87,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,0.903799559433095,1,11,6,11,"2;1","Wrjlveel",0,1,NA,0,1.12,3
2,0.869636718133945,1,3,6,14,"2;1","Wrjlveel",0,1,NA,0,1.12,3
3,1.11858507350496,1,17,6,31,"2;1","Wrjlveel",0,1,NA,0,1.12,3
4,0.993162318036287,1,19,6,50,"2;1","Wrjlveel",0,1,NA,0,1.12,3
5,1.23032158562972,1,9,6,59,"2;1","Wrjlveel",0,1,NA,0,1.12,3
6,1.14689513573991,1,-11,6,48,"2;1","Wrjlveel",0,1,NA,0,1.12,3
7,0.802029635852973,2,1,6,49,"2;1","Wrjlveel",0,1,NA,0,1.12,3
8,0.93550638350062,2,5,6,54,"2;1","Wrjlveel",0,1,NA,0,1.12,3
9,0.869218923316962,1,14,6,68,"2;1","Wrjlveel",0,1,NA,0,1.12,3
10,0.950484730725381,1,-12,6,56,"2;1","Wrjlveel",0,1,NA,0,1.12,3
11,0.846586015791396,1,-8,6,48,"2;1","Wrjlveel",0,1,NA,0,1.12,3
12,0.530413027500452,2,1,6,49,"2;1","Wrjlveel",0,1,NA,0,1.12,3
13,1.02474336436739,2,4,6,53,"2;1","Wrjlveel",0,1,NA,0,1.12,3
14,0.738386660186794,2,-2,6,51,"2;1","Wrjlveel",0,1,NA,0,1.12,3
15,0.571165673328948,2,5,6,56,"2;1","Wrjlveel",0,1,NA,0,1.12,3
16,1.19970821757371,2,5,6,61,"2;1","Wrjlveel",0,1,NA,0,1.12,3
17,0.838627059636002,2,3,6,64,"2;1","Wrjlveel",0,1,NA,0,1.12,3
18,0.869684329635161,2,3,6,67,"2;1","Wrjlveel",0,1,NA,0,1.12,3
19,0.869734478901296,2,5,6,72,"2;1","Wrjlveel",0,1,NA,0,1.12,3
20,0.98813105853261,1,-1,6,71,"2;1","Wrjlveel",0,1,NA,0,1.12,3
21,0.5,2,5,6,76,"2;1","Wrjlveel",0,1,NA,0,1.12,3
22,0.685250938944622,2,3,6,79,"2;1","Wrjlveel",0,1,NA,0,1.12,3
23,0.731603145954813,2,3,6,82,"2;1","Wrjlveel",0,1,NA,0,1.12,3
24,1.27788643486473,2,8,6,90,"2;1","Wrjlveel",0,1,NA,0,1.12,3
25,0.546307005648197,2,3,6,93,"2;1","Wrjlveel",0,1,NA,0,1.12,3
1,1.06529336733357,2,-17,7,-17,"1;2","Wrjlveel",0,1,NA,0,1.12,3
2,0.888063418979204,1,-2,7,-19,"1;2","Wrjlveel",0,1,NA,0,1.12,3
3,0.829909078915005,1,4,7,-15,"1;2","Wrjlveel",0,1,NA,0,1.12,3
