"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.776934913282195,1,5,1,5,"2;1","X3iyNHHh",100,4,4,0,0.8,1
2,0.77928015204675,2,3,1,8,"2;1","X3iyNHHh",100,4,4,0,0.8,1
3,0.894267069527525,2,2,1,10,"2;1","X3iyNHHh",100,4,4,0,0.8,1
4,1.11219318176236,1,2,1,12,"2;1","X3iyNHHh",100,4,4,0,0.8,1
5,0.891027062989421,1,4,1,16,"2;1","X3iyNHHh",100,4,4,0,0.8,1
6,1.3055292450891,2,1,1,17,"2;1","X3iyNHHh",100,4,4,0,0.8,1
7,0.901075084697099,1,5,1,22,"2;1","X3iyNHHh",100,4,4,0,0.8,1
8,0.943935801595862,2,3,1,25,"2;1","X3iyNHHh",100,4,4,0,0.8,1
9,1.06195880198399,2,4,1,29,"2;1","X3iyNHHh",100,4,4,0,0.8,1
10,0.5,1,4,1,33,"2;1","X3iyNHHh",100,4,4,0,0.8,1
11,0.698815696154106,2,1,1,34,"2;1","X3iyNHHh",100,4,4,0,0.8,1
12,0.823258627668259,2,2,1,36,"2;1","X3iyNHHh",100,4,4,0,0.8,1
13,1.16733604948275,2,2,1,38,"2;1","X3iyNHHh",100,4,4,0,0.8,1
14,0.811641312328645,1,1,1,39,"2;1","X3iyNHHh",100,4,4,0,0.8,1
15,1.08892779778644,1,5,1,44,"2;1","X3iyNHHh",100,4,4,0,0.8,1
16,0.620769759774844,1,0,1,44,"2;1","X3iyNHHh",100,4,4,0,0.8,1
17,1.21827877101803,1,5,1,49,"2;1","X3iyNHHh",100,4,4,0,0.8,1
18,0.547695427539147,2,4,1,53,"2;1","X3iyNHHh",100,4,4,0,0.8,1
19,0.687559972255838,1,4,1,57,"2;1","X3iyNHHh",100,4,4,0,0.8,1
20,0.874876921236576,1,0,1,57,"2;1","X3iyNHHh",100,4,4,0,0.8,1
1,0.770955210843637,1,-3,2,-3,"1;2","X3iyNHHh",100,4,4,0,0.8,1
2,0.875253076572758,1,5,2,2,"1;2","X3iyNHHh",100,4,4,0,0.8,1
3,1.09296278542776,1,3,2,5,"1;2","X3iyNHHh",100,4,4,0,0.8,1
4,0.649989482652274,1,1,2,6,"1;2","X3iyNHHh",100,4,4,0,0.8,1
5,0.843705197746327,1,3,2,9,"1;2","X3iyNHHh",100,4,4,0,0.8,1
6,0.709769751077233,1,3,2,12,"1;2","X3iyNHHh",100,4,4,0,0.8,1
7,0.922242108995363,1,6,2,18,"1;2","X3iyNHHh",100,4,4,0,0.8,1
8,0.759852911606983,1,5,2,23,"1;2","X3iyNHHh",100,4,4,0,0.8,1
9,0.512055909103937,2,-18,2,5,"1;2","X3iyNHHh",100,4,4,0,0.8,1
10,0.791628361264734,1,4,2,9,"1;2","X3iyNHHh",100,4,4,0,0.8,1
11,0.843686581833927,1,4,2,13,"1;2","X3iyNHHh",100,4,4,0,0.8,1
12,0.5,2,-12,2,1,"1;2","X3iyNHHh",100,4,4,0,0.8,1
13,1.0890900673177,1,5,2,6,"1;2","X3iyNHHh",100,4,4,0,0.8,1
14,1.08141696090842,1,5,2,11,"1;2","X3iyNHHh",100,4,4,0,0.8,1
15,0.5,1,3,2,14,"1;2","X3iyNHHh",100,4,4,0,0.8,1
16,0.726670034760167,1,4,2,18,"1;2","X3iyNHHh",100,4,4,0,0.8,1
17,0.817178773231805,1,3,2,21,"1;2","X3iyNHHh",100,4,4,0,0.8,1
18,0.898629173008799,1,4,2,25,"1;2","X3iyNHHh",100,4,4,0,0.8,1
19,0.63136288022727,2,11,2,36,"1;2","X3iyNHHh",100,4,4,0,0.8,1
20,1.00941964380179,2,-5,2,31,"1;2","X3iyNHHh",100,4,4,0,0.8,1
21,0.544063267302333,2,0,2,31,"1;2","X3iyNHHh",100,4,4,0,0.8,1
22,0.683275030489547,2,13,2,44,"1;2","X3iyNHHh",100,4,4,0,0.8,1
23,1.07766914400007,2,15,2,59,"1;2","X3iyNHHh",100,4,4,0,0.8,1
24,0.765230666077398,2,30,2,89,"1;2","X3iyNHHh",100,4,4,0,0.8,1
25,0.866548924533797,1,2,2,91,"1;2","X3iyNHHh",100,4,4,0,0.8,1
1,0.693104730956532,1,3,3,3,"1;2","X3iyNHHh",100,4,4,0,0.8,1
2,1.1540213844507,2,3,3,6,"1;2","X3iyNHHh",100,4,4,0,0.8,1
3,0.953962839626455,1,4,3,10,"1;2","X3iyNHHh",100,4,4,0,0.8,1
4,1.06216123486111,2,2,3,12,"1;2","X3iyNHHh",100,4,4,0,0.8,1
5,0.583929781958041,2,8,3,20,"1;2","X3iyNHHh",100,4,4,0,0.8,1
6,0.681322048773911,1,6,3,26,"1;2","X3iyNHHh",100,4,4,0,0.8,1
7,0.5,2,-8,3,18,"1;2","X3iyNHHh",100,4,4,0,0.8,1
8,1.00203956364768,2,5,3,23,"1;2","X3iyNHHh",100,4,4,0,0.8,1
9,0.553075919602833,2,5,3,28,"1;2","X3iyNHHh",100,4,4,0,0.8,1
10,0.645979920334737,2,8,3,36,"1;2","X3iyNHHh",100,4,4,0,0.8,1
11,1.06722082924898,2,4,3,40,"1;2","X3iyNHHh",100,4,4,0,0.8,1
12,0.80873785998326,2,11,3,51,"1;2","X3iyNHHh",100,4,4,0,0.8,1
13,0.5,2,-4,3,47,"1;2","X3iyNHHh",100,4,4,0,0.8,1
14,1.04029871055137,2,-2,3,45,"1;2","X3iyNHHh",100,4,4,0,0.8,1
15,0.690152859983774,1,7,3,52,"1;2","X3iyNHHh",100,4,4,0,0.8,1
16,1.09527947552128,2,-15,3,37,"1;2","X3iyNHHh",100,4,4,0,0.8,1
17,0.99916021163603,2,12,3,49,"1;2","X3iyNHHh",100,4,4,0,0.8,1
18,1.0270933668743,2,26,3,75,"1;2","X3iyNHHh",100,4,4,0,0.8,1
19,1.00504637615657,1,4,3,79,"1;2","X3iyNHHh",100,4,4,0,0.8,1
20,0.859877564577552,2,1,3,80,"1;2","X3iyNHHh",100,4,4,0,0.8,1
21,0.665720741946163,1,-1,3,79,"1;2","X3iyNHHh",100,4,4,0,0.8,1
22,1.14271268188167,2,-11,3,68,"1;2","X3iyNHHh",100,4,4,0,0.8,1
23,0.802430872436479,2,18,3,86,"1;2","X3iyNHHh",100,4,4,0,0.8,1
24,0.674055851763916,2,12,3,98,"1;2","X3iyNHHh",100,4,4,0,0.8,1
25,0.7920464918685,1,0,3,98,"1;2","X3iyNHHh",100,4,4,0,0.8,1
1,0.947011598046706,1,1,4,1,"1;2","X3iyNHHh",100,4,4,0,0.8,1
2,0.60471137512511,1,4,4,5,"1;2","X3iyNHHh",100,4,4,0,0.8,1
3,0.922707319174696,1,3,4,8,"1;2","X3iyNHHh",100,4,4,0,0.8,1
4,0.697955289268402,1,-3,4,5,"1;2","X3iyNHHh",100,4,4,0,0.8,1
5,0.871537130647575,1,2,4,7,"1;2","X3iyNHHh",100,4,4,0,0.8,1
6,0.766037391108069,2,-8,4,-1,"1;2","X3iyNHHh",100,4,4,0,0.8,1
7,0.625493774175595,2,17,4,16,"1;2","X3iyNHHh",100,4,4,0,0.8,1
8,0.899658500727095,2,0,4,16,"1;2","X3iyNHHh",100,4,4,0,0.8,1
9,1.11329105180701,2,11,4,27,"1;2","X3iyNHHh",100,4,4,0,0.8,1
10,0.617768631838446,1,5,4,32,"1;2","X3iyNHHh",100,4,4,0,0.8,1
11,1.03489572850141,1,0,4,32,"1;2","X3iyNHHh",100,4,4,0,0.8,1
12,1.01106101753488,2,16,4,48,"1;2","X3iyNHHh",100,4,4,0,0.8,1
13,0.794988885396242,2,7,4,55,"1;2","X3iyNHHh",100,4,4,0,0.8,1
14,0.899764282136142,1,5,4,60,"1;2","X3iyNHHh",100,4,4,0,0.8,1
15,0.830679225366732,2,4,4,64,"1;2","X3iyNHHh",100,4,4,0,0.8,1
16,0.563137059991925,2,-20,4,44,"1;2","X3iyNHHh",100,4,4,0,0.8,1
17,0.5,2,3,4,47,"1;2","X3iyNHHh",100,4,4,0,0.8,1
18,0.747930448460509,2,0,4,47,"1;2","X3iyNHHh",100,4,4,0,0.8,1
19,0.952998630990254,2,-14,4,33,"1;2","X3iyNHHh",100,4,4,0,0.8,1
20,0.858917960488303,1,5,4,38,"1;2","X3iyNHHh",100,4,4,0,0.8,1
21,0.538476206207199,2,2,4,40,"1;2","X3iyNHHh",100,4,4,0,0.8,1
22,0.714241528301556,2,-12,4,28,"1;2","X3iyNHHh",100,4,4,0,0.8,1
23,1.05187404180248,1,5,4,33,"1;2","X3iyNHHh",100,4,4,0,0.8,1
24,0.734990900878396,2,12,4,45,"1;2","X3iyNHHh",100,4,4,0,0.8,1
25,0.621385380578537,2,-2,4,43,"1;2","X3iyNHHh",100,4,4,0,0.8,1
1,1.02229916216129,2,2,5,2,"2;1","X3iyNHHh",100,4,4,0,0.8,1
2,0.633516891264822,1,2,5,4,"2;1","X3iyNHHh",100,4,4,0,0.8,1
3,0.929184412089883,1,8,5,12,"2;1","X3iyNHHh",100,4,4,0,0.8,1
4,0.89478213339489,1,17,5,29,"2;1","X3iyNHHh",100,4,4,0,0.8,1
5,0.761999287391601,1,1,5,30,"2;1","X3iyNHHh",100,4,4,0,0.8,1
6,0.683449692806358,1,-10,5,20,"2;1","X3iyNHHh",100,4,4,0,0.8,1
7,0.813578553597628,2,4,5,24,"2;1","X3iyNHHh",100,4,4,0,0.8,1
8,0.799976198045925,1,10,5,34,"2;1","X3iyNHHh",100,4,4,0,0.8,1
9,0.731254863291523,2,4,5,38,"2;1","X3iyNHHh",100,4,4,0,0.8,1
10,0.587078306049946,2,0,5,38,"2;1","X3iyNHHh",100,4,4,0,0.8,1
11,0.664490095146339,2,-1,5,37,"2;1","X3iyNHHh",100,4,4,0,0.8,1
12,0.721841063813293,1,21,5,58,"2;1","X3iyNHHh",100,4,4,0,0.8,1
13,0.792921735150234,1,-5,5,53,"2;1","X3iyNHHh",100,4,4,0,0.8,1
14,0.553717422654116,2,4,5,57,"2;1","X3iyNHHh",100,4,4,0,0.8,1
15,0.750480152835812,1,-12,5,45,"2;1","X3iyNHHh",100,4,4,0,0.8,1
