"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.10170221766117,2,4,1,4,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
2,0.5,2,5,1,9,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
3,0.96832222574557,2,5,1,14,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
4,0.81097757489379,2,3,1,17,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
5,0.705725114463649,2,2,1,19,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
6,1.11362658880039,2,3,1,22,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
7,1.29999051225905,1,2,1,24,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
8,0.617841012578033,2,2,1,26,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
9,0.505345228141994,2,4,1,30,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
10,0.896265910980088,2,2,1,32,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
11,0.5,1,3,1,35,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
12,0.793812257689384,2,0,1,35,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
13,0.944392683735044,1,3,1,38,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
14,0.599159497576246,2,1,1,39,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
15,0.640532851769295,1,2,1,41,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
16,0.892432181275026,2,2,1,43,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
17,0.612710780814693,2,7,1,50,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
18,0.837775438235986,1,6,1,56,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
19,0.792933963079518,2,1,1,57,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
20,0.5,2,2,1,59,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
1,0.824181765344755,1,4,2,4,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
2,0.783065081510526,1,1,2,5,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
3,0.671110106070672,1,1,2,6,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
4,1.11098032400742,1,4,2,10,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
5,1.02022207553599,1,4,2,14,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
6,1.03134957864685,1,4,2,18,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
7,0.826921451102196,2,-8,2,10,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
8,0.819163741965247,1,4,2,14,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
9,0.932621927651813,1,-1,2,13,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
10,0.677938762177001,1,6,2,19,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
11,0.50318268345937,1,4,2,23,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
12,0.88620993816965,1,-1,2,22,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
13,0.689372861030206,1,3,2,25,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
14,0.960786126194514,1,4,2,29,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
15,0.5,1,4,2,33,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
16,0.626706269783081,1,8,2,41,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
17,0.771804178210025,1,5,2,46,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
18,0.774200751023731,1,7,2,53,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
19,0.958294244464369,1,4,2,57,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
20,0.692761513152159,2,-8,2,49,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
21,0.95136047920698,1,5,2,54,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
22,0.708143552805008,1,6,2,60,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
23,0.508361828578552,1,8,2,68,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
24,0.5,1,2,2,70,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
25,0.679616960693005,1,2,2,72,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
1,0.50346351754909,2,19,3,19,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
2,0.858448747556687,2,15,3,34,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
3,0.633868324525056,2,0,3,34,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
4,1.18492250139842,1,3,3,37,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
5,0.557533094265631,1,7,3,44,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
6,0.728055266912501,2,-3,3,41,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
7,1.36552421882736,1,0,3,41,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
8,0.5,1,-1,3,40,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
9,0.741171198940271,1,3,3,43,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
10,0.5,2,-10,3,33,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
11,0.569209306238172,1,-2,3,31,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
12,0.879627286261642,1,5,3,36,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
13,1.0947051967838,1,2,3,38,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
14,1.02858394137669,1,1,3,39,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
15,0.671389192763816,1,1,3,40,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
16,1.07789674278709,1,6,3,46,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
17,1.27887652616229,1,4,3,50,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
18,0.799581386307126,1,0,3,50,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
19,1.03379546956084,1,0,3,50,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
20,0.644612235682888,2,9,3,59,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
21,0.957673667149877,2,-3,3,56,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
22,0.745040075249383,1,1,3,57,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
23,0.764399527887812,1,-2,3,55,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
24,0.960960593382964,2,-5,3,50,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
25,0.572349438374917,1,3,3,53,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
1,0.610236538748564,2,-6,4,-6,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
2,0.5,1,3,4,-3,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
3,0.553770816348833,1,6,4,3,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
4,1.31299049787932,1,1,4,4,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
5,0.532848904515157,1,4,4,8,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
6,0.993971553010141,1,5,4,13,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
7,0.891078920184215,1,3,4,16,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
8,0.5,1,4,4,20,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
9,0.738584415274485,1,3,4,23,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
10,1.15521158019222,1,3,4,26,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
11,0.786360907549631,1,3,4,29,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
12,0.958095079907455,1,4,4,33,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
13,1.07766151485168,1,3,4,36,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
14,0.755824741784444,2,2,4,38,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
15,0.957543586153955,1,2,4,40,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
16,0.607190234654031,1,0,4,40,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
17,1.17074250753794,1,4,4,44,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
18,0.5,1,3,4,47,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
19,0.546175923728556,2,21,4,68,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
20,1.01973336120308,2,8,4,76,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
21,0.506523998303339,2,13,4,89,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
22,0.930777923203513,2,-3,4,86,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
23,0.5,2,-2,4,84,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
24,0.663291335763033,1,5,4,89,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
25,0.753688228826861,1,2,4,91,"1;2","XHsgYGcr",0,3,NA,0,0.68,1
1,1.01780683215301,1,11,5,11,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
2,0.866825906936351,1,18,5,29,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
3,0.593160251099123,1,-12,5,17,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
4,0.5,1,-20,5,-3,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
5,1.16107691117347,1,20,5,17,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
6,0.587765647048653,1,21,5,38,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
7,0.984083450692044,1,6,5,44,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
8,0.516938873687501,1,-10,5,34,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
9,1.03570395560822,1,-5,5,29,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
10,0.5,2,1,5,30,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
11,0.599454454934124,2,4,5,34,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
12,0.836479526832235,2,0,5,34,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
13,1.06212949308478,2,1,5,35,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
14,0.877607781947294,2,1,5,36,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
15,0.5,2,1,5,37,"2;1","XHsgYGcr",0,3,NA,0,0.68,1
