"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.753019988459213,1,7,1,7,"2;1","XONuKquX",100,5,6,4,1.2,3
2,0.96229210976034,1,0,1,7,"2;1","XONuKquX",100,5,6,4,1.2,3
3,0.886912502686343,2,3,1,10,"2;1","XONuKquX",100,5,6,4,1.2,3
4,0.54952044189962,1,4,1,14,"2;1","XONuKquX",100,5,6,4,1.2,3
5,0.588461494307878,1,4,1,18,"2;1","XONuKquX",100,5,6,4,1.2,3
6,0.761058746384472,1,6,1,24,"2;1","XONuKquX",100,5,6,4,1.2,3
7,0.926067429824833,2,5,1,29,"2;1","XONuKquX",100,5,6,4,1.2,3
8,0.80033787668717,2,2,1,31,"2;1","XONuKquX",100,5,6,4,1.2,3
9,0.867473855569615,1,3,1,34,"2;1","XONuKquX",100,5,6,4,1.2,3
10,1.1835043117411,1,6,1,40,"2;1","XONuKquX",100,5,6,4,1.2,3
11,1.1083190477688,2,7,1,47,"2;1","XONuKquX",100,5,6,4,1.2,3
12,0.5,1,5,1,52,"2;1","XONuKquX",100,5,6,4,1.2,3
13,0.805318912398767,2,0,1,52,"2;1","XONuKquX",100,5,6,4,1.2,3
14,0.980444507507351,1,7,1,59,"2;1","XONuKquX",100,5,6,4,1.2,3
15,0.5,1,0,1,59,"2;1","XONuKquX",100,5,6,4,1.2,3
16,0.664841355226703,1,4,1,63,"2;1","XONuKquX",100,5,6,4,1.2,3
17,0.5,1,6,1,69,"2;1","XONuKquX",100,5,6,4,1.2,3
18,0.5,1,5,1,74,"2;1","XONuKquX",100,5,6,4,1.2,3
19,0.534009570004397,2,7,1,81,"2;1","XONuKquX",100,5,6,4,1.2,3
20,0.783379068312011,1,4,1,85,"2;1","XONuKquX",100,5,6,4,1.2,3
1,0.64631134742853,1,0,2,0,"2;1","XONuKquX",100,5,6,4,1.2,3
2,0.637355123466994,2,8,2,8,"2;1","XONuKquX",100,5,6,4,1.2,3
3,0.726569158257943,2,9,2,17,"2;1","XONuKquX",100,5,6,4,1.2,3
4,0.580144781620352,2,3,2,20,"2;1","XONuKquX",100,5,6,4,1.2,3
5,0.829062858033883,2,3,2,23,"2;1","XONuKquX",100,5,6,4,1.2,3
6,0.782297983976018,2,7,2,30,"2;1","XONuKquX",100,5,6,4,1.2,3
7,1.02974197903137,2,6,2,36,"2;1","XONuKquX",100,5,6,4,1.2,3
8,1.26015054956212,2,7,2,43,"2;1","XONuKquX",100,5,6,4,1.2,3
9,1.01587871045896,2,1,2,44,"2;1","XONuKquX",100,5,6,4,1.2,3
10,0.876485967268115,1,17,2,61,"2;1","XONuKquX",100,5,6,4,1.2,3
11,1.18443458685084,2,6,2,67,"2;1","XONuKquX",100,5,6,4,1.2,3
12,0.923653520055758,2,8,2,75,"2;1","XONuKquX",100,5,6,4,1.2,3
13,0.739893706938485,2,3,2,78,"2;1","XONuKquX",100,5,6,4,1.2,3
14,0.729398450788187,2,6,2,84,"2;1","XONuKquX",100,5,6,4,1.2,3
15,0.875860248333512,1,11,2,95,"2;1","XONuKquX",100,5,6,4,1.2,3
16,1.06483784587019,2,1,2,96,"2;1","XONuKquX",100,5,6,4,1.2,3
17,0.882386897199624,2,4,2,100,"2;1","XONuKquX",100,5,6,4,1.2,3
