"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.926555917349495,1,4,1,4,"2;1","XVIsGmYy",100,6,3,1,0.6,1
2,0.771123673735611,2,2,1,6,"2;1","XVIsGmYy",100,6,3,1,0.6,1
3,0.77884354373889,1,2,1,8,"2;1","XVIsGmYy",100,6,3,1,0.6,1
4,0.5,1,3,1,11,"2;1","XVIsGmYy",100,6,3,1,0.6,1
5,0.689195893166519,1,5,1,16,"2;1","XVIsGmYy",100,6,3,1,0.6,1
6,0.574838472780807,2,3,1,19,"2;1","XVIsGmYy",100,6,3,1,0.6,1
7,1.23426450771545,1,6,1,25,"2;1","XVIsGmYy",100,6,3,1,0.6,1
8,0.897941967571549,1,-1,1,24,"2;1","XVIsGmYy",100,6,3,1,0.6,1
9,0.605053870616551,1,5,1,29,"2;1","XVIsGmYy",100,6,3,1,0.6,1
10,0.971233881021431,2,1,1,30,"2;1","XVIsGmYy",100,6,3,1,0.6,1
11,0.676487155404416,1,2,1,32,"2;1","XVIsGmYy",100,6,3,1,0.6,1
12,1.02127160142086,1,2,1,34,"2;1","XVIsGmYy",100,6,3,1,0.6,1
13,0.928331022326277,2,2,1,36,"2;1","XVIsGmYy",100,6,3,1,0.6,1
14,0.649552075671601,1,1,1,37,"2;1","XVIsGmYy",100,6,3,1,0.6,1
15,0.5,1,2,1,39,"2;1","XVIsGmYy",100,6,3,1,0.6,1
16,0.515522322041429,2,4,1,43,"2;1","XVIsGmYy",100,6,3,1,0.6,1
17,1.0972847406869,1,5,1,48,"2;1","XVIsGmYy",100,6,3,1,0.6,1
18,1.05193222017708,1,7,1,55,"2;1","XVIsGmYy",100,6,3,1,0.6,1
19,1.06657260095313,1,4,1,59,"2;1","XVIsGmYy",100,6,3,1,0.6,1
20,1.08353341314814,2,2,1,61,"2;1","XVIsGmYy",100,6,3,1,0.6,1
1,0.909808157191694,2,-9,2,-9,"1;2","XVIsGmYy",100,6,3,1,0.6,1
2,1.26524655563052,2,19,2,10,"1;2","XVIsGmYy",100,6,3,1,0.6,1
3,0.957098072586406,2,6,2,16,"1;2","XVIsGmYy",100,6,3,1,0.6,1
4,0.924436387903523,2,0,2,16,"1;2","XVIsGmYy",100,6,3,1,0.6,1
5,0.587995989017827,2,-3,2,13,"1;2","XVIsGmYy",100,6,3,1,0.6,1
6,0.732528542249236,2,10,2,23,"1;2","XVIsGmYy",100,6,3,1,0.6,1
7,0.648655052834966,2,2,2,25,"1;2","XVIsGmYy",100,6,3,1,0.6,1
8,0.876602442216857,2,8,2,33,"1;2","XVIsGmYy",100,6,3,1,0.6,1
9,0.5,2,22,2,55,"1;2","XVIsGmYy",100,6,3,1,0.6,1
10,0.757150031991563,1,2,2,57,"1;2","XVIsGmYy",100,6,3,1,0.6,1
11,0.633895728923422,2,7,2,64,"1;2","XVIsGmYy",100,6,3,1,0.6,1
12,0.671930000057321,2,10,2,74,"1;2","XVIsGmYy",100,6,3,1,0.6,1
13,0.805313591936922,2,8,2,82,"1;2","XVIsGmYy",100,6,3,1,0.6,1
14,0.847076231427782,2,22,2,104,"1;2","XVIsGmYy",100,6,3,1,0.6,1
15,1.22256128037309,2,19,2,123,"1;2","XVIsGmYy",100,6,3,1,0.6,1
16,0.5,1,5,2,128,"1;2","XVIsGmYy",100,6,3,1,0.6,1
17,0.810504686171878,2,-21,2,107,"1;2","XVIsGmYy",100,6,3,1,0.6,1
18,0.816342498695021,1,0,2,107,"1;2","XVIsGmYy",100,6,3,1,0.6,1
19,0.645451918750678,1,4,2,111,"1;2","XVIsGmYy",100,6,3,1,0.6,1
20,0.707239834848272,1,3,2,114,"1;2","XVIsGmYy",100,6,3,1,0.6,1
21,0.536608826924679,1,2,2,116,"1;2","XVIsGmYy",100,6,3,1,0.6,1
22,1.00939043070931,1,1,2,117,"1;2","XVIsGmYy",100,6,3,1,0.6,1
23,1.1065643699927,1,3,2,120,"1;2","XVIsGmYy",100,6,3,1,0.6,1
24,0.92649326813287,1,4,2,124,"1;2","XVIsGmYy",100,6,3,1,0.6,1
25,0.60481870915382,1,8,2,132,"1;2","XVIsGmYy",100,6,3,1,0.6,1
1,0.83415161587825,1,6,3,6,"1;2","XVIsGmYy",100,6,3,1,0.6,1
2,0.838185630257177,1,2,3,8,"1;2","XVIsGmYy",100,6,3,1,0.6,1
