"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.19387885569711,2,2,1,2,"2;1","XmB4WIR8",100,4,8,0,1.6,3
2,1.02719720818639,2,4,1,6,"2;1","XmB4WIR8",100,4,8,0,1.6,3
3,0.940959860874878,2,1,1,7,"2;1","XmB4WIR8",100,4,8,0,1.6,3
4,0.693048938626523,1,3,1,10,"2;1","XmB4WIR8",100,4,8,0,1.6,3
5,0.866775311164165,1,5,1,15,"2;1","XmB4WIR8",100,4,8,0,1.6,3
6,0.5,1,4,1,19,"2;1","XmB4WIR8",100,4,8,0,1.6,3
7,0.828890856855909,1,1,1,20,"2;1","XmB4WIR8",100,4,8,0,1.6,3
8,0.715830856514974,2,5,1,25,"2;1","XmB4WIR8",100,4,8,0,1.6,3
9,0.5,2,5,1,30,"2;1","XmB4WIR8",100,4,8,0,1.6,3
10,0.94070250764586,2,4,1,34,"2;1","XmB4WIR8",100,4,8,0,1.6,3
11,0.795045894468899,2,4,1,38,"2;1","XmB4WIR8",100,4,8,0,1.6,3
12,0.801073700451116,2,1,1,39,"2;1","XmB4WIR8",100,4,8,0,1.6,3
13,0.853589072427022,1,2,1,41,"2;1","XmB4WIR8",100,4,8,0,1.6,3
14,0.929369182106135,2,3,1,44,"2;1","XmB4WIR8",100,4,8,0,1.6,3
15,0.581483595953259,1,3,1,47,"2;1","XmB4WIR8",100,4,8,0,1.6,3
16,0.5,2,0,1,47,"2;1","XmB4WIR8",100,4,8,0,1.6,3
17,0.5,1,5,1,52,"2;1","XmB4WIR8",100,4,8,0,1.6,3
18,1.12217693010404,1,1,1,53,"2;1","XmB4WIR8",100,4,8,0,1.6,3
19,0.5,1,4,1,57,"2;1","XmB4WIR8",100,4,8,0,1.6,3
20,0.61533016769362,1,2,1,59,"2;1","XmB4WIR8",100,4,8,0,1.6,3
1,1.20834690741279,1,3,2,3,"2;1","XmB4WIR8",100,4,8,0,1.6,3
2,0.933544949266355,1,4,2,7,"2;1","XmB4WIR8",100,4,8,0,1.6,3
3,0.793744614743839,2,2,2,9,"2;1","XmB4WIR8",100,4,8,0,1.6,3
4,0.978235684914889,2,1,2,10,"2;1","XmB4WIR8",100,4,8,0,1.6,3
5,1.05802370574763,1,-1,2,9,"2;1","XmB4WIR8",100,4,8,0,1.6,3
6,0.910745073762466,1,4,2,13,"2;1","XmB4WIR8",100,4,8,0,1.6,3
7,1.05765997435895,1,-8,2,5,"2;1","XmB4WIR8",100,4,8,0,1.6,3
8,0.737737034018405,1,2,2,7,"2;1","XmB4WIR8",100,4,8,0,1.6,3
9,0.633240142781946,1,34,2,41,"2;1","XmB4WIR8",100,4,8,0,1.6,3
10,0.962803282399701,1,19,2,60,"2;1","XmB4WIR8",100,4,8,0,1.6,3
11,0.995620848821191,1,12,2,72,"2;1","XmB4WIR8",100,4,8,0,1.6,3
12,1.02471318317315,1,10,2,82,"2;1","XmB4WIR8",100,4,8,0,1.6,3
13,0.768874103816724,1,-3,2,79,"2;1","XmB4WIR8",100,4,8,0,1.6,3
14,0.774178570970294,1,17,2,96,"2;1","XmB4WIR8",100,4,8,0,1.6,3
15,1.09608410859454,1,3,2,99,"2;1","XmB4WIR8",100,4,8,0,1.6,3
16,0.876946415824275,2,6,2,105,"2;1","XmB4WIR8",100,4,8,0,1.6,3
17,0.5,2,4,2,109,"2;1","XmB4WIR8",100,4,8,0,1.6,3
18,0.817907113035719,2,0,2,109,"2;1","XmB4WIR8",100,4,8,0,1.6,3
19,0.5,2,5,2,114,"2;1","XmB4WIR8",100,4,8,0,1.6,3
20,1.08445759114622,2,4,2,118,"2;1","XmB4WIR8",100,4,8,0,1.6,3
21,0.63807842910193,2,1,2,119,"2;1","XmB4WIR8",100,4,8,0,1.6,3
22,0.580319861777333,2,6,2,125,"2;1","XmB4WIR8",100,4,8,0,1.6,3
23,0.5,2,2,2,127,"2;1","XmB4WIR8",100,4,8,0,1.6,3
24,0.654356067284442,2,5,2,132,"2;1","XmB4WIR8",100,4,8,0,1.6,3
25,0.811434637571649,2,4,2,136,"2;1","XmB4WIR8",100,4,8,0,1.6,3
1,0.817067429665543,1,5,3,5,"1;2","XmB4WIR8",100,4,8,0,1.6,3
2,1.14302517955172,1,0,3,5,"1;2","XmB4WIR8",100,4,8,0,1.6,3
3,0.5,1,4,3,9,"1;2","XmB4WIR8",100,4,8,0,1.6,3
4,0.996666667060407,1,5,3,14,"1;2","XmB4WIR8",100,4,8,0,1.6,3
5,0.521649806181248,1,0,3,14,"1;2","XmB4WIR8",100,4,8,0,1.6,3
6,0.975721668282643,1,4,3,18,"1;2","XmB4WIR8",100,4,8,0,1.6,3
7,1.13209413031888,1,4,3,22,"1;2","XmB4WIR8",100,4,8,0,1.6,3
8,0.5,1,5,3,27,"1;2","XmB4WIR8",100,4,8,0,1.6,3
9,1.14741435320889,1,8,3,35,"1;2","XmB4WIR8",100,4,8,0,1.6,3
10,1.0789739762507,1,4,3,39,"1;2","XmB4WIR8",100,4,8,0,1.6,3
11,0.758150502214829,1,6,3,45,"1;2","XmB4WIR8",100,4,8,0,1.6,3
12,1.02667776980778,1,7,3,52,"1;2","XmB4WIR8",100,4,8,0,1.6,3
13,0.5,1,9,3,61,"1;2","XmB4WIR8",100,4,8,0,1.6,3
14,1.00439918392192,1,5,3,66,"1;2","XmB4WIR8",100,4,8,0,1.6,3
15,0.507043455022811,1,2,3,68,"1;2","XmB4WIR8",100,4,8,0,1.6,3
16,0.645081008205884,1,7,3,75,"1;2","XmB4WIR8",100,4,8,0,1.6,3
