"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.767291545441117,2,1,1,1,"2;1","XmILKSjf",100,4,3,1,0.6,3
2,1.18851342610749,1,4,1,5,"2;1","XmILKSjf",100,4,3,1,0.6,3
3,0.614457894565297,1,7,1,12,"2;1","XmILKSjf",100,4,3,1,0.6,3
4,0.647256721779194,1,3,1,15,"2;1","XmILKSjf",100,4,3,1,0.6,3
5,0.612102727896711,1,3,1,18,"2;1","XmILKSjf",100,4,3,1,0.6,3
6,0.863060454868953,1,5,1,23,"2;1","XmILKSjf",100,4,3,1,0.6,3
7,0.5,2,4,1,27,"2;1","XmILKSjf",100,4,3,1,0.6,3
8,0.97516703997803,1,3,1,30,"2;1","XmILKSjf",100,4,3,1,0.6,3
9,0.997821522925804,1,3,1,33,"2;1","XmILKSjf",100,4,3,1,0.6,3
10,0.679759601343746,2,3,1,36,"2;1","XmILKSjf",100,4,3,1,0.6,3
11,0.718406170991858,1,-1,1,35,"2;1","XmILKSjf",100,4,3,1,0.6,3
12,0.777049258123298,1,4,1,39,"2;1","XmILKSjf",100,4,3,1,0.6,3
13,0.971796981671702,1,3,1,42,"2;1","XmILKSjf",100,4,3,1,0.6,3
14,1.0669779989276,2,3,1,45,"2;1","XmILKSjf",100,4,3,1,0.6,3
15,0.587643871683927,1,6,1,51,"2;1","XmILKSjf",100,4,3,1,0.6,3
16,0.65304181001438,1,4,1,55,"2;1","XmILKSjf",100,4,3,1,0.6,3
17,0.553624097546407,1,5,1,60,"2;1","XmILKSjf",100,4,3,1,0.6,3
18,0.885016691016387,2,4,1,64,"2;1","XmILKSjf",100,4,3,1,0.6,3
19,0.735694701384492,1,6,1,70,"2;1","XmILKSjf",100,4,3,1,0.6,3
20,0.573415697953149,2,3,1,73,"2;1","XmILKSjf",100,4,3,1,0.6,3
1,0.6771085407194,1,3,2,3,"1;2","XmILKSjf",100,4,3,1,0.6,3
2,0.81275651031157,2,6,2,9,"1;2","XmILKSjf",100,4,3,1,0.6,3
3,0.902551477302585,1,8,2,17,"1;2","XmILKSjf",100,4,3,1,0.6,3
4,1.02889498608816,1,0,2,17,"1;2","XmILKSjf",100,4,3,1,0.6,3
5,0.988389272351483,1,4,2,21,"1;2","XmILKSjf",100,4,3,1,0.6,3
6,0.802764906236855,1,2,2,23,"1;2","XmILKSjf",100,4,3,1,0.6,3
7,0.5,1,3,2,26,"1;2","XmILKSjf",100,4,3,1,0.6,3
8,0.899947002094851,1,2,2,28,"1;2","XmILKSjf",100,4,3,1,0.6,3
9,0.52472719643722,1,6,2,34,"1;2","XmILKSjf",100,4,3,1,0.6,3
10,0.912714699690322,1,10,2,44,"1;2","XmILKSjf",100,4,3,1,0.6,3
11,0.669594984945266,1,3,2,47,"1;2","XmILKSjf",100,4,3,1,0.6,3
12,0.890191011870377,1,6,2,53,"1;2","XmILKSjf",100,4,3,1,0.6,3
13,1.07154573114342,1,2,2,55,"1;2","XmILKSjf",100,4,3,1,0.6,3
14,0.646772224191079,1,5,2,60,"1;2","XmILKSjf",100,4,3,1,0.6,3
15,0.750603006713856,1,4,2,64,"1;2","XmILKSjf",100,4,3,1,0.6,3
16,1.35364656709679,2,2,2,66,"1;2","XmILKSjf",100,4,3,1,0.6,3
17,0.903633457072567,1,2,2,68,"1;2","XmILKSjf",100,4,3,1,0.6,3
18,1.07892319751648,1,7,2,75,"1;2","XmILKSjf",100,4,3,1,0.6,3
19,0.5,1,2,2,77,"1;2","XmILKSjf",100,4,3,1,0.6,3
20,1.05547371663661,2,-11,2,66,"1;2","XmILKSjf",100,4,3,1,0.6,3
21,1.35321480867051,1,5,2,71,"1;2","XmILKSjf",100,4,3,1,0.6,3
22,0.5,2,-5,2,66,"1;2","XmILKSjf",100,4,3,1,0.6,3
23,0.886696382833686,2,-8,2,58,"1;2","XmILKSjf",100,4,3,1,0.6,3
