"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.22225106302315,2,2,1,2,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
2,0.547785228798092,2,4,1,6,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
3,0.5,2,3,1,9,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
4,0.558529580210639,1,4,1,13,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
5,1.31410665620433,1,3,1,16,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
6,0.5,2,5,1,21,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
7,0.93706114744223,2,1,1,22,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
8,0.996323937425356,1,-2,1,20,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
9,0.5,2,-1,1,19,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
10,0.896165026742688,2,4,1,23,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
11,1.06862664520407,2,4,1,27,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
12,1.0536004880263,2,2,1,29,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
13,1.27461754816852,2,4,1,33,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
14,0.5,1,4,1,37,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
15,0.798346572468736,2,0,1,37,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
16,1.15635070680303,1,3,1,40,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
17,1.02580207340813,1,4,1,44,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
18,1.21468256898821,1,0,1,44,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
19,0.667532455563041,2,5,1,49,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
20,0.813109636327834,2,4,1,53,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
1,0.5,1,9,2,9,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
2,0.83309003547668,1,7,2,16,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
3,0.824167825848491,1,-7,2,9,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
4,1.09397079054665,1,-6,2,3,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
5,0.695388812143127,2,4,2,7,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
6,0.961138041765221,2,5,2,12,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
7,0.962151769863004,2,1,2,13,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
8,1.14384647094725,2,6,2,19,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
9,0.78913395597672,2,-2,2,17,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
10,0.587979756827016,2,5,2,22,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
11,0.578569432781411,1,-4,2,18,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
12,1.23319808808227,2,3,2,21,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
13,1.04360994570688,2,7,2,28,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
14,0.612665743564121,2,10,2,38,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
15,0.912042204879519,1,20,2,58,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
16,0.891308605047006,1,29,2,87,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
17,0.664436945532744,1,-3,2,84,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
18,0.675626527403961,1,20,2,104,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
19,0.787957765195238,1,31,2,135,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
20,0.523019066369143,1,-1,2,134,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
21,0.892389528087214,2,3,2,137,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
22,0.7927364129511,2,-2,2,135,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
23,0.686776233002598,1,-6,2,129,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
24,0.518342867570833,2,4,2,133,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
25,0.683715968116674,2,5,2,138,"2;1","Y2BQmCGG",0,1,NA,0,1.23,1
1,0.520754195944724,2,-5,3,-5,"1;2","Y2BQmCGG",0,1,NA,0,1.23,1
