"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.817386283558428,1,4,1,4,"2;1","YFT8evOc",100,4,4,1,0.8,1
2,0.5,1,-1,1,3,"2;1","YFT8evOc",100,4,4,1,0.8,1
3,0.5,1,6,1,9,"2;1","YFT8evOc",100,4,4,1,0.8,1
4,0.726932751135794,1,4,1,13,"2;1","YFT8evOc",100,4,4,1,0.8,1
5,0.5,1,5,1,18,"2;1","YFT8evOc",100,4,4,1,0.8,1
6,1.19699363339641,1,1,1,19,"2;1","YFT8evOc",100,4,4,1,0.8,1
7,1.18036095181133,1,3,1,22,"2;1","YFT8evOc",100,4,4,1,0.8,1
8,0.754216998277775,2,-1,1,21,"2;1","YFT8evOc",100,4,4,1,0.8,1
9,0.904554306361547,1,1,1,22,"2;1","YFT8evOc",100,4,4,1,0.8,1
10,1.02710444373612,1,2,1,24,"2;1","YFT8evOc",100,4,4,1,0.8,1
11,0.713887220793105,2,4,1,28,"2;1","YFT8evOc",100,4,4,1,0.8,1
12,0.789740631606291,2,3,1,31,"2;1","YFT8evOc",100,4,4,1,0.8,1
13,0.981928116341031,1,0,1,31,"2;1","YFT8evOc",100,4,4,1,0.8,1
14,0.672190299866449,1,3,1,34,"2;1","YFT8evOc",100,4,4,1,0.8,1
15,0.638828585621606,1,4,1,38,"2;1","YFT8evOc",100,4,4,1,0.8,1
16,0.78356240951597,2,5,1,43,"2;1","YFT8evOc",100,4,4,1,0.8,1
17,0.5,1,4,1,47,"2;1","YFT8evOc",100,4,4,1,0.8,1
18,0.947390868201406,1,5,1,52,"2;1","YFT8evOc",100,4,4,1,0.8,1
19,0.752656392778831,1,3,1,55,"2;1","YFT8evOc",100,4,4,1,0.8,1
20,0.790958530463152,1,2,1,57,"2;1","YFT8evOc",100,4,4,1,0.8,1
1,0.684142686229243,2,4,2,4,"1;2","YFT8evOc",100,4,4,1,0.8,1
2,0.562236081034245,1,5,2,9,"1;2","YFT8evOc",100,4,4,1,0.8,1
3,0.779924356612138,2,10,2,19,"1;2","YFT8evOc",100,4,4,1,0.8,1
4,0.85404231224476,2,-4,2,15,"1;2","YFT8evOc",100,4,4,1,0.8,1
5,1.0301185508114,2,-5,2,10,"1;2","YFT8evOc",100,4,4,1,0.8,1
6,0.673788978176867,1,5,2,15,"1;2","YFT8evOc",100,4,4,1,0.8,1
7,0.690214774182483,2,3,2,18,"1;2","YFT8evOc",100,4,4,1,0.8,1
8,0.563455206691174,1,3,2,21,"1;2","YFT8evOc",100,4,4,1,0.8,1
9,1.00067437264783,1,1,2,22,"1;2","YFT8evOc",100,4,4,1,0.8,1
10,1.08105577975873,2,-17,2,5,"1;2","YFT8evOc",100,4,4,1,0.8,1
11,0.623680606113142,1,5,2,10,"1;2","YFT8evOc",100,4,4,1,0.8,1
12,0.761159957489603,1,4,2,14,"1;2","YFT8evOc",100,4,4,1,0.8,1
13,0.681251344839388,2,12,2,26,"1;2","YFT8evOc",100,4,4,1,0.8,1
14,0.694108980084747,1,7,2,33,"1;2","YFT8evOc",100,4,4,1,0.8,1
15,0.694629389861947,1,5,2,38,"1;2","YFT8evOc",100,4,4,1,0.8,1
16,0.819452942339245,1,4,2,42,"1;2","YFT8evOc",100,4,4,1,0.8,1
17,0.886386288148192,1,11,2,53,"1;2","YFT8evOc",100,4,4,1,0.8,1
18,1.01617891028132,2,4,2,57,"1;2","YFT8evOc",100,4,4,1,0.8,1
19,0.609622891183308,1,6,2,63,"1;2","YFT8evOc",100,4,4,1,0.8,1
20,0.539009602511343,1,3,2,66,"1;2","YFT8evOc",100,4,4,1,0.8,1
21,0.846016186610957,1,3,2,69,"1;2","YFT8evOc",100,4,4,1,0.8,1
22,0.740958677312908,1,7,2,76,"1;2","YFT8evOc",100,4,4,1,0.8,1
23,1.08937389542364,1,4,2,80,"1;2","YFT8evOc",100,4,4,1,0.8,1
24,0.787779401172593,2,1,2,81,"1;2","YFT8evOc",100,4,4,1,0.8,1
25,1.17789274296512,1,1,2,82,"1;2","YFT8evOc",100,4,4,1,0.8,1
1,1.1919000458146,2,-11,3,-11,"1;2","YFT8evOc",100,4,4,1,0.8,1
2,1.2098504298871,1,5,3,-6,"1;2","YFT8evOc",100,4,4,1,0.8,1
3,0.856286994023009,1,6,3,0,"1;2","YFT8evOc",100,4,4,1,0.8,1
4,0.5,1,0,3,0,"1;2","YFT8evOc",100,4,4,1,0.8,1
5,0.633484657014432,1,3,3,3,"1;2","YFT8evOc",100,4,4,1,0.8,1
6,0.5,1,6,3,9,"1;2","YFT8evOc",100,4,4,1,0.8,1
7,0.905377339753042,1,4,3,13,"1;2","YFT8evOc",100,4,4,1,0.8,1
8,0.795179724534336,1,5,3,18,"1;2","YFT8evOc",100,4,4,1,0.8,1
9,1.06802287263639,1,0,3,18,"1;2","YFT8evOc",100,4,4,1,0.8,1
10,0.5,1,1,3,19,"1;2","YFT8evOc",100,4,4,1,0.8,1
11,0.5,1,3,3,22,"1;2","YFT8evOc",100,4,4,1,0.8,1
12,0.760119450263748,1,3,3,25,"1;2","YFT8evOc",100,4,4,1,0.8,1
13,0.515196459934018,2,26,3,51,"1;2","YFT8evOc",100,4,4,1,0.8,1
14,1.26212747254325,2,16,3,67,"1;2","YFT8evOc",100,4,4,1,0.8,1
15,0.563292954351464,2,-9,3,58,"1;2","YFT8evOc",100,4,4,1,0.8,1
16,0.823160760212656,2,4,3,62,"1;2","YFT8evOc",100,4,4,1,0.8,1
17,0.735379627411684,2,10,3,72,"1;2","YFT8evOc",100,4,4,1,0.8,1
18,0.5,1,8,3,80,"1;2","YFT8evOc",100,4,4,1,0.8,1
19,0.896950232332689,2,16,3,96,"1;2","YFT8evOc",100,4,4,1,0.8,1
20,0.5,2,9,3,105,"1;2","YFT8evOc",100,4,4,1,0.8,1
21,0.527820066188486,2,-3,3,102,"1;2","YFT8evOc",100,4,4,1,0.8,1
22,0.5,2,10,3,112,"1;2","YFT8evOc",100,4,4,1,0.8,1
23,1.44553779789085,2,17,3,129,"1;2","YFT8evOc",100,4,4,1,0.8,1
24,0.540932702480404,2,0,3,129,"1;2","YFT8evOc",100,4,4,1,0.8,1
25,1.03406722170428,2,-36,3,93,"1;2","YFT8evOc",100,4,4,1,0.8,1
1,0.67992593673999,1,4,4,4,"2;1","YFT8evOc",100,4,4,1,0.8,1
2,0.966663320336025,1,-14,4,-10,"2;1","YFT8evOc",100,4,4,1,0.8,1
3,0.882479502540888,2,5,4,-5,"2;1","YFT8evOc",100,4,4,1,0.8,1
4,0.736133574579071,2,1,4,-4,"2;1","YFT8evOc",100,4,4,1,0.8,1
5,0.795651437098743,1,15,4,11,"2;1","YFT8evOc",100,4,4,1,0.8,1
