"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.744336550478107,2,3,1,3,"1;2","YHJZhjU5",100,5,4,0,0.8,2
2,0.72428702007606,1,6,1,9,"1;2","YHJZhjU5",100,5,4,0,0.8,2
3,0.878603157143646,2,2,1,11,"1;2","YHJZhjU5",100,5,4,0,0.8,2
4,0.778566557587844,2,4,1,15,"1;2","YHJZhjU5",100,5,4,0,0.8,2
5,1.1731442774063,2,4,1,19,"1;2","YHJZhjU5",100,5,4,0,0.8,2
6,0.923551111456493,2,1,1,20,"1;2","YHJZhjU5",100,5,4,0,0.8,2
7,0.802117296612809,2,1,1,21,"1;2","YHJZhjU5",100,5,4,0,0.8,2
8,1.04802569029727,2,1,1,22,"1;2","YHJZhjU5",100,5,4,0,0.8,2
9,0.943046945209189,1,5,1,27,"1;2","YHJZhjU5",100,5,4,0,0.8,2
10,0.849028710666766,1,4,1,31,"1;2","YHJZhjU5",100,5,4,0,0.8,2
11,1.31890269604038,1,6,1,37,"1;2","YHJZhjU5",100,5,4,0,0.8,2
12,0.5,1,7,1,44,"1;2","YHJZhjU5",100,5,4,0,0.8,2
13,1.14319842925472,2,2,1,46,"1;2","YHJZhjU5",100,5,4,0,0.8,2
14,1.35421798095868,2,2,1,48,"1;2","YHJZhjU5",100,5,4,0,0.8,2
15,0.866153998457299,2,0,1,48,"1;2","YHJZhjU5",100,5,4,0,0.8,2
16,0.713222269971561,2,1,1,49,"1;2","YHJZhjU5",100,5,4,0,0.8,2
17,0.870269339086561,2,6,1,55,"1;2","YHJZhjU5",100,5,4,0,0.8,2
18,1.16287331642699,2,4,1,59,"1;2","YHJZhjU5",100,5,4,0,0.8,2
19,0.636245529343503,2,4,1,63,"1;2","YHJZhjU5",100,5,4,0,0.8,2
20,1.01606695899485,1,3,1,66,"1;2","YHJZhjU5",100,5,4,0,0.8,2
1,0.707482862016084,1,20,2,20,"2;1","YHJZhjU5",100,5,4,0,0.8,2
2,0.779265997423601,1,-4,2,16,"2;1","YHJZhjU5",100,5,4,0,0.8,2
3,0.936950618260676,1,-15,2,1,"2;1","YHJZhjU5",100,5,4,0,0.8,2
4,1.11342641537766,1,26,2,27,"2;1","YHJZhjU5",100,5,4,0,0.8,2
5,1.13599510315996,1,19,2,46,"2;1","YHJZhjU5",100,5,4,0,0.8,2
