"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.930844651881972,1,2,1,2,"1;2","YHxQvpIM",100,6,3,0,0.6,1
2,1.11384248496065,1,2,1,4,"1;2","YHxQvpIM",100,6,3,0,0.6,1
3,0.852196920735228,2,5,1,9,"1;2","YHxQvpIM",100,6,3,0,0.6,1
4,1.12779172260272,2,3,1,12,"1;2","YHxQvpIM",100,6,3,0,0.6,1
5,1.29198210192034,1,4,1,16,"1;2","YHxQvpIM",100,6,3,0,0.6,1
6,0.855278735794032,2,1,1,17,"1;2","YHxQvpIM",100,6,3,0,0.6,1
7,0.5,2,7,1,24,"1;2","YHxQvpIM",100,6,3,0,0.6,1
8,0.665745208048783,1,2,1,26,"1;2","YHxQvpIM",100,6,3,0,0.6,1
9,0.89857513504946,1,1,1,27,"1;2","YHxQvpIM",100,6,3,0,0.6,1
10,0.983120322121283,2,0,1,27,"1;2","YHxQvpIM",100,6,3,0,0.6,1
11,0.5,1,1,1,28,"1;2","YHxQvpIM",100,6,3,0,0.6,1
12,0.63772424376813,2,2,1,30,"1;2","YHxQvpIM",100,6,3,0,0.6,1
13,0.782903433727737,1,2,1,32,"1;2","YHxQvpIM",100,6,3,0,0.6,1
14,0.72121728181803,2,4,1,36,"1;2","YHxQvpIM",100,6,3,0,0.6,1
15,0.968099328612533,2,6,1,42,"1;2","YHxQvpIM",100,6,3,0,0.6,1
16,0.6461551829955,2,4,1,46,"1;2","YHxQvpIM",100,6,3,0,0.6,1
17,0.540513175388596,2,4,1,50,"1;2","YHxQvpIM",100,6,3,0,0.6,1
18,0.5,2,2,1,52,"1;2","YHxQvpIM",100,6,3,0,0.6,1
19,1.05753903304381,2,6,1,58,"1;2","YHxQvpIM",100,6,3,0,0.6,1
20,1.0953405040636,2,3,1,61,"1;2","YHxQvpIM",100,6,3,0,0.6,1
1,1.22432186598528,1,6,2,6,"2;1","YHxQvpIM",100,6,3,0,0.6,1
2,1.1966735812522,1,8,2,14,"2;1","YHxQvpIM",100,6,3,0,0.6,1
3,1.12451580128728,1,8,2,22,"2;1","YHxQvpIM",100,6,3,0,0.6,1
4,0.5,1,-13,2,9,"2;1","YHxQvpIM",100,6,3,0,0.6,1
5,1.00953084128114,1,-1,2,8,"2;1","YHxQvpIM",100,6,3,0,0.6,1
6,0.569137539759843,2,0,2,8,"2;1","YHxQvpIM",100,6,3,0,0.6,1
7,1.05922710655074,1,-20,2,-12,"2;1","YHxQvpIM",100,6,3,0,0.6,1
8,0.837168536785064,2,1,2,-11,"2;1","YHxQvpIM",100,6,3,0,0.6,1
9,0.5,2,1,2,-10,"2;1","YHxQvpIM",100,6,3,0,0.6,1
10,1.01357681590421,2,1,2,-9,"2;1","YHxQvpIM",100,6,3,0,0.6,1
11,0.95891521580707,2,11,2,2,"2;1","YHxQvpIM",100,6,3,0,0.6,1
12,0.871357748726179,2,-1,2,1,"2;1","YHxQvpIM",100,6,3,0,0.6,1
13,0.794124193664706,2,1,2,2,"2;1","YHxQvpIM",100,6,3,0,0.6,1
14,0.649839484764121,2,5,2,7,"2;1","YHxQvpIM",100,6,3,0,0.6,1
15,1.03268195929413,1,0,2,7,"2;1","YHxQvpIM",100,6,3,0,0.6,1
16,0.738336050355779,2,-2,2,5,"2;1","YHxQvpIM",100,6,3,0,0.6,1
17,0.5,2,4,2,9,"2;1","YHxQvpIM",100,6,3,0,0.6,1
18,0.636633387671801,2,1,2,10,"2;1","YHxQvpIM",100,6,3,0,0.6,1
19,0.833899939374661,1,13,2,23,"2;1","YHxQvpIM",100,6,3,0,0.6,1
20,1.04060314783019,2,5,2,28,"2;1","YHxQvpIM",100,6,3,0,0.6,1
21,0.550146356376832,2,8,2,36,"2;1","YHxQvpIM",100,6,3,0,0.6,1
22,0.601195340804947,2,-2,2,34,"2;1","YHxQvpIM",100,6,3,0,0.6,1
23,1.18068464938942,1,-15,2,19,"2;1","YHxQvpIM",100,6,3,0,0.6,1
24,0.757246489932061,2,3,2,22,"2;1","YHxQvpIM",100,6,3,0,0.6,1
25,0.61772785359057,1,10,2,32,"2;1","YHxQvpIM",100,6,3,0,0.6,1
1,0.705945938933723,1,3,3,3,"1;2","YHxQvpIM",100,6,3,0,0.6,1
2,0.797510134118376,2,8,3,11,"1;2","YHxQvpIM",100,6,3,0,0.6,1
3,0.867958656996105,2,-7,3,4,"1;2","YHxQvpIM",100,6,3,0,0.6,1
4,0.915442958185322,2,-11,3,-7,"1;2","YHxQvpIM",100,6,3,0,0.6,1
5,1.05153565102096,1,3,3,-4,"1;2","YHxQvpIM",100,6,3,0,0.6,1
6,1.09388576007312,2,16,3,12,"1;2","YHxQvpIM",100,6,3,0,0.6,1
7,0.5,1,2,3,14,"1;2","YHxQvpIM",100,6,3,0,0.6,1
8,0.63886405292176,2,8,3,22,"1;2","YHxQvpIM",100,6,3,0,0.6,1
9,0.937967089983992,1,-2,3,20,"1;2","YHxQvpIM",100,6,3,0,0.6,1
10,1.05493621078046,1,0,3,20,"1;2","YHxQvpIM",100,6,3,0,0.6,1
11,0.5,2,5,3,25,"1;2","YHxQvpIM",100,6,3,0,0.6,1
12,1.36619586130346,2,-5,3,20,"1;2","YHxQvpIM",100,6,3,0,0.6,1
13,0.559035996259624,2,4,3,24,"1;2","YHxQvpIM",100,6,3,0,0.6,1
14,1.00869940904693,1,3,3,27,"1;2","YHxQvpIM",100,6,3,0,0.6,1
15,0.739225817579014,1,2,3,29,"1;2","YHxQvpIM",100,6,3,0,0.6,1
16,0.870136946361206,1,3,3,32,"1;2","YHxQvpIM",100,6,3,0,0.6,1
17,0.694621842234892,2,8,3,40,"1;2","YHxQvpIM",100,6,3,0,0.6,1
18,1.12894211021436,2,7,3,47,"1;2","YHxQvpIM",100,6,3,0,0.6,1
