"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.877140630076371,2,4,1,4,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
2,0.662052103156261,2,-1,1,3,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
3,0.908995420023011,1,8,1,11,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
4,0.910866624456792,1,5,1,16,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
5,0.53252497885017,2,1,1,17,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
6,0.842967985795117,2,5,1,22,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
7,0.761228813765228,2,2,1,24,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
8,0.782747407091214,1,5,1,29,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
9,0.706189368170487,1,3,1,32,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
10,0.611809810418603,1,4,1,36,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
11,0.933162131199753,1,2,1,38,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
12,0.843145013699412,1,5,1,43,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
13,1.23904202283882,1,-1,1,42,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
14,0.936369269802347,1,4,1,46,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
15,1.04987610349707,1,-1,1,45,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
16,0.66527870907492,2,4,1,49,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
17,1.32971513905288,1,0,1,49,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
18,0.958419443093457,2,3,1,52,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
19,0.634155761647952,2,1,1,53,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
20,0.701752479342768,2,3,1,56,"1;2","YIJDQeWq",0,2,NA,0,0.36,1
1,1.24503324082652,2,5,2,5,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
2,0.838583192725255,2,3,2,8,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
3,1.03147476048356,2,2,2,10,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
4,0.830395798571717,2,6,2,16,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
5,0.5,2,8,2,24,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
6,0.5,2,0,2,24,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
7,0.532210109110357,2,6,2,30,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
8,0.894434559224522,2,4,2,34,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
9,0.805482785706191,2,-3,2,31,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
10,0.714991406820264,1,7,2,38,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
11,1.13087303099032,1,-7,2,31,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
12,0.830692195243963,2,5,2,36,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
13,0.613942229104432,2,-1,2,35,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
14,0.51192022810871,2,4,2,39,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
15,0.5,2,7,2,46,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
16,0.53255483847438,2,6,2,52,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
17,0.7226851675247,1,1,2,53,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
18,0.720339056820324,2,3,2,56,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
19,0.526112958745983,2,5,2,61,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
20,0.868824275077426,1,3,2,64,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
21,0.706406449570312,1,-3,2,61,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
22,0.57462022137601,1,0,2,61,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
23,0.775577693490466,2,3,2,64,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
24,0.776117353962877,2,9,2,73,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
25,1.2340660777804,2,1,2,74,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
1,0.65303954851055,1,-16,3,-16,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
2,1.00742519023617,1,-5,3,-21,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
3,0.700537940078438,1,-3,3,-24,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
4,0.805587014029833,2,3,3,-21,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
5,1.00576646578355,2,4,3,-17,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
6,0.878958737945891,2,1,3,-16,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
7,0.855180468681641,2,2,3,-14,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
8,0.768939954451624,2,0,3,-14,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
9,0.846626535050502,1,8,3,-6,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
10,0.651898514908363,1,-6,3,-12,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
11,1.08759487259587,2,5,3,-7,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
12,0.857904003857993,2,1,3,-6,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
13,0.616501091910121,2,6,3,0,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
14,1.12481126656839,1,-5,3,-5,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
15,0.865170086031135,2,5,3,0,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
16,0.572902974571537,2,8,3,8,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
17,0.5,1,7,3,15,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
18,0.5,1,8,3,23,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
19,0.540564051596325,2,-1,3,22,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
20,0.903263512944976,1,0,3,22,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
21,0.820073196255999,2,1,3,23,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
22,0.751453353948244,1,-4,3,19,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
23,0.5,1,3,3,22,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
24,0.959358366515487,2,5,3,27,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
25,0.5,2,5,3,32,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
1,0.5,1,-15,4,-15,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
2,0.643890163424498,1,-20,4,-35,"2;1","YIJDQeWq",0,2,NA,0,0.36,1
